text,highlighted
"We may use an internal search engine whose results display relevant snippets from your content. user-provided tags are subject to organization, which is a process we call tag wrangling.",0
Logged-in users may set their preferences to indicate that they are willing to see mature or explicit content.,0
"It does not govern your use of other otw sites and/or projects including the otw site itself, fanlore, or transformative works and cultures, or donations to or membership in the otw, or otw elections, all of which are covered under separate agreements hosted on each of the otw sites. the ao3 tos, the relationship between you and the otw, and all disputes arising out of or related to it, shall be governed by the laws of the united states and specifically the state of new york (refer to the tos faq), without regard to its conflict of law provisions. you and the otw agree to submit to the personal and exclusive jurisdiction of the courts located within new york county (manhattan), new york , and to waive any objection to the laying of venue there. the otw's failure to enforce any part of the tos will not waive the otw's ability to enforce it , and any waiver with regard to a specific instance shall not constitute a waiver of any other breaches of the tos, even with regard to the same user. if any provision of the tos is found by a court of competent jurisdiction to be invalid, you agree that the court should give effect to the party's intentions as reflected in the provision, and that the other provisions of the tos remain in full force and effect. you agree that, regardless of any statute or law to the contrary, any claim or cause of action arising out of or related to use of the archive or the tos must be filed within one (1) year after such claim or cause of action arose or be forever barred.",0
(legal names and other information sufficient to identify a person in the physical world will never be disclosed as part of a standard abuse complaint.,0
Content may not be uploaded to otw's servers if it contains or links to child pornography (images of real children).,0
"If the tos change at any time after may 25, 2018, this is how the process will work: changes in the tos may be proposed at any time by or to the otw board.",0
"However, the otw will retransfer any domain names only to maintainers who were formerly registered owners of the domain names at issue.",0
"Except in the case of copyright complaints, a complainant may submit a complaint via the policy &amp.",0
"If the original poster does not remove the content within the deadline, the archive will remove the content.",0
"Abuse team receives a failure-to-warn complaint in other circumstances, the team may decide the absence of a specific archive warning is misleading.",0
") transfer of project when the open doors committee and the current owner of the collection have decided to import an archive or a special collection under the open doors project, the current owner will provide a copy of the current contents and take any other steps necessary to carry out the transfer. typically, fanwork archives will be imported into the archive of our own under a collection named after the original archive. urls for open doors project for collections not hosted on the archive itself, the special collection or project may be available under subdirectories or subdomains of an otw site. we may also preserve the original project's domain name. archives that have been integrated into the archive of our own will also be listed in the open doors gallery. role of original maintainer the original maintainer of an archive that has been imported to the archive of our own will be invited to moderate their archive's collection within the archive of our own with all the powers that a collection owner in the archive usually has.",0
"Content provided by suspended accounts before the suspension will not be removed unless the otw board reasonably believes that presence/inclusion of said content exposes the archive and/or the otw to liability. we reserve the right to share your e-mail address with the owners and/or moderators of any challenges that you sign up for, and during open doors importation where the email address you provided on your ao3 account matches an email address that you used in connection with a non-ao3 collection that is being imported into ao3, your email address may be shared with the entity that manages the work(s) that is/are being imported onto ao3 through an open doors process. by registering or otherwise using an e-mail address in connection with the archive, you assert that the e-mail address is not listed on any child protection registry.",0
"The archive of our own is a place for fanworks, including fan fiction based on books, tv, movies, comics, other media, and real-person fiction (rpf).",0
"We have tried to set out clear procedures to minimize and channel the inevitable conflicts. the content and abuse policy covers procedures, spam and commercial promotion, threatening the technical integrity of the site, copyright, plagiarism, personal information and fannish identities, harassment, illegal and non-fanwork content, and ratings and warnings.",0
"We appreciate good faith attempts to resolve disputes, and in most such cases will close the complaint with no further action.",0
We provide tools for registered users to control content that is uploaded in their own spaces.,0
"Our archive software gives creators the ability to anonymize or ""orphan"" fanworks along with the option of deleting them from the archive.",0
"Should someone volunteer or request to maintain a closed collection, open doors will attempt to contact the original maintainer to find out if they are interested in transferring the collection.",0
"If the original maintainer does not respond with approval, ownership of the collection will not be transferred. collection policy where possible, the existing policies of the collection will be preserved, even if they differ from the policies of the archive of our own.",0
