text,highlighted
"Nbcuniversal may modify these arbitration provisions, but such modifications shall only become effective thirty (30) days after nbcuniversal has given notice of such modifications and only on a prospective basis for claims arising from nbcuniversal transactions and relationships occurring after the effective date of such notification. (k) small claims matters are excluded.",0
"(b) venue. subject to the arbitration provisions above, and other than small claims actions as permitted therein, any action or proceeding arising from, relating to or in connection with these terms of service will be brought exclusively in the federal or state courts located in new york, new york, and you irrevocably consent to the personal jurisdiction of such courts and agree that it is a convenient forum and that you will not seek to transfer such action or proceeding to any other forum or jurisdiction, under the doctrine of forum non conveniens or otherwise.",0
You agree to immediately notify nbcuniversal of any unauthorized use of your password or account or any other breach of security.,0
Social media plug-ins wireless carrier charges may apply to use of our online services via wireless networks or devices and geo-location details.,0
(c) location-based featuresprivacy policy.,0
"To the maximum extent permitted by law, nbcuniversal, its parent, its affiliates, agents and licensors (collectively, the ânbcuniversal partiesâ) disclaim any and all warranties and conditions, statutory or otherwise, including, without limitation, the implied warranties of merchantability, fitness for a particular purpose and noninfringement.",0
"You must have internet access, valid email address and a valid credit card or debit card (âpayment methodâ) to redeem a free trial offer.",0
(b) jurisdiction . the parties agree that the state or federal courts in new york shall have non-exclusive jurisdiction of any section 27 dispute.,0
"As with other sites, you may be able delete any existing cookies placed on your computer by the social network via your browser.",0
"You agree that nbcuniversal, its licensees, successors and/or assigns, shall have no obligation to give you credit for your user content, but in their sole discretion may elect to do so. no rights created by submission and no payment for user content: your user content will not be acknowledged or returned.",0
"We will assume (and by using this site you warrant that) you have legal capacity to enter into the agreement set out in these terms of service (i.e., that you are of sufficient age and mental capacity and are otherwise entitled to be legally bound in contract).",0
And (i) interpretation and enforcement of arbitration clause.,0
"In the event any notice to you of new, revised or additional terms is determined by a tribunal to be insufficient, the prior agreement shall continue until sufficient notice to establish a new agreement occurs.",0
(d) your limited time to file claims.,0
Notice for california users&nbsp.,0
Risk of loss&nbsp.,0
27.,0
"In addition, your carrier may charge you for standard messaging, data, and other fees to participate in wireless features.",0
You may not interfere with any other user from using or enjoying the online services. no bullying.,0
"All items purchased from the online services are pursuant to a shipment contract, and the risk of loss and title for such items passes to you upon delivery to the carrier.",0
"This means that you, and not nbcuniversal, are entirely responsible and liable for any claims, loss or damages relating to all user content that you upload, post, email or otherwise transmit via the online services.",0
You represent and warrant that you have the legal right to use the payment method you provide.,0
"Information identifying current providers of such protections is available at the electronic frontier foundation website, http://www.eff.org.",0
Pursuant to 47 u.s.c.,0
"When you access any of these third-party sites, please understand that if you visit third-party websites then your rights and obligations while accessing and using those sites will be governed by the agreements and policies relating to the use of those sites. 17.",0
"Acceptance of terms of service each time you access and/or use sites or services, you agree to be bound by these terms of service and any additional terms that will apply prospectively to you.",0
More 12.,0
"Links by you to the online services we grant you a limited, non-exclusive, revocable, non-assignable, personal, and non-transferable license to create hyperlinks to the online services, so long as: (a) the links only incorporate text, and do not use any trademarks, (b) the links and the content on your website do not suggest any affiliation with or endorsement by nbcuniversal or cause any other confusion regarding your relationship to nbcuniversal or its affiliates or to the online services, (c) the link must open in a new browser window and link to the full version of applicable online services web page.",0
"Monthly or yearly), unless you cancel, in order for registered users to access the service (âsubscription servicesâ). free trials from time to time, we may offer our subscription services (including without limitation, cnbc pro) through a free trial.",0
(c) any misrepresentation made by you in connection with your use of the online services.,1
You should visit this page regularly to review the current terms.,0
The paragraph or section titles in these terms of service are for convenience only and have no legal or contractual effect.,0
Export control&nbsp.,0
"We may change the fees and charges in effect, or add new fees and charges from time to time, but we will give you advance notice of these changes by e-mail.",0
"In addition, because some jurisdictions do not permit the disclaimer of certain warranties, the disclaimers set forth above may not apply to you.",0
Disclaimer of warranties&nbsp.,0
(c) no waiver .,0
"Acceptance of terms of service if you do not agree with any of these terms of service (âterms of serviceâ or âtermsâ), including the privacy policy incorporated herein, please do not use this site or our online services.",0
Our notice to you will be sent to you based on the most recent contact information that you provide us.,0
"None of nbcuniversal or its affiliates, or its or their officers, directors, and employees, subsidiaries and/or affiliates are responsible for user content, accuracy or opinions expressed on the online services, nor shall they have any liability for any such user content.",0
"You may not attempt to gain unauthorized access to other computer systems or networks connected to the online services or use the online services, content or any information contained therein for any unlawful purpose.",0
"You agree that you are entitled to no damages for any claims related to your use of the online services, except as set out below.",0
"We may also immediately suspended or terminate the rights we grant you to usage subscriptions and virtual items for any or no reason, in our sole discretion, and without advance notice or liability.",0
Product specifications.,0
"These terms of service, any additional terms and the relationship between you and nbcuniversal shall be governed by the laws of the u.s. and the state of new york without regard to its conflicts of law provisions.",0
Typographical errors&nbsp.,0
"If any controversy, allegation, or claim (including any non-contractual claim) arises out of or relates to the online services, the content, these terms of service, whether heretofore or hereafter arising or to any of nbcuniversalâs actual or alleged intellectual property rights (collectively, a âsection 27 disputeâ), then you and we agree to send a written notice to the other providing a reasonable description of the section 27 dispute, along with a proposed resolution of it.",0
This means that the risk of loss and title for such items pass to you upon delivery to the carrier.,0
"Digital items, subscriptions and credits purchases of usage subscriptions (including credits, points, and/or virtual currency) or any virtual items made available on the online services are nonrefundable, have no monetary value (i.e., are not a cash account or equivalent), and are purchases of only a limited, non-exclusive, revocable, non-assignable, personal, and non-transferable right to use, even if such came with a durational term (e.g., a monthly subscription).",0
You may cancel your subscription at anytime.,0
"It is a condition of use of these online services that all the details you provide be correct, current, and complete.",0
(a) section 27 disputes.,0
"You may only use this site and its contents for lawful purposes and in accordance with applicable law and you are prohibited from storing, distributing or transmitting any unlawful material through this site.",0
"For online services on mobile devices (âmobile appsâ) when you use one of our location-enabled services, we may collect and process information about your actual location.",0
"If you interact with us through a social media platform, plug-in etc., then you may be permitting us to have on-going access to certain information from your social network profile (such as name, social networking id page, email address, photo, gender, location, the people/sites you follow etc.",0
User content does not reflect the views of nbcuniversal.,0
"However provisions unique to these terms of service (e.g., arbitration) will remain in effect as outlined here. nbcuniversal may modify these terms of service prospectively from time to time in its sole discretion.",0
More 27.,0
28.,0
"Some areas of this site may be subject to additional terms and conditions, which you should read carefully before making any use of those areas.",0
"Some of the characters, logos or other images incorporated by nbcuniversal on this site are also protected as registered or unregistered trademarks, trade names and/or service marks owned by nbcuniversal or others (âtrademarksâ). nbcuniversal, pursuant to 17 u.s.c.",0
"Accordingly, you have no property, proprietary, intellectual property, ownership, or monetary interest in your usage subscriptions or virtual items, which remain our content.",0
