text,highlighted
(a) definitions.,0
"Notwithstanding the foregoing, ellation does reserve the right, in its sole discretion, to remove any comments that it deems to be improper, inappropriate or inconsistent with the online activities that are permitted under these terms of use. (b) feedback.",0
You consent to the use of (a) electronic means to complete these terms of use and to deliver any notices pursuant to these terms of use and (b) electronic records to store information related to these terms of use or your use of the site or services.,0
Modifications to these terms of use or any policies will be posted on the site or made in compliance with any notice requirements set forth in these terms of use.,0
Arbitration.,0
"We will continue to bill your payment method on a monthly basis for your membership fee until you cancel. by starting your crunchyroll membership and providing or designating a payment method, you authorize us to charge you a monthly membership fee at the then current rate, and any other charges you may incur in connection with your use of the service to your payment method.",0
"If you cancel your membership, your account will automatically close at the end of your current billing period. 3.",0
"Ellation may operate sweepstakes, contests and similar promotions (collectively, ""promotions"") through the site.",0
You understand that ellation does not in any way screen crunchyroll users.,0
"Without limiting the generality of the foregoing, ellation's aggregate liability to you arising with respect to these terms of use will not exceed $50.",0
Disclaimer.,0
"To view the specific details of your membership, including the monthly membership fee, visit the site and click on the ""your account"" link available at the top of the pages of the site.",0
Please see the crunchyroll copyright and ip policy for further information. 5.,0
"Does not accept unsolicited material that is not represented by a reputable agent, agency, manager, producer, production company or studio.",0
"You will not use the site or services to offer, display, distribute, transmit, route, provide connections to or store any material that infringes copyrighted works or otherwise violates or promotes the violation of the intellectual property rights of any third party.",0
"Providing urls in the body of an email is the best way to help us locate content quickly. information reasonably sufficient to permit the service provider to contact the complaining party, such as an address, telephone number, and, if available, an electronic mail address at which the complaining party may be contacted. a statement that the complaining party has a good faith belief that use of the material in the manner complained of is not authorized by the copyright owner, its agent, or the law. 6.",0
"In any litigation between you and ellation over whether to vacate or enforce an arbitration award, you and ellation waive all rights to a jury trial, and elect instead to have the dispute be resolved by a judge. you and ellation agree that each may bring claims against the other only in your or our individual capacity and not as a plaintiff or class member in any purported class or representative proceeding.",0
"Ellation will have no responsibility or liability for maintaining copies of user submissions on our servers, and you are solely responsible for creating back-ups of your user submissions. (c) crunchyroll content.",0
"You will cooperate fully with ellation to investigate any suspected unlawful, fraudulent or improper activity, including, without limitation, granting authorized ellation representatives access to any password-protected portions of your crunchyroll account. 7.",0
You retain all rights in your user submissions.,1
This may result in a change to your payment billing dates.,0
"These terms of use limit ellation's liability and obligations to you, grant us certain rights and allow us to change, suspend or terminate your access to and use of the site and services.",0
Ellation has adopted and implemented a policy that provides for the termination in appropriate circumstances of the accounts of users who repeatedly infringe or are believed to be or are charged with repeatedly infringing the rights of copyright holders.,1
"Ellation reserves the right to contact crunchyroll members, in compliance with applicable law, in order to evaluate compliance with the rules and policies in these terms of use.",0
"You agree to defend, indemnify and hold ellation and its affiliates, subsidiaries and distribution partners and their respective officers, directors, employees and/or agents harmless from and against any claims, liabilities, damages, losses and expenses, including, without limitation, reasonable attorneys' fees and costs, arising out of or in any way connected with: (i) your access to or use of the site, services, crunchyroll content or user submissions.",1
"You agree to take reasonable precautions in all interactions with other crunchyroll users, particularly if you decide to meet a crunchyroll users offline, or in person.",0
"If you do so, neither you nor ellation can force the other to arbitrate.",0
"To opt-out, you must notify ellation in writing no later than thirty (30) days after first becoming subject to this arbitration agreement.",0
The date of receipt will be deemed the date on which such notice is transmitted. 18.,0
Please also be advised that we enforce a policy that provides for the termination in appropriate circumstances of subscribers who are repeat infringers.,0
These terms of use will be governed by and interpreted in accordance with the laws of the state of california excluding that body of law pertaining to conflict of laws.,1
"In the event the aaa is not available to arbitrate, the parties will select an alternative arbitral forum.",0
"The arbitrator may make rulings and resolve disputes as to the payment and reimbursement of fees or expenses at any time during the proceeding and upon request from either party made within 14 days of the arbitratorâs ruling on the merits. the arbitrator will decide the jurisdiction of the arbitrator and the rights and liabilities, if any, of you and ellation.",0
Ellation will not be liable to you or any third party for termination of the site or services or termination of your use of either.,0
The award of the arbitrator is final and binding upon you and ellation. you and ellation waive any constitutional and statutory rights to go to court and have a trial in front of a judge or a jury.,0
Your renewal date may change due to changes in your membership.,0
"If you do not accept these terms of use in their entirety, you may not access or use the site or services.",0
"If a payment is not successfully settled, due to expiration, insufficient funds, or otherwise, and you do not edit your payment method information or cancel your account (see, ""cancellation"" below), you remain responsible for any uncollected amounts and authorize us to continue billing the payment method, as it may be updated.",0
"In addition, ellation makes no representation or warranty that the site, services, crunchyroll content or any other content made available through the site or services will be error free or that any errors will be corrected .",0
Copyrighted materials: no infringing use.,0
"Upon the occurrence of a force majeure event, ellation will be excused from any further performance of its obligations effected by the force majeure event for so long as the event continues, and for such further period of time that ellation may reasonably require to recover from the effects of such force majeure event. 16.",0
Free trials are for new and certain former members only.,0
