text,highlighted
"Introduction please read these terms of service (""terms"") carefully.",0
"If you believe the copyright in your work or in the work for which you act as an agent has been infringed through this service, please contact deviantart's agent for notice of claims of copyright infringement, daniel sowers who can be reached through violations@deviantart.com.",1
Individuals who have posted works to deviantart are either the copyright owners of the component parts of that work or are posting the work under license from a copyright owner or his or her agent or otherwise as permitted by law.,0
"You may not reproduce, distribute, publicly display or perform, or prepare derivative works based on any of the content including any such works without the express, written consent of deviantart or the appropriate owner of copyright in such works.",0
Visit https://www.deviantart.com/sell/ for additional details on the print program.,0
Privacy deviantart has a firm commitment to safeguarding your privacy.,0
"If you have registered as a member, we shall notify you of any material changes to these terms (and the effective date of such changes) by sending an email to the address you have provided to deviantart for your account.",1
"Please refer to deviantart's copyright policy for further details. you agree not to use the service: for any unlawful purposes; to upload, post, or otherwise transmit any material that is obscene, offensive, blasphemous, pornographic, unlawful, threatening, menacing, abusive, harmful, an invasion of privacy or publicity rights, defamatory, libelous, vulgar, illegal or otherwise objectionable; to upload, post, or otherwise transmit any material that infringes any copyright, trade mark, patent or other intellectual property right or any moral right or artist's right of any third party including, but not limited to, deviantart or to facilitate the unlawful distribution of copyrighted content or illegal content; to harm minors in any way, including, but not limited to, uploading, posting, or otherwise transmitting content that violates child pornography laws, child sexual exploitation laws or laws prohibiting the depiction of minors engaged in sexual conduct, or submitting any personally identifiable information about any child under the age of 13; to forge headers or otherwise manipulate identifiers in order to disguise the origin of any content transmitted through the service; to upload, post, or otherwise transmit any material which is likely to cause harm to deviantart or anyone else's computer systems, including but not limited to that which contains any virus, code, worm, data or other files or programs designed to damage or allow unauthorized access to the service which may cause any defect, error, malfunction or corruption to the service; for any commercial purpose, except as expressly permitted under these terms; to sell access to the service on any other website or to use the service on another website for the primary purpose of gaining advertising or subscription revenue other than a personal blog or social network where the primary purpose is to display content from deviantart by hyperlink and not to compete with deviantart. 19a.",0
No other commercial activities are permitted on or through the service without deviantart's written approval.,0
You also agree that you will ensure that this information is kept accurate and up to date at all times.,0
"The foregoing disclaimers, waivers and limitations shall apply notwithstanding any failure of essential purpose of any limited remedy.",0
"Or the content, products, or services on or available from such websites or resources.",1
Deviantdollars are not legal currency and are not legal tender.,0
"Trademarks all brand, product and service names used in this service which identify deviantart or third parties and their products and services are proprietary marks of deviantart and/or the relevant third parties.",0
"Identification of the material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled, and information reasonably sufficient to permit the service provider to locate the material.",0
"Registration to register as a member of the service or purchase products, you must be 13 years or lawfully permitted to enter into and form contracts under applicable law.",0
Please contact deviantart at https://help.deviantart.com/contact/ and we will let you know whether you need to return the product(s) to us.,1
"Submitting content chat rooms and forums - as a registered member of the service, you will be granted the privilege of participating in chat rooms and forums on the deviantart website as part of the service, which means you may post your content in the form of text for display in these areas of the deviantart website, subject to your compliance with the terms. artist materials - as a registered member of the service, you will also be granted the privilege of submitting certain types of your content, known as ""artist materials,"" for display on your user page.",0
"Nothing in this service shall be deemed to confer on any person any license or right on the part of deviantart or any third party with respect to any such image, logo or name. 4.",0
"Print program as a registered member of the service, you will also be granted the privilege of listing certain types of artist materials, known as ""artwork,"" for sale through the deviantart shop.",0
In no event shall deviantart's aggregate liability to you exceed the amounts paid by you to deviantart pursuant to this agreement.,1
"We can remove a group and the group's privileges at any time at our discretion. the use in a group name of trademarks or distinctive trade names of properties, goods or services is subject to objections from the owner of the marks and names.",0
"You specifically acknowledge that deviantart is not liable for your defamatory, offensive or illegal conduct, or such conduct by third parties, and you expressly assume all risks and responsibility for damages and losses arising from such conduct.",0
Deviantart's failure to enforce any right or provision in these terms shall not constitute a waiver of such right or provision.,1
Amendment of the terms we reserve the right to amend these terms from time to time in our sole discretion.,0
"If you continue to use the service after the effective date of the revised terms, you will be deemed to have accepted those changes.",0
"Product purchases from the deviantart shop from time to time, deviantart may make certain products available for purchase through the deviantart shop.",0
General these terms constitute the entire agreement between deviantart and you with respect to your use of the service.,0
Prices do not include any import duties that may be added by the order destination country.,0
Commercial activities in the form of paid advertising on the service are subject to the terms and conditions relating to the purchase of such advertising.,0
"However, you acknowledge and agree that deviantart may, at its option, establish limits concerning your use of the service, including without limitation the maximum number of days that your content will be retained by the service, the maximum size of any content files that may be stored on the service, the maximum disk space that will be allotted to you for the storage of content on deviantart's servers.",0
"For example, if you paid for your order with a credit card, the credit will be applied to that card. except as expressly provided in this section 21, any product purchased through the deviantart shop is provided on an ""as is"" basis.",0
Deviantdollars are nontransferable and deviantdollars accrued in multiple accounts may not be combined.,0
"To check your balance, simply go into your messages, once there click on the community messages tab and on the right hand column click view my deviantdollars and this will show you your current balance.",0
"You further acknowledge that deviantart reserves the right to modify its storage policies from time to time, with or without notice to you. 19.",0
Any disputes arising under or in connection with these terms shall be subject to the exclusive jurisdiction of the state and federal courts of the state of california.,1
"You agree that the information that you provide to us upon registration, at the time of purchase, and at all other times will be true, accurate, current and complete.",0
"Delivery dates are provided as an estimate only. in general, deviantart accepts returns on defective products or incorrect orders within thirty (30) days after receipt of your order.",0
"Copyright deviantart is, unless otherwise stated, the owner of all copyright and data rights in the service and its contents.",0
You acknowledge sole responsibility for and assume all risk arising from your use of any such websites or resources. 7.,0
19b.,0
"Please note that when you upload content, third parties will be able to copy, distribute and display your content using readily available tools on their computers for this purpose although other than by linking to your content on deviantart any use by a third party of your content could violate paragraph 4 of these terms and conditions unless the third party receives permission from you by license. 17.",0
These terms shall be governed by and construed in accordance with the laws of the state of california.,1
Further information about groups can be found in our etiquette policy.,0
"Identification of the copyrighted work claimed to have been infringed, or, if multiple copyrighted works at a single online site are covered by a single notification, a representative list of such works at that site.",0
Conduct you agree to be subject to and to conduct yourself in accordance with the deviantart etiquette policy.,0
External links deviantart may provide links to third-party websites or resources.,0
"Availability this service is provided by deviantart on an ""as is"" and ""as available"" basis and deviantart reserves the right to modify, suspend or discontinue the service, in its sole discretion, at any time and without notice.",0
Deviantart does not endorse any content placed on the service by third parties or any opinions or advice contained in such content.,0
"Furthermore, you acknowledge that deviantart reserves the right to terminate or suspend accounts that are inactive, in deviantart's sole discretion, for an extended period of time (thus deleting or suspending access to your content).",0
"Except for the express, limited remedies provided herein, and to the fullest extent allowed by law, deviantart shall not be liable for any damages of any kind arising from use of the service, including but not limited to direct, indirect, incidental, consequential, special, exemplary, or punitive damages, even if deviantart has been advised of the possibility of such damages.",0
"Deviantart shall have the right to assign its rights and/or delegate its obligations under these terms, in whole or in part, to any person or business entity.",0
Reporting copyright violations deviantart respects the intellectual property rights of others and expects users of the service to do the same.,0
Each return is credited in the same manner as payment.,0
"Therefore, some of the above exclusions or limitations may not apply to you.",0
"Deviantart's sole obligation, and your sole and exclusive remedy, with respect to any defective product purchased through the deviantart shop shall be for deviantart to provide a replacement, refund or credit, as specified in the preceeding paragraph. 22.",0
"Paragraph 9, above, of these terms of service specifically applies with respect to commercial activities.",0
"Deviantart disclaims all warranties, express or implied, including without limitation, implied warranties of merchantability, fitness for a particular purpose, and non-infringement, to the fullest extent permitted by law.",0
Copyright in your content deviantart does not claim ownership rights in your content.,0
"Monitoring content deviantart has no ability to control the content you may upload, post or otherwise transmit using the service and does not have any obligation to monitor such content for any purpose.",0
"Suspension and termination of access and membership you agree that deviantart may at any time, and without notice, suspend or terminate any part of the service, or refuse to fulfill any order, or any part of any order or terminate your membership and delete any content stored on the deviantart site, in deviantart's sole discretion, if you fail to comply with the terms or applicable law. 21.",0
"Links to such websites or resources do not imply any endorsement by deviantart of such websites or resources or the content, products, or services available from such websites or resources.",0
"Prior to submitting artist materials, you must accept the additional terms and conditions of the submission policy, which is incorporated into, and forms a part of, the terms. 16.",0
"This is especially important with respect to your email address, since that is the primary way in which we will communicate with you about your account and your orders. 14.",0
"Commercial activities commercial activities mean the offering, solicitation or sale of goods or services by anyone other than deviantart.",0
"You acknowledge that you are solely responsible for all content and material you upload, post or otherwise transmit using the service. 18.",0
"Groups as a registered member of the service, you will also be able to participate as an administrator or member of a ""group"" which is a set of user pages and applications formed for the purpose of collecting content, discussions and organizing members of the site with common interests.",0
"Disclaimer of warranty and limitation of liability deviantart makes no representations or warranties of any kind, express or implied as to the operation of the service, or the content or products, provided through the service.",0
"You are responsible for all of your content you upload, download, and otherwise copy, distribute and display using the service.",1
"The terms of deviantart's privacy policy are incorporated into, and form a part of, these terms. 3.",0
""" 20.",0
Original shipping charges are not refunded on returned items.,0
"Content provided to you by others, or made available through websites, magazines, books and other sources, are protected by copyright and should not be uploaded, downloaded, or otherwise copied, distributed or displayed without the consent of the copyright owner or as otherwise permitted by law.",0
"To use the third-party software, you must agree to the terms and conditions imposed by the third party provider and the agreement to use such software will be solely between you and the third party provider.",0
"Information reasonably sufficient to permit the service provider to contact the complaining party, such as an address, telephone number, and, if available, an electronic mail address at which the complaining party may be contacted.",0
"You agree that you shall be solely responsible for any activities or actions under your password, whether or not you have authorized such activities or actions.",1
