text,highlighted
Your use of the fanfiction.net service following any amendment of these terms of service will signify your assent to and acceptance of its revised terms.,0
"If any provision of these terms of service is deemed invalid by a court of competent jurisdiction, the invalidity of such provision shall not affect the validity of the remaining provisions of these terms of service, which shall remain in full force and effect.",1
Terms of service 1.,0
This defense and indemnification obligation will survive these terms of service and your use of the fanfiction.net service.,0
"Last updated feb 12, 2019",0
"Include the following statement: ""i have a good faith belief that use of the copyrighted work described above is not authorized by the copyright owner (or by a third party who is legally entitled to do so on behalf of the copyright owner) and is not otherwise permitted by law.""",0
"Ability to accept terms of service you affirm that you are either more than the age of majority in your jurisdiction of residence, or an emancipated minor, or possess legal parental or guardian consent, and are fully able and competent to enter into the terms, conditions, obligations, affirmations, representations, and warranties set forth in these terms of service, and to abide by and comply with these terms of service.",0
"E. you further agree that you will not, in connection with user submissions, submit material that is contrary to the fanfiction.net community guidelines, found at https://www.fanfiction.net/guidelines/, which may be updated from time to time, or contrary to applicable local, national, and international laws and regulations.",0
"And any use of the service or its related services that fanfiction.net finds, in its sole discretion, to use fanfiction.net's resources or user submissions with the effect of competing with or displacing the market for fanfiction.net , fanfiction.net content, or its user submissions.",0
Acceptance of terms a.,0
"You are solely responsible for the activity that occurs on your account, and you must keep your account password secure.",1
"In connection with user submissions, you affirm, represent, and/or warrant that: you own or have the necessary licenses, rights, consents, and permissions to use and authorize fanfiction.net to use all patent, trademark, trade secret, copyright or other proprietary rights in and to any and all user submissions and have all necessary consents to collect, use and disclose any personally identifiable information contained or displayed in any and all user submissions to enable inclusion and use of the user submissions in the manner contemplated by the service and these terms of service.",0
You also hereby waive any moral rights you may have in your user submissions and grant each user of the fanfiction.net service a non-exclusive license to access your user submissions through the service.,0
"D. in connection with user submissions, you further agree that you will not submit material that is copyrighted, protected by trade secret or otherwise subject to third party proprietary rights, including privacy and publicity rights, unless you are the owner of such rights or have permission from their rightful owner and the necessary consents from any individuals whose personally identifiable information is contained in such material to post the material and to grant fanfiction.net all of the license rights granted herein.",0
"E. you agree not to circumvent, disable or otherwise interfere with security-related features of the fanfiction.net service or features that prevent or restrict use or copying of any content or enforce limitations on use of the fanfiction.net service or the content therein.",0
"(iii) your violation of any third party right, including without limitation any copyright, intellectual property, or privacy right.",0
"By using the service, you expressly relieve fanfiction.net from any and all liability arising from your use of any third-party website or services.",0
The fanfiction.net service may contain links to third party websites or services that are not owned or controlled by fanfiction.net.,0
"To the maximum extent permitted by local law, you and fanfiction.net agree that any cause of action arising out of or related to the fanfiction.net service must commence within one (1) year after the cause of action accrues.",0
"The text is copied, the entire story is a copy of an original work made by you, etc.)",0
3.,0
Fanfiction.net reserves the right to revoke these exceptions either generally or in specific cases.,0
"You specifically acknowledge that fanfiction.net shall not be liable for user submissions or the defamatory, offensive, or illegal conduct of any third party and that the risk of harm or damage from the foregoing rests entirely with you.",0
G. fanfiction.net reserves the right to discontinue any aspect of the fanfiction.net service at any time.,0
"You understand that whether or not such user submissions are published, fanfiction.net does not guarantee any confidentiality with respect to any user submissions.",0
7.,0
"User submitted content are collectively referred to as ""user submissions.""",0
"Send the notice, in english, to the following address: attn: fanfiction.net copyright infringement notification email: copyright@fanfiction.com fax : (888) 743-0192 (united states) please also note that the information provided in this legal notice may be forwarded to the person who provided the allegedly infringing content.",0
"Fanfiction.net expressly disclaims any warranty or condition of any kind of fitness for a particular or general purpose, quality, merchantability, workmanship, non-infringement, or title and ownership.",0
Or (iv) any claim that one of your user submissions caused damage to a third party.,0
Let us have contact information so that we can get in touch with you (email address is preferred).,0
Make sure you know whether the content that you have seen on fanfiction.net infringes your copyright.,0
"General use of the service fanfiction.net hereby grants you permission to access and use the service as set forth in these terms of service, provided that: a.",0
Fanfiction.net reserves the right to remove content and user submissions without prior notice.,1
"These terms of service apply to all users of the fanfiction.net service, including users who are also contributors of content, information, and other materials or services on the service.",0
Warranty and condition disclaimer you agree that your use of the fanfiction.net service shall be at your sole risk.,0
And details of (e.g.,0
13.,0
"Fanfiction.net reserves the right to amend these terms of service at any time and without notice, and it is your responsibility to review these terms of service for any changes.",0
C. you agree not to access user submissions (defined below) or fanfiction.net content through any technology or means other than the service itself.,0
"To file a copyright infringement notification with us, you will need to send a communication to us with all of the following information in it, using this format: include a statement telling us that you have found a content on fanfiction.net which you believe infringes your copyright (for example, ""i hereby confirm that i believe the story identified below infringes my copyright"").",0
"The sale of advertising, on the fanfiction.net service or any third-party website or services, targeted to the content of specific user submissions or fanfiction.net content.",0
"Fanfiction.net makes no warranties, conditions or representations about the accuracy or completeness of this site's content or the content of any sites linked to this site and assumes no liability or responsibility for any (i) errors, mistakes, or inaccuracies of content, (ii) personal injury, property, bodily, moral or material damage of any nature whatsoever, resulting from your access to and use of our service, (iii) any unauthorized access to or use of our secure servers and/or any and all personal information and/or financial information stored therein, (iv) any interruption or cessation of transmission to or from our service, (iv) any bugs, viruses, trojan horses, or the like which may be transmitted to or through our service by any third party, and/or (v) any errors or omissions in any content or for any loss or damage of any kind incurred as a result of the use of any content posted, emailed, transmitted, or otherwise made available via the fanfiction.net service.",0
"Copyright policy as part of fanfiction.net's copyright policy, fanfiction.net may terminate user access to the service if a user has been determined to be an infringer.",0
"No waiver of any term of this these terms of service shall be deemed a further or continuing waiver of such term or any other term, and fanfiction.net's failure to assert any right or provision under these terms of service shall not constitute a waiver of such right or provision.",0
"These terms of service, together with the privacy notice at https://www.fanfiction.net/privacy/ and any other legal notices published by fanfiction.net on the service, shall constitute the entire agreement between you and fanfiction.net concerning the fanfiction.net service.",0
"Otherwise, such cause of action is permanently barred .",0
User submissions and conduct a.,0
"D. you agree not to use the service for any commercial use, without the prior written authorization of fanfiction.net.",0
"If this information is available on the internet, it is helpful to send us a link.",0
"By using and/or access our services (collectively, including all content available through the fanfiction.net domain name, apps, and any country-specific domains, subdomains thereof, the ""fanfiction.net service"", or ""service""), you signify your agreement to (1) these terms and conditions (the ""terms of service""), (2) fanfiction.net's privacy policy and incorporated here by reference, and (3) fanfiction.net's cookies policy and incorporated here by reference, and (4) fanfiction.net's community guidelines and also incorporated here by reference.",0
"Although fanfiction.net will not be liable for your losses caused by any unauthorized use of your account, you may be liable for the losses of fanfiction.net or others due to such unauthorized use.",0
Be aware that there may be adverse legal consequences in your country if you make a false or bad faith allegation of copyright infringement by using this process.,0
Tell us the title of the content concerned and the full url for its page.,0
Service a.,0
"Assignment these terms of service, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by fanfiction.net without restriction.",0
A.,0
"Fanfiction.net has no control over, and assumes no responsibility for, the content, privacy policies, or practices of any third party websites or services.",1
As intended through the normal functionality of the fanfiction.net service.,0
"Although we may attempt to notify you when major changes are made to these terms of service, you should periodically review the most up-to-date version (https://www.fanfiction.net /tos/).",0
(ii) your violation of any term of these terms of service.,0
Sign the notice.,0
You shall be solely responsible for your own user submissions and the consequences of posting or publishing them.,0
"F. fanfiction.net does not endorse any user submission or any opinion, recommendation, or advice expressed therein, and fanfiction.net expressly disclaims any and all liability in connection with user submissions.",0
"You further understand and acknowledge that you may be exposed to user submissions that are inaccurate, offensive, indecent, or objectionable, and you agree to waive, and hereby do waive, any legal or equitable rights or remedies you have or may have against fanfiction.net with respect thereto, and agree to indemnify and hold fanfiction.net, its owners/operators, affiliates, and/or licensors, harmless to the fullest extent allowed by law regarding all matters related to your use of the site.",0
Nothing in this agreement shall be deemed to confer any third-party rights or benefits.,0
"Fanfiction.net does not permit copyright infringing activities and infringement of intellectual property rights on its service, and fanfiction.net will remove all content and user submissions if properly notified that such content or user submission infringes on another's intellectual property rights or contravenes any applicable privacy legislation.",0
"B. fanfiction.net reserves the right to decide whether content or a user submission is appropriate and complies with these terms of service for violations other than copyright infringement or privacy law, such as, but not limited to, hate crimes, pornography, obscene or defamatory material, or excessive length.",0
"And (ii) the fanfiction.net service shall be deemed a passive internet service that does not give rise to personal jurisdiction over fanfiction.net, either specific or general, in jurisdictions other than california.",0
I swear that the information contained in this notification is accurate and that i am the copyright owner or have an exclusive right in law to bring infringement proceedings with respect to its use.,0
Tell us which country your copyright applies to.,0
6.,0
"As with the purchase of a product or service through any medium or in any environment, you should use your best judgment and exercise caution where appropriate.",0
B.,0
"Fanfiction.net does not warrant, endorse, guarantee, or assume responsibility for any product or service advertised or offered by a third party through the fanfiction.net service or any hyperlinked service or featured in any banner or other advertising, and fanfiction.net will not be a party to or in any way be responsible for monitoring any transaction between you and third-party providers of products or services.",0
"C. you may access fanfiction.net content, user submissions and other content only as permitted under this agreement.",0
