text,highlighted
"Sharing referral linksreferrals links should only be used for personal and non-commercial purposes, and only shared with personal connections that will appreciate receiving these invitations.5.",0
"Referral programfor the referral program, gladly will distribute ""referral links"" to the gladly community.",0
"Without limiting the foregoing, to the maximum extent permitted under applicable law, the gladly entities disclaim all warranties and conditions, whether express or implied, of merchantability, fitness for a particular purpose, or non-infringement. the gladly entities make no warranty and disclaim all responsibility and liability for: (i) the completeness, accuracy, availability, timeliness, security or reliability of the website or any content.",0
"(ii) any conduct or content of any third party on the website, including without limitation, any defamatory, offensive or illegal conduct of other users or third parties.",0
"In such a case, gladly will evenly distribute that cause's unpaid earnings to all other causes on the website. if at any time the administration of a cause for which gladly raises revenue requests that gladly remove the cause from the website or discontinue all payments to said cause, gladly will comply within fourteen (14) days from the date of receiving a written request from a verifiable member of the cause's administration.",0
"Or (ii) the content, products, or services on or available from such websites or resources.",1
"If you have any questions, please contact the gladly team.1.",0
"Payments to causesgladly's mission is the payment of advertising revenue generated to nonprofit charity organizations (""cause"" or ""causes"") that users care about.",0
Gladly is not operated by any members of administration from the causes listed on the website.3.,0
Gladly may require evidence of the user's ownership of the material prior to complying with the request.4.,0
"Any displayed dollar amount ""raised"", ""given"", or ""earned"" simply indicates that gladly has designated funds for payment to a particular cause, and in no way reflects when the cause actually receives these funds. all dollar amounts listed on the website represent united states dollars. although gladly makes payments of user-generated funds to the causes users designate, all user-generated funds are considered the wholly-owned revenue of gladly and all payments to causes are considered payments directly from gladly to the designated causes.",0
"Links to such websites or resources do not imply any endorsement by the gladly entities of such websites or resources or the content, products, or services available from such websites or resources.",1
"In such a case, gladly will evenly distribute that cause's unpaid earnings to all other causes on the website. by listing a cause on its website or raising revenue for a cause, gladly does not necessarily imply any formal relationship with that cause.",0
"Reproduction and display of contentgladly, to the best of its knowledge, does not reproduce or display any content to which gladly does not have the right to reproduce or display. any photos or written content reproduced from other sources are photos or written content that were explicity licensed with a creative commons license for commercial use at the time of their obtainment. all users must agree to owning all rights to their submitted content and give gladly the right to reproduce and display that content on the website and in all marketing material.",0
"User-submitted content is reproduced and displayed on good faith that the user who submitted the content owned all rights to the content. if at any time a the owner of any content reproduced or displayed on the website requests that the owner's content be removed from the website, gladly will comply with that request within fourteen (14) days of receiving the request.",0
"This document applies to gladly (""gladly"", tab for a cause"", ""search for a cause"", ""us"", ""our"", or ""we""), and by using the website in any way, you agree to these terms in their entirety.",0
"You understand and agree that the website is provided to you on an ""as is"" and ""as available"" basis.",1
"(ii) any harm to your computer system, loss of data, or other harm that results from your access to or use of the website or any content.",1
Nothing in this section is intended to limit any rights you may have which may not be lawfully limited.a.,0
