text,highlighted
"This includes but is not limited to the following: engaging in the use of stolen credit cards, stolen bank accounts, stolen debit cards, stolen charge cards, stolen online payment accounts (eg.",0
"We are not liable for any direct, indirect, consequential, inconveniences, or whatsoever damages, or loss of profit, that may arise from the use of our services. we cannot and do not guarantee the speed of our service.",1
"If we make changes that are material, we will take every reasonable step to ensure that changes are brought to your attention by posting all changes prominently on the ivpn website and emailing our existing customers.",1
"Spam email), hate email, mass-marketing emails, unsolicited instant messages and unsolicited sms. you will not use our services to engage in any sort of child pornography activities.",0
We also cannot and do not guarantee that you will have an uninterrupted service.,1
The notice will designate a reasonable period of time after which the new terms will take effect.,1
"Terms of service last updated: 21 january 2021 these are the terms of service you are agreeing to when you subscribe and/or are using the services of ivpn, operated by privatus limited. please note that in this agreement, the term âyouâ means you the âsubscriber/userâ, and the term âweâ or âourâ means privatus limited, its owners, employees, agents and any others involved with privatus limited. as a subscriber of our services, you agree that: you will not use our service to hack or attack other computers or networks on the internet. you will not use our service to scan (eg.",0
"However, any dispute that arose before the changes shall be governed by the terms that were in place when the dispute arose. this is our binding agreement when you agree to these terms of service. the main goal of our service is to protect your privacy.",0
"Port scanning, running proxy hunters) other computers or networks on the internet. you will not use our service to transmit viruses, worms, trojans etc.",0
Your continued use of the ivpn service will be subject to the new terms.,0
"You will be responsible for all the activities involving your account. you agree not to pay for the service from a stolen credit card. you will not resell or attempt to resell ivpn accounts or services to any individual or entity for use or further resale without the express written permission of privatus limited. the service that is offered to you is provided on an âas isâ basis, with no warranties whatsoever.",0
"If you disagree with our changes, then you should stop using the ivpn service within the designated notice period.",0
To other computers or networks on the internet. you will not use our service to attack our servers and resources in any way. you will not use our service for receiving and distributing pirated copyright materials.,0
"This includes, but is not limited to the following: sending unsolicited emails (i.e.",1
"We are not liable for any direct, indirect, consequential, inconveniences, or whatsoever damages, or loss of profit, that may arise from the use of our services. we are not in any shape or form liable for damages of any sort (realized or unrealized) resulting from the use of, or through the use of, or arising from the use of, or the inability to use the ivpn service pertaining to any registered user. in any event, ivpn shall never be liable for any monetary damages beyond what the user paid to ivpn and this will not include court costs or attorney fees irrespective of any statutes or laws that may be interpreted otherwise. we reserve the right to make amendments or modifications to our terms of use agreement.",0
No refunds or credit will be given. if you have any questions about this policy please contact us.,0
Paypal). you will not use our service to send out phishing or identity theft emails. you will not promote or encourage criminal or terrorist activities of any sort. you will not use our services to threaten or harass others. you will not run resource intensive programs that will interfere with the usage of our services by our users. you will not share your account with others.,0
"This includes, but is not limited to the following activities: trading, selling, bartering, sharing, transmitting or receiving, of such materials. you will not use our service to send unsolicited data in any form.",0
"We absolutely do not condone or promote criminal activities of any sort. if you violate any of our terms, we reserve the right to terminate your service without any advance warning or notification.",0
"This includes, but not limited to the following: trading, bartering, selling, transmitting or receiving such material. you will not use our service for any type of criminal activities.",0
