text,highlighted
1.,0
"No resale of service you agree not to reproduce, duplicate, copy, sell, trade, resell or exploit for any commercial purposes, any portion of the service (including your infinityfree id), use of the service, or access to the service, unless you are a member of the infinityfree reseller service, utilising the reselling platform to resell to end users. 18.",0
"Without limiting the foregoing, infinityfree and its designees shall have the right to remove any content that violates the tos or is otherwise objectionable.",0
"(ii) the cost of procurement of substitute goods and services resulting from any goods, data, information or services purchased or obtained or messages received or transactions entered into through or from the service.",0
"Thus, certain equipment, routing, software, and programming used by infinityfree are not directly owned or written by infinityfree.",0
(iv) statements or conduct of any third party on the service.,0
"Accordingly, some of the above limitations of sections 19 and 20 may not apply to you. 29.",0
"Infinityfree reserves the right to suspend service at any time without prior notice if or when the health or normal running / performance of a service is effected / degraded by a website or hosting service. you acknowledge that infinityfree may or may not pre-screen content, but that infinityfree and its designees shall have the right (but not the obligation) in their sole discretion to pre-screen, refuse, or remove any content that is available via the service.",0
"This includes linking to or redirecting to any content or copyright files hosted on a 3rd party resource / servers. upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose (please read our complete spam policy); upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any computer software or hardware or telecommunications equipment; upload, post, email, transmit or otherwise make available any material that is of broadcast / streaming types. upload, post, email, transmit or otherwise make available any material that is of keylogging / proxy service / irc / shell(s) if any type / file hosting / file sharing types. upload, post, email, transmit or otherwise make available any material on free hosting accounts that is of pornographic nature. interfere with or disrupt the service or servers or networks connected to the service, or disobey any requirements, procedures, policies or regulations of networks connected to the service; intentionally or unintentionally violate any applicable local, state, national or international law, including, but not limited to, regulations promulgated by the u.s. securities and exchange commission, any rules of any national or other securities exchange, including, without limitation, the new york stock exchange, the american stock exchange or the nasdaq, and any regulations having the force of law; provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by the united states government as a foreign terrorist organization pursuant to section 219 of the immigration and nationality act; ""stalk"" or otherwise harass another.",0
"Infinityfree will show highest interest to make sure that that services provided by a 3rd party are running smoothly and correctly, and will contact the 3rd party provider when changes or fixes are needed, however the time needed for any fix or alteration will not be decided by infinityfree and infinityfree will not be held liable for any fixes or alterations to be performed on a product provided by a 3rd party in a definite time frame. 20.",0
"Cause for such termination shall include, but not be limited to, breaches or violations of the tos or other incorporated agreements or guidelines, requests by law enforcement or other government agencies, a request by you (self-initiated account deletions), discontinuance or material modification to the service (or any part thereof), unexpected technical or security issues or problems, extended periods of inactivity, engagement by you in fraudulent or illegal activities, and/or nonpayment of any fees owed by you in connection with the services.",1
"You are responsible for those fees, including those fees associated with the display or delivery of advertisements.",0
"Infinityfree's proprietary rights you acknowledge and agree that the service and any necessary software used in connection with the service (""software"") contain proprietary and confidential information that is protected by applicable intellectual property and other laws.",0
"Accordingly, by agreeing to this terms of service, you acknowledge that use of the service results in interstate data transmissions. 14.",0
"If you provide any information that is untrue, inaccurate, not current or incomplete, or infinityfree has reasonable grounds to suspect that such information is untrue, inaccurate, not current or incomplete, infinityfree has the right to suspend or terminate your account and refuse any and all current or future use of the service (or any portion thereof). infinityfree is concerned about the safety and privacy of all its users, particularly children.",0
Excessive resource usage can constitute any form of server usage calculated and determined at the discretion of infinityfree.,0
Right to suspend / terminate hosting services we reserve the right to suspend or terminate any hosting services if a website/hosting service consumes excessive server resources or effects other websites / hosting services on a shared or clustered hosting server.,0
"(ii) the service will be uninterrupted, timely, secure or error-free.",1
"The service is provided on an ""as is"" and ""as available"" basis.",1
"This license exists only for as long as you elect to continue to include such content on the service and will terminate at the time you remove or infinityfree removes such content from the service. with respect to content other than photos, graphics, audio or video you submit or make available for inclusion on publicly accessible areas of the service other than infinityfree servers, the perpetual, irrevocable and fully sublicensable license to use, distribute, reproduce, modify, adapt, publish, translate, publicly perform and publicly display such content (in whole or in part) and to incorporate such content into other works in any format or medium now known or later developed. ""publicly accessible"" areas of the service are those areas of the infinityfree network of properties that are intended by infinityfree to be available to the general public.",0
These are set at the present values to ensure the reliability of the server.,0
"Special admonitions for international use recognizing the global nature of the internet, you agree to comply with all local rules regarding online conduct and acceptable content.",0
You may not attempt to override or circumvent any of the usage rules embedded into the service.,0
You acknowledge that infinityfree reserves the right to log off accounts that are inactive for an extended period of time.,0
"Upon receipt of a copy of a death certificate, your account may be terminated and all contents therein permanently deleted. statute of limitations you agree that regardless of any statute or law to the contrary, any claim or cause of action arising out of or related to use of the service or the tos must be filed within one (1) year after such claim or cause of action arose or be forever barred. the section titles in the tos are for convenience only and have no legal or contractual effect. 35.",0
A small percentage of users may experience epileptic seizures when exposed to certain light patterns or backgrounds on a computer screen or while using the service.,0
"Contributions to infinityfree by submitting ideas, suggestions, documents, and/or proposals (""contributions"") to infinityfree through its forum, or contact forms, you acknowledge and agree that: your contributions do not contain confidential or proprietary information; infinityfree is not under any obligation of confidentiality, express or implied, with respect to the contributions; infinityfree shall be entitled to use or disclose (or choose not to use or disclose) such contributions for any purpose, in any way, in any media worldwide; infinityfree may have something similar to the contributions already under consideration or in development; your contributions automatically become the property of infinityfree without any obligation of infinityfree to you.",0
"Description of service infinityfree provides users with access to a rich collection of resources, including various communications tools, forums, shopping services, search services, personalized content and branded programming through its network of properties which may be accessed through any various medium or device now known or hereafter developed (the ""service"").",0
"Member account, password and security you will receive a password and account designation upon completing the service's registration process.",0
Acceptable server resource use sites must not use excessive amounts of server resources.,0
Infinityfree cannot and will not be liable for any loss or damage arising from your failure to comply with this section 5. 6.,0
"Special admonition for services relating to financial matters if you intend to create or join any service, receive or request any news, messages, alerts or other information from the service concerning companies, stock quotes, investments or securities, please read the above sections 24 and 26 again.",0
We reserve the right to charge a fee of 14.99 usd if we are requested to create a backup on a customers behalf.,0
You are responsible for maintaining the confidentiality of the password and account and are fully responsible for all activities that occur under your password or account.,1
Disclaimer of warranties you expressly understand and agree that: 1.,0
"You understand and agree that the service is provided ""as-is"" and that infinityfree assumes no responsibility for the timeliness, deletion, mis-delivery or failure to store any user communications or personalization settings.",0
"Infinityfree may, in appropriate circumstances and at its discretion, disable and/or terminate the accounts of users who may be repeat infringers.",0
Zip and rar) files as unacceptable.,0
"(iv) the quality of any products, services, information or other material purchased or obtained by you through the service will meet your expectations.",0
"General practices regarding use and storage you acknowledge that infinityfree may establish general practices and limits concerning use of the service, including without limitation the maximum number of days that idle hosting accounts, message board postings or other uploaded content will be retained by the service, the maximum number of email messages that may be sent from or received by an account on the service, the maximum size of any email message that may be sent from or received by an account on the service, the maximum disk space that will be allotted on infinityfree's servers on your behalf, and the maximum number of times (and the maximum duration for which) you may access the service in a given period of time.",0
Please remember that the service is designed to appeal to a broad audience.,0
"No third-party beneficiaries you agree that, except as otherwise expressly provided in this tos, there shall be no third-party beneficiaries to this agreement. 31.",0
Violation will result in termination. 26.,0
"Specifically, you agree to comply with all applicable laws regarding the transmission of technical data exported from the united states or the country in which you reside. 15.",0
"This license exists only for as long as you elect to continue to include such content on the service and will terminate at the time you remove or infinityfree removes such content from the service. with respect to photos, graphics, audio or video you submit or make available for inclusion on publicly accessible areas of the service other than infinityfree servers, the license to use, distribute, reproduce, modify, adapt, publicly perform and publicly display such content on the service solely for the purpose for which such content was submitted or made available.",0
"Script usage terms scripts on the site must be designed to produce web-based content, and not to use the server as an application server.",0
"Member conduct you understand that all information, data, text, software, music, sound, photographs, graphics, video, messages, tags, or other materials (""content""), whether publicly posted or privately transmitted, are the sole responsibility of the person from whom such content originated.",0
Certain conditions may induce previously undetected epileptic symptoms even in users who have no history of prior seizures or epilepsy.,0
"The service is provided for informational purposes only, and no content included in the service is intended for trading or investing purposes.",0
You also understand and agree that the service may include advertisements and that these advertisements are necessary for infinityfree or it's partners to provide the service.,0
"Infinityfree and its subsidiaries, affiliates, officers, employees, agents, partners and licensors make no warranty that (i) the service will meet your requirements.",1
"No advice or information, whether oral or written, obtained by you from infinityfree or through or from the service shall create any warranty not expressly stated in the tos. 5.",0
"And/or upload, post, email, transmit or otherwise material for the purposes of file distribution, relay, or streaming reasons. collect or store personal data about other users in connection with the prohibited conduct and activities set forth in paragraphs 1 through 15 above. 7.",0
"Trademark information the infinityfree, infinityfree logo, trademarks and service marks and other infinityfree logos and product and service names are trademarks of infinityfree (the ""infinityfree marks"").",0
"The onus is on you the customer to prove that you own the rights to publish material, not for infinityfree to prove that you do not.",0
"Infinityfree does not allow the propagation or distribution of copyright material, files or warez under any circumstances. 8.",0
"Unless explicitly stated otherwise, any new features that augment or enhance the current service, including the release of new infinityfree properties, shall be subject to the tos.",0
"You also understand and agree that the service may include certain communications from infinityfree or it's partners, such as service announcements, administrative messages and the infinityfree newsletter, and that these communications are considered part of infinityfree membership and you will not be able to opt out of receiving them.",1
"Indemnity you agree to indemnify and hold infinityfree and its subsidiaries, affiliates, officers, agents, employees, partners and licensors harmless from any claim or demand, including reasonable attorneys' fees, made by any third party due to or arising out of content you submit, post, transmit or otherwise make available through the service, your use of the service, your connection to the service, your violation of the tos, or your violation of any rights of another. 17.",0
"The use of advert blockers, or the process of recommending advert blockers whilst using the service is forbidden.",0
"Notice and procedure for making claims of copyright or intellectual property infringement infinityfree respects the intellectual property of others, and we ask our users to do the same.",0
"And changes to conform and adapt to technical requirements of connecting networks or devices. you understand that the service and software embodied within the service may include security components that permit digital materials to be protected, and that use of these materials is subject to usage rules set by infinityfree and/or content providers who provide content to the service.",0
"General information entire agreement the tos constitutes the entire agreement between you and infinityfree and governs your use of the service, superseding any prior agreements between you and infinityfree with respect to the service.",0
Infinityfree may also offer other services that are governed by different terms of service. 2.,0
You can review the most current version of the tos at any time at: /terms/.,0
Registering more than three accounts is considered abuse and will result in all accounts being terminated without notice. 24.,0
We do not provide data restores from our archives / restoring a website or database to an earlier version.,0
"Without infinityfree's prior permission, you agree not to display or use in any manner the infinityfree marks. 33.",0
Content submitted or made available for inclusion on the service infinityfree does not claim ownership of content you submit or make available for inclusion on the service.,0
