text,highlighted
"To learn more about the dmca, click here. under canadian copyright laws, remind is required to forward any notice from a copyright owner to a remind user located in canada if the copyright has notified remind in accordance with the requirements under the canadian copyright act.what this is sayingsee something that belongs to you, but someone else posted it?",0
"What this is sayingwe work hard to improve the remind experience for you, so our terms may change from time to time.",0
Your use of the services in any way following notification by remind constitutes your acceptance of the terms and conditions as modified.,0
"You hereby grant remind a non-exclusive , worldwide, royalty-free, perpetual, irrevocable, sublicensable and transferable (only to a successor) right and license to use your user submissions for any purpose related to providing and/or improving the services (however, remind will only share your personally identifiable information in accordance with remind's current privacy policy).",0
"Remind may disable or terminate your access to the services or your account at any time, for any reason (for your violation of any term of this agreement or without cause), and without warning or notice, which may result in the forfeiture of all information associated with your account.",0
"Also, be sure to read our community guidelines, which include best practices for how to keep the remind community safe.",0
All registration information you submit is accurate and truthful.,0
Safety help center blog certified bycertified by,0
"If you continue to use any service or feature after you have been notified of any applicable fees, that use constitutes your acceptance of any new or increased fees. through remind, you may be able to access and use products or services operated by other individuals or companies who are not employed or controlled by remind (such as, a payment platform to request and/or make payments).",0
"An emergency meriting a message shall be determined solely by your teacher, organizer, school or district or any official designated by a school or district, or a government agency.",0
"All materials displayed or performed or available on the services (including, but not limited to text, graphics, data, articles, photographs, images, illustrations, user submissions (defined below), and so forth (all of the foregoing, the ""content"")) are protected by copyright and other intellectual property laws.",0
What effects the content may have on you.,0
You may terminate your use of the services or your account at any time by deleting your account in your account settings tab or by contacting us at rmd.me/help.,1
"If you do not unconditionally agree to all the terms and conditions of the agreement, you may not use the services. terms of usewelcome to remind.",0
This app works best with javascript enabled.schools &amp.,0
"The services, content, and any software are provided on an ""as is"" basis, without warranties or conditions of any kind, either express or implied, including, without limitation, implied warranties of merchantability, merchantable quality, fitness for a particular purpose, non-infringement, or that use of the services will be uninterrupted or error-free.",0
"If you're under 18, a parent or guardian needs to review and agree to these terms for you.",0
We need your help to keep the remind community safe!,0
Or use a name subject to any rights of any person other than you without appropriate authorization.,0
"If you're agreeing to this agreement on behalf of an organization or entity, you represent and warrant that you are authorized to agree to this agreement on the organization or entity's behalf and bind them to this agreement (in which case, the references to ""you"" and ""your"" in these terms, except for in this sentence, refer to that organization or entity).",0
"In order to provide you with the services, remind needs to access and use your user submissions in certain ways.",1
You can opt out of receiving these phone calls only by having the authorized administrator at your school or district remove your contact information from their school information system.,0
"Residents of the european union (âeuâ), european economic area (âeeaâ), or united kingdom (âukâ) may read about our additional commitments concerning your privacy by reviewing our pledges to the principles embodied in the eu-us and swiss-us privacy shield agreements remind.com/privacy-policy#privacy-shield and how remind complies with the requirements of the euâs general data protection regulation remind.com/privacy-policy#gdpr.",0
Weâll make it clear when fees are added to remind.,0
"What this is sayingwe're here to help if there are issues, but there are no warranties relating to our services or any products you access through remind.",0
"Please continue reading to learn about the rules and restrictions that govern your use of remindâs website(s) and all other products, services and applications made available by remind from time to time (collectively, the âservicesâ).",0
"While we are here to support you, we are not liable for anything that happens because of our service.",0
"Any and all such charges, fees, or costs are your sole responsibility.",0
"If you are retained by remind to work with students to advance their education, you are a coach.",0
It is the express wish of the parties that this agreement and all related documents be drawn up in english.,0
"If the terms of this agreement are considered an offer, acceptance is expressly limited to such terms.",0
You may not: select or use the name or email of another person with the intent to impersonate that person.,0
"If you use any of these products or services, you must review and agree to the additional terms and conditions and privacy policy, as well as pay any applicable fees required to use those products.",0
"If you are purchasing an individual account, you are a premium organizer.",0
"""crawls,"" ""scrapes,"" or ""spiders"" any page, data, or portion of or relating to the services or content (through use of manual or automated means).",1
"All provisions of this agreement which, by their nature, should survive termination, will survive termination, including, without limitation, ownership provisions, warranty disclaimers, and limitations of liability.",0
"If you are dissatisfied with our services, we will discuss in arbitration to resolve any issues.",0
What this is sayingbe sure to only share content that belongs to you.,0
"If there is a dispute between remind users, or between remind users and any third party, you understand and agree that remind is under no obligation to become involved.",1
"By accessing or using the services in any manner, you agree that you have read and agree to be bound by the terms and conditions of this agreement to the exclusion of all other terms.",0
"Remind is not responsible for messages sent erroneously or for the content of any message sent as an emergency message, even when the content of that message contains information that is incomplete, confusing, or erroneous.",0
"The services may contain, or direct you to websites or services containing, information that some people may find offensive or inappropriate.",0
"What this is sayingwe are letting you know that in the event of an emergency, determined by those individuals in your school, school district, community or a government official and not remind, you may receive emergency messages from us in addition to other remind users.",0
"Notwithstanding the foregoing, each party will have the right to institute an action in a court of proper jurisdiction for injunctive or other equitable relief pending a final decision by the arbitrator.",0
"Remind is a messaging platform that helps educators, students, parents and other users send quick, simple messages to any device and for students to gain access to coaching to advance their learning.",0
"We collect these in order to notify the parent that we may contact the child for the purpose of providing the services for which the child's teacher, organizer (as described below) or school administrator has signed up to use.",0
Remind may also send other administrative messages.,0
"If you are a teacher, coach or parent who creates a âclassâ or âgroupâ of members, then you are an organizer.",0
Remind may disable or terminate your account if you do so.,0
"Is harmful, fraudulent, threatening, abusive, harassing, tortuous, defamatory, vulgar, obscene, libelous, or otherwise objectionable as reasonably determined by remind .",0
"While remind provides schools and districts with the ability to send emergency messages through remind, remind is neither responsible for your receipt of or failure to receive a message, nor your actions, failure to act or the actions or inactions of others in response to any emergency message.",0
You can learn more here.,0
What this is sayingplease keep in mind that you are solely responsible for your use of remind.,0
"This agreement is void where prohibited by law, and the right to access the services is revoked in such jurisdictions.",0
Fees and payment.,0
"Runs maillist, listserv, any form of auto-responder or ""spam"" on the services, or any processes that run or are activated while you are not logged into the services, or that otherwise interfere with the proper working of the services (including by placing an unreasonable load on the services' infrastructure).",0
"For remind to collect this type of personal information, a studentâs school, district or teacher must agree to obtain parental consent for that child to use the services, or remind must obtain that consent.",0
What this is sayingwe're letting you know that you may periodically receive messages from us in addition to other remind users.,0
"By using the services, you expressly relieve and hold harmless remind from any and all liability arising from your use of any third party services.",0
Terminationthis agreement will remain in full force and effect while you use the services.,0
"Remind makes no representations, warranties, or conditions regarding suggestions or recommendations of services or products (including content provided by users) offered or purchased through the services.",0
You also represent and warrant that you are entering into these terms on behalf of your school or district.,0
