text,highlighted
"Licenses with respect to audio content, and any images or text within your account, will (subject to the following paragraph of these terms of use) terminate automatically when you remove such content from your account.",0
"Licenses with respect to comments or other contributions that you make on the platform will be perpetual and irrevocable, and will continue notwithstanding any termination of your account. removal of audio content from your account will automatically result in the deletion of the relevant files from soundcloudâs systems and servers.",0
"Your use of the platform subject to your strict compliance with these terms of use and our community guidelines at any and all times during your use of the platform, soundcloud grants you a limited, personal, non-exclusive, revocable, non-assignable and non-transferable right and license to use the platform in order to view content uploaded and posted to the website, to listen to audio content streamed from the platform or offline and to share and download audio content using the features of the platform where the appropriate functionality has been enabled by the user who uploaded the relevant content (the ""uploader""), and subject to the territorial availability of that feature and audio content. in addition, if you register to use the platform, and subject to your strict compliance with these terms of use and our community guidelines at any and all times during your use of the platform, soundcloud grants you a limited, personal, non-exclusive, revocable, non-assignable and non-transferable right and license to: (i) submit, upload or post content to and keep such content available on the platform strictly as permitted in accordance with these terms of use and any other applicable terms posted on the website from time to time; (ii) participate in the community areas and communicate with other members of the soundcloudâ® community strictly in accordance with these terms of use and our community guidelines.",0
"Log into, or attempt to log into, a server or account which you are not authorized to access.",0
"Â§512(c), please also include the following: with respect to your statement that you are authorized to act on behalf of the owner of the exclusive right that is allegedly infringed, confirmation that such statement is made under penalty of perjury.",0
"This does not affect our right to transfer our rights or obligations to a third party as described in the assignment to third parties section. applicable law and jurisdiction except where otherwise required by the mandatory law of the united states or any member state of the european union (i) this agreement is subject to the laws of the federal republic of germany, excluding the un convention on contracts for the international sale of goods (cisg) and excluding the principles of conflict of laws (international private law) .",0
"(ii) you are in breach of any of the material provision of these terms of use or our community guidelines, including without limitation, the provisions of the following sections: your use of the platform, your content, grant of licence , and your representations and warranties.",0
"Notwithstanding the foregoing, nothing in these terms of use grants any rights to any other user of the platform with respect to any proprietary name, logo, trademark or service mark uploaded by you as part of your content (for example, your profile picture) (""marks""), other than the right to reproduce, publicly display, make available and otherwise communicate to the public those marks, automatically and without alteration, as part of the act of reposting sounds with which you have associated those marks. the licenses granted in this section are granted separately with respect to each item of your content that you upload to the platform.",0
"Similarly, you may not, without the prior written consent of soundcloud, use the players or the widget to embed content into any website or other destination dedicated to a particular artist (except where the relevant content is your content and you are the person or are authorized to represent the person to whom the site or destination is dedicated), or to a particular genre.",0
"Our use of cookies is explained in our cookies policy. meetups this section deals with soundcloudâ® meetups and explains that these are not ""official"" soundcloud events, so we cannot be responsible for anything that happens at meetups. competitions and other promotions this section deals with competitions, contests and sweepstakes on soundcloudâ®.",0
"In all other cases, if you discover content that infringes or violates any of your other rights, which you believe is defamatory, pornographic, obscene, racist or otherwise liable to cause widespread offense, or which constitutes impersonation, abuse, spam or otherwise violates these terms of use, our community guidelines or applicable law, please report this to us at legal [at] soundcloud.com. third party websites and services the platform may provide you with access to third party websites, databases, networks, servers, information, software, programs, systems, directories, applications, products or services, including without limitation, linked services (hereinafter ""external services""). soundcloud does not have or maintain any control over external services, and is not and cannot be responsible for their content, operation or use.",0
"To the extent it is necessary in order for soundcloud to provide you with any of the aforementioned hosting services, to undertake any of the tasks set forth in these terms of use, including the distribution of advertising or other promotional material on our platform and/or to enable your use of the platform, you hereby grant such licenses to soundcloud on a limited, worldwide, non-exclusive, royalty-free and fully paid basis. by uploading your content to the platform, you also grant a limited, worldwide, non-exclusive, royalty-free, fully paid up, license to other users of the platform, and to operators and users of any other websites, apps and/or platforms to which your content has been shared or embedded using the services (""linked services""), to use, copy, listen to offline, repost, transmit or otherwise distribute, publicly display, publicly perform, adapt, prepare derivative works of, compile, make available and otherwise communicate to the public, your content utilizing the features of the platform from time to time, and within the parameters set by you using the services.",0
"Users in the european union can use copyright protected works under certain exceptions or limitations to copyright, namely quotation, criticism, review, use for the purpose of caricature, parody or pastiche.",0
"You may not assign this agreement or the rights and duties hereunder, in whole or in part, to any third party without the prior written consent of soundcloud. severability should one or more provisions of these terms of use be found to be unlawful, void or unenforceable, such provision(s) shall be deemed severable and will not affect the validity and/or enforceability of the remaining provisions of the terms of use, which will remain in full force and effect. entire agreement these terms of use, together with the community guidelines, constitute the entire agreement between you and soundcloud with respect to your use of the platform (other than any use of soundcloudâs apis which may also be subject to separate [api terms of use]), and supersede any prior agreement between you and soundcloud.",0
"76/77, 10115 berlin, germany confirming such termination, by removing all of your content from your account, or by deleting your account and thereafter by ceasing to use the platform.",1
"You acknowledge that, in the event of a breach of this agreement by soundcloud or any third party, the damage or harm, if any, caused to you will not entitle you to seek injunctive or other equitable relief against soundcloud, including with respect to your content, and your only remedy shall be for monetary damages, subject to the limitations of liability set forth in these terms of use. disclosures the services hereunder are offered by soundcloud global limited &amp.",0
These cookies do not store any personally identifiable information.cookies detailsâfunctional cookies functional cookies these cookies enable the website to provide enhanced functionality and personalisation.,0
"However, notwithstanding the foregoing, you hereby acknowledge and agree that once your content is distributed to a linked service, soundcloud is not obligated to ensure the deletion of your content from any servers or systems operated by the operators of any linked service, or to require that any user of the platform or any linked service deletes any item of your content.",0
"Or any unsolicited or unauthorized advertising, promotional messages, spam or any other form of solicitation.",0
"We use cookies to let us know when you visit soundcloud, to understand how you interact with us, to enrich and personalize your user experience, to enable social media functionality and to customize your relationship with soundcloud, including providing you with more relevant advertising.",0
"Co. kg (""soundcloud"", ""we"" ""our"", or ""us""). these terms of use govern your use of soundcloud.com and m.soundcloud.com (together, the ""website""), our mobile and desktop apps (our ""apps"") and all related players, widgets, tools, features, applications, data, software, apis (which may also be subject to separate api terms of use) and other services provided by soundcloud (the ""services""). these terms of use, together with our community guidelines and any other terms specifically referred to in any of those documents, all of which are incorporated by reference into these terms of use, constitute a legally binding contract (the ""agreement""), between you and soundcloud in relation to your use of the website, apps and services (together, the ""platform""). please also be sure to review our privacy policy and cookies policy for more information on how we collect and use data relating to the use and performance of the platform, as well as our responsibilities and your rights in relation to any processing of your personal data. these terms of use consist of the following sections: acceptance of terms of use basically, by using soundcloudâ® you accept our terms of use and community guidelines and agree to abide by them. changes to terms of use this section explains that our terms of use may change from time to time. description of the platform this provides a general description of the platform, its features and functionality. your soundcloud account this section explains your responsibilities should you choose to register for a soundcloudâ® account. your use of the platform this section sets out your right to use the platform, and the conditions that apply to your use of the platform. your content this section deals with ownership of your content, and includes your agreement not to upload anything that infringes on anyone elseâs rights. grant of license this section explains how your content will be used on soundcloudâ® and the permissions that you grant by uploading your content - for example, the right for other users to listen to your sounds. representations and warranties this section includes important promises and guarantees that you give when uploading content to soundcloudâ® - in particular, your promise that everything you upload and share is owned by you and wonât infringe anyone elseâs rights. liability for content this section explains that soundcloud is a hosting service and that its users are solely liable for material that they upload to soundcloudâ®. reporting infringements this section explains how to notify us of any content on soundcloudâ® that you believe infringes your copyright or any other intellectual property right, or that is unlawful, abusive, defamatory or otherwise contrary to our terms of use or community guidelines.",0
"This may include taking court action and/or reporting offending users to the relevant authorities. your content any and all audio, text, photos, pictures, graphics, comments, and other content, data or information that you upload, store, transmit, submit, exchange or make available to or via the platform (hereinafter ""your content"") is generated, owned and controlled solely by you, and not by soundcloud. soundcloud does not claim any ownership rights in your content, and you hereby expressly acknowledge and agree that your content remains your sole responsibility. without prejudice to the conditions set forth in your use of the platform you must not upload, store, distribute, send, transmit, display, perform, make available, continue to make available or otherwise communicate to the public any content to which you do not hold the necessary rights.",0
