text,highlighted
If you continue browsing you consent to our cookie policy.continuelearn&nbsp;more,0
You can opt out by emailing help@sync.com anytime.,0
"If you lose your username or password, you may not be able to access your account or any of your data. if sync determines that there has been a breach of your account security, to protect you and your data, sync reserves the right to suspend your account and require you to create a new username and password.",0
"These terms constitute the entire and exclusive agreement between you and sync with respect to the services, and supersede and replace any other agreements, terms and conditions applicable to the services.",0
You are solely responsible for maintaining and protecting your data.,0
"Y ou are solely responsible for protecting the privacy and security of your username and password, including not giving your username and password to any third party.",0
Your license to use the services depends upon your agreement to be bound by these terms and any modification to these terms.,0
Attempt to interfere with any authorized use of the services.,0
"If the services or these terms are modified, your continued use of the services will constitute your acceptance of the service modifications and your agreement to be bound by the modified terms.",0
"User indemnity you agree to defend, indemnify, and hold sync, its suppliers, resellers, partners and their respective affiliates harmless from and against any claims, liabilities, damages, losses and expenses, including reasonable attorney fees and costs, in connection with: your use of the products; your violation of these terms; your violation of any third party right, including any intellectual property right.",0
"While not obligated to do so, sync will try to communicate any such actions to you by either sending you an e-mail or by posting relevant information to the sync website.",0
&nbsp.,0
"Or alter, modify or attempt to circumvent any disabling or security mechanisms that may be included in the services.",0
"You are responsible for any activity using your account, whether you authorized that activity or not.",1
The current terms will always be posted on our website.,0
These terms create no third party beneficiary rights.,0
"Pricing sign in sign up free terms of service terms of service privacy policy gdpr these terms of service, along with the sync privacy policy, gdpr privacy policy and the gdpr data processing addendum constitute an agreement (the ""agreement"") between you and sync inc., its subsidiaries, affiliates and licensors ( ""we,"" ""us"" or ""sync""). please read these terms carefully before using sync.",0
"In particular, sync.com, its suppliers, resellers, partners and their respective affiliates make no warranty that (a) the products will meet your requirements.",0
"When you register, you will be asked to create an account (your ""account"").",0
"Or overload the services, computer system or network by uploading an excessive or disproportionate amount of data or content. sync may immediately terminate your account should it discover that you or someone using your account has engaged in any of the prohibited activity listed above. 4.",0
3.,0
And (d) any defects or errors in the products will be corrected.,0
"This includes all rights, title and interest in any intellectual property rights.",0
"Additionally, if you choose to provide access to your data to another person, that person may provide unauthorized access to others.",0
We want your account to be as safe as possible.,0
"By clicking the ""create account"" button or by using the sync site, software or services (""services""), you are agreeing to comply with and be bound by these terms on your behalf and, if applicable, on behalf of your organization.",0
"You agree not to decompile, reverse engineer, disassemble or otherwise attempt to derive source code from the services. sync may terminate your account and access to the services for violations of this provision. 7.",0
"You may not use the services to upload, store, share, display, post, e-mail, transmit or otherwise make available any material that infringes any copyright, patent, trademark, trade secret or other proprietary rights of any person or entity. sync also asks that you please respect its intellectual property rights.",0
We expect that you will also respect those rights.,0
"All claims arising out of or relating to these terms or the services or software must be litigated exclusively in the federal or provincial courts of ontario, canada, and both parties consent to venue and personal jurisdiction there.",0
Your data you own your data.,0
"You agree that sync has no responsibility for anything that any person with whom you share your data does with your data, including making it available to others. 6.",0
"We may stop, suspend, or modify the services at any time without prior notice to you.",0
"Sync shall not be liable for any loss or corruption of your data, or for any costs or expenses associated with backing up or restoring any of your data. 5.",0
"You agree that you will immediately notify sync at help.sync.com/home if your account is accessed or used without your authorization, or if you have reason to believe that your account, username or password has been compromised.",0
"The aggregate liability for all claims relating to the services shall be no more than the greater of $100 usd or the amounts paid by you to sync.com for the most recent twelve-month period for the services in question. please note that some jurisdictions do not allow the type of limitation listed above, so some of these limitations may not apply to you. 13.",0
"To that end, you agree not to remove, obscure, or alter any trademark, copyright or other proprietary rights notices displayed in the services, software or on the sync website.",0
"(b) your use of the products will be timely, uninterrupted, secure or error-free.",1
Â© 2021 sync.com inc. privacy policy â· terms of service â· gdpr this website uses cookies to give you the best possible browsing experience.,0
Intellectual property protection sync respects the intellectual property rights of others.,0
"Termination you can terminate at any time, for any reason, by canceling your account and ceasing to use the services, per the instructions on the sync website, though, of course, we will be sad to see you go.",0
"You further acknowledge that the products are not intended or suitable for use in applications that could lead to death, personal injury, or severe physical or environmental damage. please note that some jurisdictions do not allow the type of exclusion listed above, so some of these exclusions may not apply to you. 12.",0
"You will use this username and password to access the services and any data associated with your account or that you store with sync (your ""data"").",0
"You agree to provide sync with accurate and complete information when you create your account (""account information"").",0
"License sync grants you a limited, non-exclusive, non-transferable and revocable license to use the services subject to these terms.",1
Your account and security y ou must register with sync to use the services.,0
The only licenses granted are those set forth in these terms.,0
Term &amp.,0
Changes to the service &amp.,0
Your violation of the law of any relevant jurisdiction; or any claim that use of your data caused damage to a third party. this indemnity obligation will survive the termination or expiration of your account and these terms. 9.,0
If a provision is found unenforceable the remaining provisions of the agreement will remain in full effect and an enforceable term will be substituted reflecting our intent as closely as possible.,0
"Compliance with applicable laws you are responsible for ensuring that your use of the services is in compliance with all applicable foreign, federal, state and local laws, rules and regulations.",0
"Limitation of liability to the fullest extent permitted by law, in no event will sync.com, its affiliates, officers, employees, agents, suppliers or licensors be liable for any indirect, special, incidental, punitive, exemplary or consequential (including loss of use, data, business, or profits) damages, regardless of legal theory, whether or not sync.com has been warned of the possibility of such damages, and even if a remedy fails of its essential purpose.",0
Miscellaneous legal terms these terms and the use of the services and software will be governed by ontario law except for its conflicts of laws principles.,0
Privacy products business plan features pricing resellers help contact us help center download sign in to web industry legal healthcare &amp.,0
"Sync also reserves the right to terminate a free account at any time or for any violation of these terms. your paid account will renew automatically for the same term, unless you disable the renewal or notify us 15 (fifteen) days prior to your renewal date that you would like to modify or cancel your account.",0
Hipaa accounting canadian cloud storage uses dropbox alternative free cloud storage secure file sharing email large files &nbsp.,0
Payments are due upon account activation and subsequent renewal dates.,0
Sync's failure to enforce a provision is not a waiver of its right to do so later.,1
"Publicity for sync business solo and business pro customers you grant us the right to add your company name and / or company logo to our sales presentations, customer list and website.",0
"Upgrades, renewal amounts and any applicable taxes will be charged to the credit card or payment method on file. sync may terminate any paid account if you stop paying subscription fees, if you do not renew your subscription upon its expiry, or for any violation of these terms. 10.",0
"When you create your account, you will be asked to choose a username and password.",0
"Terms sync may permanently or temporarily stop providing, or may modify the services, any feature included in the services, or the availability of the services on any particular device, at any time and without notice to you.",0
You may use these services only in compliance with the terms.,0
Unused service will not be refunded.,0
"Use the services to store, backup or distribute any illegal files or data .",0
(c) any information obtained by you as a result of the products will be accurate or reliable.,0
Sync and you are not legal partners or agents.,0
Any other use is not authorized.,0
8.,0
2.,0
"If you are using any sync services on behalf of an organization or business, you are promising that you have the authority to bind that organization or business.",0
"Disclaimer of warranties you agree that your use of the products is at your sole risk, and the products are provided on an ""as is"" and ""as available"" basis.",0
"Sync is not liable for any loss or damage arising from any access to, or sharing and use of your account.",0
Data sharing the sync services allows you to share your data with others.,0
"Sync.com, its suppliers, resellers, partners and their respective affiliates expressly disclaim all warranties of any kind, whether express or implied, including the implied warranties of merchantability, fitness for a particular purpose and non-infringement.",1
"Interfere with or disrupt any user, host, or network, for example by sending a virus, overloading, flooding, spamming, or mail-bombing any part of the services; access or search the services by any means other than the publicly supported interfaces (for example, ""scraping""); send unsolicited communications, spam, or any altered, deceptive or false source-identifying information (including ""spoofing"" or ""phishing""); impersonate or misrepresent your affiliation with any person or entity; publish or share materials that are unlawfully pornographic or indecent, or that violate the law of any relevant jurisdiction.",0
"We may also remove any content from our services at our discretion. if you do not agree to these terms, then please do not click the button indicating your acceptance and do not use the services. 1.",0
"Your use of the services (the ""golden rules"") in order to make the use of services the best experience it can be, and protect all our users, you agree that you will not do any of the following when using the services: harm, disrupt or interfere with the operation of the services, computer system or network; provide false information about your identity or pretend to be another user in order to gain access to any account, computers or networks related to the services, without authorization.",0
