text,highlighted
"To the fullest extent permissible pursuant to applicable law, ifunny disclaims all warranties, express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, and non-infringement.",1
"By using the services, you expressly hold ifunny harmless from any and all liability arising from your use of any third-party website.",0
"You further understand and acknowledge that you may be exposed to user engagement that are inaccurate, offensive, indecent, or objectionable, and you agree to waive, and hereby do waive, any legal or equitable rights or remedies you have or may have against ifunny with respect thereto to the fullest extent permitted by law. 6.5 ifunny may provide you with the ability to receive text messages from ifunny when using the services.",0
(v) any claim that your user engagement caused damage to a third party.,1
"Ifunny permits you to link to materials on the services for personal, non-commercial purposes only.",0
"Ifunny will not be a party to or in any way be responsible for monitoring any transaction between you and third-party providers of products or services. 10.3 ifunny does not warrant that your use of the ifunny services is lawful in any particular jurisdiction, and ifunny specifically disclaims such warranties.",0
"Ifunny will also terminate a user's access to the services, if they are determined to be a repeat infringer.",1
"11.2 each provision of this agreement that provides for a limitation of liability, disclaimer of warranties, or exclusion of damages is to allocate the risks under this agreement between the parties.",0
"Ifunny is not obligated to monitor or edit any content posted on ifunny, including, but not limited to, user engagement.",0
"10.2 ifunny does not warrant, endorse, guarantee, or assume responsibility for any content, user engagement, or products or services advertised or offered by a third party through the services or featured in any banner or other advertising and specifically disclaims any responsibility or liability to any person or entity for any loss, damage (whether actual, consequential, punitive or otherwise), injury, claim, liability or other cause of any kind or character based upon or resulting from the foregoing.",0
"You must not submit material that is copyrighted, protected by trade secret, or otherwise subject to third party proprietary rights, including privacy and publicity rights, unless you are the owner of such rights or have permission from their rightful owner to post the material and to grant to ifunny all of the licensed rights granted herein. 5.1.5 you must keep all of your user engagement relevant and ""on topic"" to the particular item of user engagement open for comments or submissions. 5.1.6 you must not distribute in any medium any part of the services without prior written authorization from ifunny.",0
"Ifunny will not be held responsible for any such interruptions. 3.7 ifunny reserves the right to remove any content and/or user engagement from the services for any reason, without prior notice.",0
"(iii) the services or the server that makes the services available is free from any harmful components, including, without limitation, viruses.",0
Ifunny will not accept responsibility for user comments and other information posted in the comments.,0
"Ifunny prohibits the creation of, and you agree that you will not create, an account for anyone other than yourself. 4.4 you also agree that all information you provide or have provided to ifunny upon registration and at all other times will be true, accurate, current, and complete, and you agree to update your information as necessary to maintain its truth and accuracy.5.&nbsp;use of the services--permissions and restrictions on your use5.1 you agree to use the services only for purposes that are permitted by this agreement.",0
You agree that you will not initiate any chargebacks to ifunny unless otherwise authorized by ifunny in writing.,0
"The ifunny services, which include, but are not limited to, any of the entertainment content, products, services, websites, or mobile applications produced or distributed by funcorp limited under the ifunny brand (âservicesâ), are provided by funcorp limited (âifunnyâ), a company organized under the laws of cyprus.",0
"Ifunny has no control over, and assumes no responsibility for, the content, services, privacy policies, terms of use, or practices of any third-party websites or services.",1
"You are expressly and solely responsible for your own security when using the services.4.&nbsp;access to the ifunny services4.1 ifunny provides you with a limited, non-exclusive, non-sublicensable, non-assignable, and revocable license to use the services for their customary and intended purposes.",0
"You understand that whether or not such user submissions are published, ifunny does not guarantee any confidentiality with respect to any submissions. 6.1.3 you additionally affirm, represent, and warrant that the posting and use of your user engagement on or through the ifunny services does not violate, misappropriate or infringe on the rights of any third party, including, without limitation, privacy rights, publicity rights, copyrights, trademark and/or other intellectual property rights. 6.1.4 you agree to pay for all royalties, fees, and any other monies owed by reason of your user engagement that you post on or through the services. 6.2 ifunny does not endorse any user engagement or any opinion, recommendation, or advice expressed therein, and ifunny expressly disclaims any and all liability in connection with user engagement.",0
"If your in-app purchase is a recurring subscription, you understand and agree that your store account will be billed continuously in the agreed amount until you cancel your subscription consistent with the terms applicable to your store account.",1
"(v) your use of, inability to use, or the performance of the ifunny services.",1
This agreement affects your legal rights and obligations.,0
"In submitting user engagement to the services, you agree to waive all moral rights in or to your user engagement across the world, whether you have or have not asserted moral rights.",1
Ifunny is not a backup service and you agree that you will not rely on the services for the purposes of content backup or storage.,0
"If you are under the age of 13, you are expressly prohibited from using the services.",1
You are responsible for keeping your password secure and you are solely responsible for the activity that occurs on your account.,0
"You agree not to access (or attempt to access) any of the services, including content and user engagement, by any means other than through the interfaces that are provided by ifunny. 5.1.10 you agree not to use the services for any commercial purpose or use, either direct or indirect, without the prior written authorization of ifunny.",0
"If ifunny suspects that you have violated any provision of this agreement, ifunny may also seek any other available legal remedy.",1
"Ifunny provides you with the opportunity to opt-in and opt-out of sharing your geographical location within the settings of your mobile device and/or web browser, which may provide you with several options for the sharing of your geographical location, such as options to share your geographical location at all times, only when using the iservices, or never.",0
"If a comment is made using your identity, it will be deemed to have been posted by you.",0
"If you choose to make in-app purchases, you may be required to authenticate your user account with the apple app store or google play store to complete your transaction (âstore accountâ).",0
(ii) your breach or alleged breach of this agreement.,1
"You must not defame, stalk, bully, abuse, harass, threaten, impersonate or intimidate people or entities.",0
"Your correspondence and business dealings with third parties found through the services are solely between you and the third party. 3.3 you agree that you are responsible for all data or roaming charges you incur through use of the services. 3.4 ifunny prohibits crawling, scraping, caching or otherwise accessing any content or user engagement on the ifunny service via automated means, except as may be the result of standard search engine protocols or technologies used by a search engine with ifunny's express consent. 3.5 you are solely responsible for your interactions with other users of the services, whether online or offline.",0
"If you are using the services on behalf of a business entity or third party, you warrant that you have actual authority to act as an agent of that business entity and third party and have the right and ability to agree to the terms of this agreement on behalf of that third party or business entity.2.&nbsp;definitions2.1 the ""content"" refers to the content on the services, including, but not limited to, the text, software, scripts, graphics, photos, mobile applications, sounds, music, pictures, interactive features and the like.",0
(ii) the content.,1
"If you do not agree to be bound by the terms of this agreement, its arbitration provision, or its class action waiver, you must immediately discontinue your use of the services.1.&nbsp;eligibility the services are only available to individuals either above the age of majority in your nation, state, province, territory, or city or the age of eighteen (18) and older, whichever is greater.",0
"These purposes may include providing you or third parties with the services, backing up or archiving the services, and selling or transferring the services to a third party.",1
You understand and agree that ifunny cannot and will not be responsible for the user engagement posted on the services and you use the services at your own risk.,0
You acknowledge and agree that ifunny is not responsible for any foreign transaction fees or other fees charged to you by your financial intuition or through your store account.,0
"To obtain help regarding text messages sent by ifunny, you may email support@ifunny.co. 6.6 ifunny may provide you with the ability to share your geographical location with ifunny and other users of the services when using the services.",0
"Ifunny provides you with the opportunity to opt-in and opt-out from text messages when you use the services, including by responding to the initial text message that you received from ifunny when you opted in to receive text messages from ifunny.",0
"(vi) any action of any user of the services, including, but not limited to, and personal injury, damage, or death caused by any user of the services.",0
Individuals under the age of 18 are expressly prohibited from creating a user account or otherwise using the services.,1
"The arbitration will be conducted in nicosia, cyprus and will be decided by a single arbitrator randomly selected from a list of neutral arbitrators maintained by the cyprus arbitration and mediation centre.",0
"If this class action waiver is held unenforceable with respect to the dispute between the parties, the parties agree that the entirety of the arbitration clause will be deemed void with respect to such dispute and the dispute must proceed in court.15.&nbsp;general15.1 this agreement, together with the privacy notice at http://ifunny.co/app/privacy, which is incorporated by reference, and any other legal notices published by ifunny on the ifunny services, shall constitute the entire agreement between you and ifunny concerning the ifunny services. 15.2 if any provision of this agreement is deemed invalid by a court of competent jurisdiction, the invalidity of such provision shall not affect the validity of the remaining provisions of this agreement, which shall remain in full force and effect. 15.3 no waiver of any term of this agreement shall be deemed a further or continuing waiver of such term or any other term, and ifunny's failure to assert any right or provision under this agreement shall not constitute a waiver of such right or provision. 15.4 ifunny reserves the right to amend this agreement at any time and without notice, and it is your responsibility to review this agreement for any changes.",0
You agree that you will pay all applicable taxes or charges imposed by any governmental entity anywhere in the world in connection with your use of the services or in-app purchases.,0
"The maximum total liability of the ifunny parties to you for any claim under this agreement, whether in contract, tort, or otherwise, is $100.",1
