text,highlighted
"By using the mihoyo services, you acknowledge and accept that at any time there may be language or material, accessible on or through the mihoyo services, that may be inappropriate, in particular for children, or otherwise offensive to some users of any age, race, religion, gender.",0
"If you are under the legal age of majority (âminorâ or âchildâ), your parent or legal guardian must consent to this agreement.",1
"Ownership / intellectual property 1) mihoyo shall own all rights, titles and interests (including but not limited to the ownership, intellectual property rights, neighboring rights and other rights and interests) in and to the mihoyo services under this agreement.",0
"And you shall immediately stop using or accessing to the mihoyo services when local laws or local regulations so require. except as expressly authorized under this agreement, you may not copy the mihoyo services whole or part or any accompanying materials therein.",0
"Termination 1) without limiting any other rights of mihoyo, this agreement will terminate automatically without prior notice if you fail to comply with any term or condition of this agreement or any agreements or policies referred herein.",0
"Sell, lease, rent, license, sublicense or otherwise use whole or part of mihoyo services and related contents, information, element for a commercial purpose; vii.",0
"You also grant all other users, who can access to your user contributions, the right to use, copy, modify, display, perform, create derivative works from, communicate about or otherwise distribute your user contributions on or through the mihoyo service without prior notice, attribution or compensation to you.",0
"Limitation on claims to the maximum extent permitted by applicable laws, any claim arising from or in connection with this agreement and/or the mihoyo services, must commence within one year after you shall first become aware of or within one year after the claim or cause of action accrues (whichever is earlier).",0
"You shall neither transfer or otherwise make your account information available to third-parties, nor use other user(s)â account(s) at any time.",0
"And 2) maintain and promptly update your personal data and keep your personal data accurate, up-to-date and complete. you cannot use a username which is already allocated to another user, and the precondition to use the services is that you do not choose a username which is obscene or otherwise offensive.",0
"Exploit, distribute or publicly inform third-parties of any game error, miscue or bug, regardless of an intended advantage or not; vi.",0
Rules of usage 1) you acknowledge and agree that your use of the mihoyo services is also governed by the privacy policy which may be amended from time to time by mihoyo in its sole discretion.,0
"You understand that user contributions may be copied by other users and discussed within or outside of the mihoyo services, and if you do not have the right to submit user contributions for such use, it may subject you to liability.",0
"Please ensure that your children do not give out too much personal information, and that they understand how to use the services safely. âmihoyo game(s)â refer to any game(s) that mihoyo has launched or in the future will launch or any of its game(s) during the test process. mihoyo game(s) include but not limited to the software of mihoyo game(s) (including but not limited to the whole game software and any content, component, element or feature involved therein), any patches, updates, and upgrades to the application, any related content, documentation, add-ons, supplements, any game-related services made available to you by mihoyo under this agreement, and/or any copy of the foregoing. please note the software of mihoyo game(s) may contain cheat detection software or features.",0
"Defame, libel, ridicule, mock, stalk, threaten, harass, intimidate, abuse anyone hatefully, racially, ethnically or otherwise offensive or objectionable to a portion of the public ; iii.",0
And/or x.,0
"Vulgar expressions, coarse language, abusive behavior, verbal harassment, either towards mihoyo or other users; ii.",0
"Notwithstanding the foregoing, mihoyo shall be entitled to at any time assign, transfer, charge, or sub-contract all or any of its rights or obligations under this agreement. &nbsp; 21.",0
"Mihoyo may also at any time terminate or suspend your access to any of the user contributions for any reason and without prior notice. 2) any of the user contributions may not be illegal, fraudulent, deceptive, obscene, threatening, defamatory, invasive of privacy, infringing intellectual property rights, injurious to third-parties, or otherwise inappropriate or objectionable, and may not consist of or contain viruses or other kinds of destructive script code, plug-in unit, programs or software.",0
"You also acknowledge and confirm that under no circumstance, shall mihoyo be liable for any user contributions posted by you.",0
You irrevocably waive all rights to injunctive or other equitable relief and further agree to claim only monetary damages from mihoyo. &nbsp; 12.,0
"Notwithstanding the foregoing, if the class action waiver is found invalid, unenforceable, or illegal, you agree that it may not be severable.",0
"You acknowledge and agree that you may not have any right or interest as a result of using the mihoyo services, except explicitly granted to you under this agreement. &nbsp; 6.",0
"Please read carefully those specific rules and your cooperation and user content upon our beta version of the game are highly appreciated. 2) if any such right or interest in the user content may not be licensed or transferred under any applicable laws (such as moral or other personal rights), you hereby expressly waive and agree not to assert any such rights, credit and/or claim for any compensation from mihoyo. &nbsp; 7.",0
"Any use of our copyrighted materials, including but not limited to make derivative works, requires the express prior written consent of mihoyo.",0
"Except inside the mihoyo game(s), you may not transfer, sell, gift, exchange, trade, lease, sublicense, rent or otherwise use virtual currency or virtual goods, which is a violation of this agreement and will result in a termination of your account with the reserve of mihoyoâs rights to continue claiming for compensation. 3) mihoyo reserves the right to modify, manage, control or eliminate virtual currency and/or virtual goods in its sole discretion.",0
"Subject to any applicable laws and regulations, user has the right to request modification or deletion of your personal information after passing our review process in a required proper manner.",0
The arbitral award is final and binding upon both parties.,1
"You acknowledge that you shall be fully and solely responsible for you own behavior when using the mihoyo services, including but not limited to any user contributions posted by you.",0
"Also, all the rights and interests of mihoyo and the authorization (if any) granted to mihoyo shall still remain in effect and survive the termination of this agreement. &nbsp; 18.",0
"Contact if you have any questions about this agreement or have any requests for resolving issues arising from or in connection with this agreement, please contact us in the first instance through email at support_os@mihoyo.com. &nbsp; &nbsp; mihoyo limited effective date: december 23rd, 2020",0
"If you do not accept those terms, you will not be able to create an account. you may establish an account only if you are a natural person and an adult in your country of residence and you are not an individual specifically prohibited by us from using the mihoyo services. when registering as a user (âuserâ or âregistered userâ) you must select a unique username (or probably known as a ""nickname"" when registering as a user) and password and provide certain other requested information. you agree that you will: 1) provide accurate, up-to-date and complete information about you whenever prompted or permitted by any site registration process ("" personal data "").",0
"Otherwise, it shall be deemed that you have accepted and agreed to such notice. &nbsp; 17.",0
"If at any point you do not agree to any portion of then-current version of agreements or policies pertaining to your use of the mihoyo services, your license under this agreement shall immediately terminate and you may immediately stop accessing to the mihoyo services. &nbsp; 15.",0
Use of any unapproved payment methods; iii.,0
"If it is not filed within that time, then the claim is permanently barred. &nbsp; 14.",0
"(iii) any interruption, suspension or termination of the mihoyo services.",0
"You understand that both virtual currency and virtual goods are licensed, not sold, to you under this agreement and mihoyo reserves and retains all right, title, interest or otherwise, in and to the virtual goods and virtual currency. 2) your purchase of virtual currency and/or virtual goods is non-exchangeable and non-transferable, except otherwise granted by laws of your country.",0
"The mihoyo services may also include the purchase of virtual, in-game digital items (âvirtual goodsâ) with real money or virtual currency.",0
"Please note any unauthorized reproduction or redistribution of the mihoyo services shall be prohibited and may result in severe legal penalties. 4) mihoyo remains the sole owner of rights, titles and interests (including intellectual property rights, neighboring rights and other rights and interests) in and to the mihoyo services.",0
"Injunctive relief without prejudice to any other rights or remedies that mihoyo may have, you acknowledge and agree that in the event of any threatened or actual breach of this agreement, mihoyo shall, without proof of special damage, be entitled to an injunction or other equitable remedy in addition to any damages or remedies to which mihoyo may be entitled.",0
"In the event that you permit your minor child to use an account, you hereby agree to this agreement on behalf of yourself and your child, and you agree that you will be responsible for any use of the mihoyo services by your child, whether or not such use is authorized by you. &nbsp; 5.",0
"You acknowledge and agree that the privacy policy is incorporated and a part of this agreement. 2) subject to all applicable law (including us copyright law and dmca), on the condition that you agree to and continuously comply with this agreement, and any other separate agreements or policies (if any)between you and us, mihoyo hereunder grants you a personal, limited, revocable, non-exclusive, non-transferable and non-sublicensable right and license to install and use one copy of the software of mihoyo game(s) solely for your own personal entertainment and non-commercial purpose on a device you legally own or control. 3) you acknowledge and confirm that you may not, either directly or indirectly, do or attempt to do any of the following action with respect to any or all of the mihoyo services: i.",0
Use of cheating programs or other malicious game programs; iv.,0
Limitation of liability 1) you agree that your use of the mihoyo services shall be at your own risk.,0
"Otherwise, mihoyo may, in its sole discretion, terminate providing any services to you without prior notice.",0
To cease providing any services.,0
"Âcheatsâ means programs, methods, processes or other programs with software or hardware on any formats that may give users an unfair competitive advantage within mihoyo game(s). if you do not agree to install the cheat detection software or at any time remove or disable the cheat detection features, alone or make combination with mihoyo game(s), the license granted to you under this agreement automatically terminates and you may immediately stop accessing to any of the mihoyo services. please note that the mihoyo game(s) with the cheat detection software therein may collect and transmit details about your account, gameplay, and any potentially unauthorized programs and processes, subject to our privacy policy.",0
"You confirm that you irrevocably grant mihoyo a global, irrevocable, fully paid up, royalty-free, perpetual, sub-licensable, transferable, assignable and unlimited license, allowing mihoyo to use, disseminate, copy, modify, sub-license, translate, publish, distribute, network transmit, publicize, promote, perform, display, create derivative works, sell, offer to sell and/or otherwise use user content for any purposes.",0
"You acknowledge that your use of the mihoyo services does not confer you any right or interest or otherwise, in any aspect or feature of it, including but not limited to (if any) any in-game rewards, achievements, characters, virtual currency, levels and other content.",0
These limitations and exclusions regarding damages apply even if any remedy provided by us fails to provide adequate compensation. &nbsp; 13.,0
"Disclose, furnish, disseminate or otherwise make any of our or other usersâ un-public information available to third-parties.",0
"Please note that your continued use of the mihoyo services shall constitute your acceptance to be bound by the newly updated agreement. if you do not agree to any term of this agreement, please do not, either directly or indirectly, use or access to the mihoyo services in any way. &nbsp; 1.",0
"Therefore, mihoyo is not responsible for the content or function of any other websites, and disclaims any liability for any aspects of such third-party websites via your direct access or through our websites or software functionality.",0
"Develop, use or distribute any software, script code, plug-in unit, programs or applications that may cause an unfair competitive advantage; v.",0
Âcheat detectionâ means functionality intended to identify cheats.,0
The convention on contracts for the international sale of goods will not apply.,1
"In-game currency and goods 1) the mihoyo services may include an opportunity for you to purchase virtual, in-game currency (âvirtual currencyâ) with real money.",0
Please pay attention that this agreement may be updated by us from time to time and your continued use of the mihoyo services shall constitute your acceptance to the newly updated agreement.,0
"Post, upload, transmit or otherwise disseminate information that is obscene, indecent, vulgar, pornographic, sexual or otherwise offensive or objectionable ; ii.",0
You may also terminate this agreement by deleting the mihoyo game(s) from all devices on which youâve installed and immediately stop your uses of the mihoyo services.,0
"And/or to change, add any portion of the mihoyo services. 7) you represent that you are entering into this agreement on a completely voluntary basis and you expect no compensation other than what is expressly granted under this agreement. 8) in case of any inconsistency between this agreement and local laws of your country or residence, local laws shall prevail and govern. &nbsp; 22.",0
Mihoyo provides the mihoyo game(s) and/or the mihoyo services on an âas isâ and âas availableâ basis.,0
"Furthermore, you agree that any such submission by you shall not create any contractual relationship between you and mihoyo.",0
"The mihoyo account you may be required to register or have a mihoyo account in order to use the mihoyo services (âaccountâ). to create an account, you will be required to register as a user and accept the mihoyo account terms of service.",0
"Non-waiver no failure or delay on the part of mihoyo in exercising any right, power or privilege hereunder shall operate as a waiver of it, nor shall any single or partial exercise of any such right, power or privilege preclude any other or further exercise of it or the exercise of any other right, power or privilege. &nbsp; 16.",0
"You are prohibited from, in any way, claiming as our employees or disseminating false information either to mihoyo or third-parties, spreading vulgar information, posting illegal websites, spam advertisements or any information or materials involving drugs or otherwise attacking, threatening or insulting towards a portion or all of the users.",0
"Mihoyo has no obligation to monitor these user contributions, but we may do so and reserve the right, in our sole discretion, to monitor, filter, moderate, edit and/or remove any or all of user contributions that are objectionable or inappropriate at any time without prior notice.",0
(ii) do not violate any rights or interests (including but not limited to intellectual property rights) of mihoyo and/or third-parties.,0
"(v) any programs intended to damage, detrimentally interfere with, surreptitiously intercept or expropriate any personal information of you.",0
"If you sell your account or other related information, mihoyo reserves the right to take actions, including but not limited to terminate your account immediately without any refund. we may terminate your usership or account at any time for any reason without any further formality if we have reason to believe that you have failed to comply with any of the terms between mihoyo and you.",0
"If the above arbitration terms are not enforceable on any dispute, both parties agree that such dispute shall be brought in a court in shanghai, china .",0
"If there is any difference between the english version and other language versions, then the english version, subject to applicable laws and regulations, shall prevail.",1
"Terms of service effective date: december 23rd, 2020 &nbsp; please read these terms of service carefully, including our privacy policy. this terms of service (âagreementâ) is a legally binding agreement between mihoyo limited (âmihoyoâ, âweâ, âourâ, or âusâ) and you (âyouâ or âuserâ).",0
"User contributions 1) the mihoyo services may contain various websites, forums, communities, networks, or other interactive features that allow you to post, submit, publish, display, or transmit any content or materials on or through the mihoyo services (âuser contributionsâ), including but not limited to any text, forum post, chat post, profile, widget, message, link, feedback, email, music, sound, graphics, picture, video, code, audio visual or other materials appearing on or emanating to or from the mihoyo services.",0
"In the event that cheats are identified, you agree that mihoyo may exercise part or all of its rights hereunder.",0
"Besides, in the event of theft, unauthorized use or any other security breach pertaining to your account, you may notify mihoyo immediately. &nbsp; 2.",0
"You acknowledge and agree that mihoyo may engage in actions that may impact the perceived value or purchase price, if applicable, of virtual currency or virtual goods at any time, except as otherwise required by applicable laws. 4) when you provide payment information to mihoyo or its authorized processor, you represent that you are an authorized user of any payment method specified by you, and you authorize mihoyo to charge such payment method for the full amount of the purchase transaction. 5) you agree and consent that due to the special nature of online game services, there is no physical goods transaction, and your purchasing experience comes from online game services provided by the game manufacturer.",0
We reserve and maintain the final rights to interpret and take actions according to relevant circumstances of your inappropriate behaviors.,0
"You further acknowledge that any character data, game progress, game customization and/or other data pertaining to your use of the mihoyo services may cease to be available to you at any time without prior notice in the sole discretion of mihoyo. 2) any or all of the mihoyo services (including trade secrets, database rights, copyright, patent, trademark and other intellectual property rights and interests thereof) are copyrighted and protected by any applicable laws (including but not limited to any applicable copyright laws and international treaties).",0
"Therefore, refund is not applicable unless the game operation is terminated. &nbsp; 8.",0
"Notice if to you to the maximum extent permitted by applicable laws, mihoyo may send notices (including but not limited to various rules, notifications, prompts, or other information pertaining to the use of the mihoyo services) to the users through one or more of the following, including but not limited to notice or announcement within the mihoyo game(s), page announcement on the mihoyoâs websites, games, official channels, web site tips, mobile phone messages, email, or other contact information you provided to mihoyo. once any notice is dispatched or sent in any way listed above by mihoyo, it shall be deemed to have been served to you and have a binding effect on you.",0
"Except to the extent such waiver is prohibited by law, you hereby waive the benefit of any provision of law known as ""moral rights"" or ""droit moral"" or any similar law in any country worldwide. 5) you represent and warrant that the user contributions: (i) are accurate and not fraudulent or deceptive.",0
"User content 1) âuser contentâ means feedback, suggestions, comments, ideas, and/or any other information, including but not limited to software and code, that you provide, publish, or otherwise communicate directly or indirectly to mihoyo or our agents pertaining to the mihoyo services.",0
"Because the mihoyo services contain our proprietary information, you agree: (a) to hold in the strictest confidence all code and any technical elements of the mihoyo services, (b) not to copy, reproduce, distribute, manufacture, reveal, report, publish, disclose or otherwise transfer any of our un-public information, and/or (c)subject to all applicable law (including us copyright law and dmca), not to make use of the mihoyo services except for your individual enjoyment and non-commercial purpose. except expressly authorized herein, any use of the mihoyo services whole or part, without our prior written consent, is strictly prohibited and the license granted herein will be terminated.",0
You acknowledge that virtual currency and virtual goods shall never be redeemed for real money or any item with monetary value.,0
