Highlighted Clause,Plain Language Summary
"You are responsible for maintaining the confidentiality of the password and account, and are fully responsible for all activities that occur under your password or account.",You must keep your account password secret and accept responsibility for all activity under your account.
You must pay for the service and any applicable delivery charges in advance.,Payment for the service and any delivery fees is required in advance.
"If you provide any registration information that is untrue, inaccurate, not current, or incomplete, 23andme may suspend or terminate your account and refuse any and all current or future use of the service.",Your account may be suspended or terminated if you provide false or incomplete registration details.
"23andme services are for research, informational, and educational use only. We do not provide medical advice.",The 23andme services are meant for research and information purposes and should not be taken as medical advice.
Termination the tos will continue to apply until terminated by either you or 23andme as set out in this section.,The terms of service remain effective until you or 23andme decide to terminate them as specified in the document.
Your failure to keep your password or account details secure and confidential.,Not maintaining the secrecy of your password or account details can lead to issues with your account.
"You understand that by providing any sample, having your genetic information processed, accessing your genetic information, or providing self-reported information, you acquire no rights in any research or commercial products that may be developed by 23andme or its collaborating partners.",You have no claim to any research or products developed by 23andme or its partners using your genetic or self-reported information.
"You acknowledge that genetic information that you share with family, friends, or employers may be used against your interests.",Be cautious when sharing genetic information because it could potentially be used against you.
You therefore acknowledge and agree that the form and nature of the services which 23andme provides may change from time to time.,The services provided by 23andme can change over time.
"You further acknowledge and agree that the services and any necessary software used in connection with the services (""software"") contain proprietary and confidential information that is protected by applicable intellectual property and other laws.",The services and related software include confidential and proprietary information that is legally protected.
23andme will use reasonable efforts to notify you of any significant changes to the tos.,23andme will try to inform you about major changes to the terms of service.
You acknowledge and agree that this license shall permit 23andme to take these actions.,Agreeing to the terms gives 23andme permission to perform certain actions.
You acknowledge and agree that 23andme shall not be liable to you or any third party for any termination of your access to the services.,23andme is not responsible for any effects of terminating your access to the services.
Notice notices to you may be made via either email or regular mail.,You may receive notifications from 23andme by email or postal mail.
"You acknowledge and agree that 23andme has no responsibility or liability for the deletion of or failure to store any messages, other communications, or other content maintained or transmitted by the services unless caused by 23andme's negligence.",23andme is not responsible for the loss of your content or messages unless it's due to their negligence.
You acknowledge that by placing an order with us you will be under an obligation to pay for the service in that order.,"Once you place an order, you are legally required to pay for it."
"23andme grants you a limited license to copy and use and distribute free of charge, for non-commercial purposes only, any of the services content with the exception of content from ""MD's perspectives"" in the ""for the experts"" section of the website and any other content marked as not subject to this limited license on the website.",You are allowed to use and share 23andme's service content for free but only for non-commercial use and not including certain restricted content.
You agree that a key characteristic of our service is that changes to the service will take place over time and this is an important basis on which 23andme grants you access to the service.,"The services will evolve over time, and this ability to change is a key aspect of what you agree to by using 23andme."
You acknowledge and agree that 23andme shall not be liable to you or any third party for any termination of your access to the services.,23andme is not responsible for any harm caused if your access to the services is terminated.
"If we provide to you through our service any information that identify for you, based on your genetic and self-reported information and scientific literature or research, concerns about your health, this information is intended for informational purposes only and for discussion with your physician or other healthcare provider.",Health-related information provided by the service based on your data is for informational purposes and should be discussed with a healthcare professional.
"Limitation of liability to the extent permitted by law, 23andme's total responsibility for any and all claims you make under these tos (including implied terms) or related to the use of the services shall be limited to the amount you paid (or someone paid to us on your behalf) for access to the service or one hundred ($100) US dollars, where no amount is paid to us.",23andme's liability for claims related to the terms of service or the use of services is capped at the amount paid for access or $100 if no payment was made.
"You acknowledge that genetic information that you share with family, friends, or employers may be used against your interests.","You accept the risk that sharing your genetic information could be turned against you in personal, legal, or professional contexts."
You may stop using the services at any time.,You are free to discontinue using the services whenever you choose.
"You should read our privacy statement which sets out how we collect, use and share information about you.","For details on how your information is handled, refer to the privacy statement."
"Changes to the terms of service 23andme may make changes to the tos from time to time to reflect changes in our service, technology, commercial practice, behaviors, our business and the way users use our service and applicable law and rules.","The terms of service may be updated occasionally to stay in line with changes in technology, legal requirements, and how their service is used."
You agree not to access the service by any means other than through the interface that is provided by 23andme for use in accessing the service.,You must use the official interfaces provided by 23andme to access the service and not any unauthorized methods.
