Highlighted Clause,Plain Language Summary
1. Your use of any of the otw sites is governed by that site's terms and policy.,Remember that each website run by 'otw' has its own set of rules and privacy policies that you must follow.
"2. In order for that content to be available to you, it also needs to be accessible to those on the archive team who have access to our servers, and to the board, policy & abuse.","When you use their services, your content needs to be available not just to you but also to the team managing the service and to certain company authorities."
"3. You understand that using the archive may expose you to material that is offensive, triggering, erroneous, sexually explicit, indecent, blasphemous, objectionable, grammatically incorrect, or badly spelled.","Be aware that when using our service, you may encounter content that could be upsetting or inappropriate in various ways."
"4. The otw expressly disclaims all warranties of any kind, whether express or implied, including, but not limited to, the implied warranties of merchantability, fitness for a particular purpose and non-infringement.","The company clearly states that it does not guarantee the quality, suitability for a specific purpose, or legal compliance of its service."
5. You agree that the otw shall not be liable to you or any third party for any termination of or limitation on your access to ao3.,The company is not responsible if your access to their services is ended or restricted for any reason.
"6. We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.",The service provider can change or end your access to their services at any time for any reason.
7. We do not own your content.,The company does not claim ownership over the content you post using their services.
"8. We will not sell, trade, or rent your personally identifying information.","The company promises not to sell, exchange, or rent out your personal identifying information."
9. we may update the tos as necessary.,The company reserves the right to make changes to the terms of service when they find it necessary.
"10. If these terms of service and/or this privacy policy change at any point in the future, we will post the policy changes to the archive of our own.","If there are any changes to the terms of service or privacy policy, the company will put those changes on their website."
