Highlighted Clause,Plain Language Summary
We shall have no liability to any user or any third party should we modify or discontinue any service or an aspect thereof.,The company isn't responsible if it changes or stops offering a service.
"Your use of the functionality provided by such third parties is subject to the terms of service, privacy practices, and related agreements provided by such third parties and we assume no responsibility for such terms, nor for the actions or practices of such third parties.",The company is not responsible for third-party services integrated into their services; users must follow those third parties' terms and rules.
"We reserve the right in our sole discretion, and without any prior notice, to terminate your access to the service for any reason, including your breach of these terms.","The company can terminate your access to their service at any time without prior notice, especially if you break the rules."
"We and/or our suppliers, are not liable for any direct, indirect, punitive, incidental, special or consequential damages or other injury arising out of or in any way connected with the use of our services.",The company and its suppliers will not be held responsible for any damages resulting from the use of their services.
"We reserve the right to change, modify or discontinue any service or a portion or attribute thereof, or the offering of any information, good, content, product or service.","The company can change, stop offering, or remove parts of their service whenever they want."
"We assume no responsibility for, and will not be liable for, any loss that you incur as a result of someone else using your password, either with or without your knowledge.",The company is not responsible if someone else uses your password and causes you a loss.
"Changes to these terms these terms are subject to change at any time, without prior notice.","The company can change the Terms of Service whenever they want, without telling you first."
You are solely responsible for canceling your account.,It's your responsibility to cancel your own account if you want to.
The limitations of liability set forth above are fundamental elements of the contract between us and you.,The company's limits on its responsibility to users are a key part of the agreement between the user and the company.
Any court with jurisdiction shall enforce this section and enter judgment on any award.,Courts with the proper authority are required to enforce the arbitration decisions according to these terms.
