Highlighted Clause,Plain Language Summary
"In case of such an assignment, you are entitled to terminate the agreement with immediate effect by deactivating your account.","If we transfer this agreement to another party, you have the right to end the agreement immediately by closing your account."
Audacity will provide you with reasonable notice of any such assignment.,We will notify you if we transfer this agreement to someone else.
"You shall promptly notify audacity in writing upon your discovery of any unauthorized use or infringement of the service or the content or audacity’s patent, copyright, trade secret, trademarks or other intellectual property rights.","If you notice any unauthorized use or infringement related to our service or intellectual property, please inform us in writing immediately."
"The license you grant to audacity is non-exclusive (meaning you are free to license your user generated content to anyone else in addition to audacity), fully-paid and royalty-free (meaning that audacity is not required to pay you for the use on the service of the user generated content that you post), sublicensable (so that audacity is able to use its affiliates, subcontractors and other partners such as internet content delivery networks and wireless carriers to provide the services), perpetual (meaning that no termination of this agreement will affect the license granted by you), and worldwide (because the internet and the services are global in reach).","When you post content, you give Audacity a free and permanent license to use it worldwide, but you can also license it to others."
"Audacity reserves the right not to post or publish any user generated content, and to delete, remove or edit any user generated content, at any time in its sole discretion without notice or liability.","Audacity can decide not to publish, or to delete or edit any content you post, without telling you or being responsible for it."
"If you violate, breach or fail to comply with this agreement in any way, we may terminate your use of the service immediately and without notice or liability.","If you break any of these terms, we can stop you from using the service right away, without any notice or liability."
You may terminate this agreement by providing us with notice of your termination via your account portal and ceasing to use service.,You can end this agreement anytime by letting us know through your account and by stopping the use of our service.
"Audacity expressly disclaims any and all responsibility or liability for any action by you that is contrary to such law(s) by you and reserves the right to terminate your service immediately upon notice of your failure to comply with any such local, state or federal law.","If you act against the law, Audacity denies responsibility and may stop your use of the service immediately after letting you know."
"We reserve the right to add, delete, change or modify parts of these terms at our sole discretion and at any time without notice or liability to you.","We can change these terms whenever we want, without having to tell you or be responsible for how it affects you."
"Upon the effective date of any such termination, your right to use all or part of the service may immediately cease.","Once your account is terminated, you might lose access to all or parts of our service right away."
"Limitation of liability to the maximum extent permitted by law, audacity shall not be liable for any indirect, incidental, special, consequential or punitive damages, or any loss of profits or revenues, whether incurred directly or indirectly, or any loss of data, use, goodwill, or other intangible losses.","Audacity won't be responsible for any indirect damages or losses you might experience because of our service, including lost profits or data."
