Highlighted Clause,Plain Language Summary
"Nbcuniversal may modify these arbitration provisions, but such modifications shall only become effective thirty (30) days after nbcuniversal has given notice of such modifications and only on a prospective basis for claims arising from nbcuniversal transactions and relationships occurring after the effective date of such notification.","NBCUniversal can make changes to how legal disputes are settled under these terms, but the changes will only apply to future transactions starting 30 days after they notify users of the modifications."
You agree to immediately notify nbcuniversal of any unauthorized use of your password or account or any other breach of security.,You must tell NBCUniversal right away if you notice any unauthorized use of your account or any security breaches.
"To the maximum extent permitted by law, nbcuniversal, its parent, its affiliates, agents and licensors disclaim any and all warranties and conditions, statutory or otherwise.",NBCUniversal and its associated parties do not provide warranties beyond what the law requires.
"To access this site or some of the resources it has to offer, you may be asked to provide registration details.",You might need to provide certain information about yourself to use this site or some of its features.
Nbcuniversal may modify these terms of service prospectively from time to time in its sole discretion.,"NBCUniversal can change these terms whenever they want, and those changes will only affect future use of their services."
Your user content will not be acknowledged or returned.,"Anything you submit or post to NBCUniversal's services won't be recognized as yours, and you won't get it back."
Your continued use of the site will be deemed as irrevocable acceptance of any revisions.,"If you keep using the site after changes are made to these terms, it means you accept those changes."
"We may require, at any time, proof that you are following these rules.",NBCUniversal can ask for evidence that you're complying with the terms at any point.
You may cancel your subscription at anytime.,You have the right to cancel your subscription service whenever you want.
The parties agree that the state or federal courts in New York shall have non-exclusive jurisdiction of any section 27 dispute.,"For any legal disputes under section 27, courts in New York will have the authority to decide on the case."
"Nbcuniversal may change, suspend or discontinue any aspect of the site or online services at any time, in whole or in part, for any reason, in our sole discretion, without notice or liability.","NBCUniversal can make changes to, pause, or entirely stop any part of their services at any time without warning and won't be held responsible for it."
"Indemnification you agree to defend, indemnify and hold harmless nbcuniversal, its affiliates and their respective directors, officers, employees and agents from and against any and all claims, demands, actions, suits or proceedings, as well as any and all losses, liabilities, damages, costs and expenses arising out of or accruing from (a) any breach of these terms.",You must protect NBCUniversal against any legal claims or losses that might come from breaking these terms.
"Nbcuniversal provides the online services on an ""as is"" and ""as available"" basis.",NBCUniversal offers their services without any guarantees and only as they are available at the moment.
Nbcuniversal reserves the right to modify or discontinue the site or online services.,NBCUniversal can change or stop offering their website and online services at any time.
You consent to be notified of changes to the terms of service via posting of updates on the site.,You agree that NBCUniversal can inform you about changes to these terms by posting them on their site.
"If nbcuniversal believes, in its sole discretion, that a violation of these terms has occurred, it may edit or modify any submission, posting or e-mails, remove the material permanently, cancel postings, warn users, suspend users and passwords, terminate accounts or take other corrective action it deems appropriate.","If NBCUniversal thinks you've violated the terms, they can take down your content, warn you, suspend or terminate your account, or take other actions."
"Nbcuniversal may, in its sole discretion, terminate your password, account (or any part thereof) or use of the online services, for any reason without prior notice.",NBCUniversal can end your account or block your use of their services at any time without telling you beforehand.
You must cancel prior to the end of your free trial offer to avoid charges or debits to your payment method.,Cancel before your free trial ends to avoid being charged.
Nbcuniversal is not responsible for third-party websites and content.,NBCUniversal won't be held accountable for any outside websites or content linked through their services.
"You agree not to upload, post, transmit or otherwise distribute or facilitate distribution of any content — including text, communications, video, software, images, sounds, data, or other information — that.",You must not share illegal content or content that violates these terms on NBCUniversal's services.
You agree that you have no expectation of privacy with regard to any user content.,Anything you post on NBCUniversal's services is not private and may be viewed by others.
You may not post content that is unfairly or unlawfully competitive with nbcuniversal.,You're not allowed to post anything on NBCUniversal's services that competes unfairly with their business.
"Nbcuniversal may seek to gather information from the user who is suspected of violating these terms, and from any other user.",NBCUniversal can collect information from anyone they think might be breaking these terms.
Nbcuniversal reserves the right to change the nature of this relationship at any time.,NBCUniversal can alter the terms of your agreement with them anytime they choose.
You are responsible for maintaining the security and confidentiality of the password you use to access your account.,You have to keep your account password safe and secret.
