Highlighted Clause,Plain Language Summary
"Credit karma expressly disclaims any liability for any errors or omissions in our content or our services, including the inaccuracy or incompleteness of any such credit reports, credit scores, offers or other information, tools or analyses available through our services or our content.","Credit Karma is not responsible for any mistakes in the information or tools they provide, including things like credit reports and scores."
"We reserve the right to limit the availability of our services or the provision of any of our content to any person, geographic area, or jurisdiction, at any time and in our sole and absolute discretion.","Credit Karma can restrict who can use their services or content, where it can be used, and can do so whenever they want and for whatever reason."
You must comply with all applicable laws when using our services.,"When you use Credit Karma’s services, you must follow all the relevant laws."
"We may access, use, preserve, transfer or disclose, at any time and without notice to you, any information (including personal information as defined in our privacy statement) as reasonably necessary to: (1) comply with any applicable law, regulation, subpoena, or legal process, or respond to any governmental requests or cooperate with law enforcement, if we believe such action is required or permitted by law.","Credit Karma can use or share your personal information if needed to comply with the law, respond to legal processes, or work with law enforcement."
We may modify the agreement at any time.,Credit Karma can change their Terms of Service whenever they choose.
"If a change materially modifies your rights or obligations, you may need to accept the modified terms to continue to use our services.","If there is a big change to the agreement that affects your rights or responsibilities, you might have to agree to the new terms if you want to keep using Credit Karma’s services."
"Nothing in the agreement or our services grants you, by implication, estoppel, or otherwise, any license or right to copy, modify, sell, reproduce, distribute, republish, display, post, create derivative works from or transmit in any form any of our partners’ intellectual property.","You can't use, change, sell, or distribute the content from Credit Karma’s partners without permission."
You may not use our services in any manner that infringes the rights of any third party.,Don't use Credit Karma in a way that would violate someone else's rights.
"You and credit karma agree to use good faith efforts to resolve the claim directly, but if you and credit karma do not reach an agreement to do so within 30 days after the notice is received, you or we may commence an arbitration proceeding.","If there’s a disagreement, you and Credit Karma first try to solve it together. If you can’t, either side can start an arbitration process after 30 days."
Immaterial modifications will take effect when published.,Small changes to the agreement will be in effect as soon as they are announced.
Material modifications will take effect when you accept the modified terms.,Big changes to the agreement take effect when you agree to them.
"Arbitration any arbitration between you and credit karma will be conducted under the consumer arbitration rules of the American Arbitration Association, and will be administered by the AAA.",Any arbitration between you and Credit Karma will follow the rules of the American Arbitration Association and will be overseen by that organization.
"If any provision of this section 10 is unlawful, void, or unenforceable for any reason, then that provision will be given effect to the greatest extent possible and the remaining provisions will remain in full force and effect.","If a part of section 10 about arbitration is invalid, it will be adjusted as much as possible and the rest will still apply."
"You may see community content that may be inaccurate, offensive, indecent, or objectionable.","You might come across user-submitted content that you find wrong, offensive, or inappropriate."
We disclaim all liability for community content and you hereby waive any legal or equitable right or remedy you have against us with respect to community content.,"Credit Karma is not responsible for any content that users share, and you can't take legal action against them for this content."
We will post modifications to these terms of service on this page.,Any changes to these Terms of Service will be posted on this page.
"By registering for a credit karma member account, you certify that you are 18 years of age or older.",You must be at least 18 years old to create a Credit Karma account.
You are responsible for all activities that occur under your member account.,You’re accountable for anything that happens through your account.
"If you believe that your account is no longer secure, notify us immediately by clicking here.","If you think your account isn’t safe, tell Credit Karma right away."
Arbitration is less formal than a lawsuit in court.,Arbitration is a simpler way to solve disputes compared to going to court.
You and credit karma agree that each must bring claims against the other only in your or its individual capacity and not as a plaintiff or a class member in any purported class or representative proceeding.,"You and Credit Karma can only bring legal action against each other individually, not as part of a group or class action lawsuit."
"Credit karma and its representatives, agents, and any of their respective officers, directors, equity holders, employees, parent entities, subsidiaries, affiliated entities, representatives, agents and licensors will not be liable to you or any third party for any special, indirect, incidental, consequential or punitive damages arising out of or relating in any way to our services, our content or the community content.","Credit Karma and its team aren’t liable for any kind of special, indirect, or serious damages that you or others might suffer as a result of using their services or content, or user-shared content."
Deactivation and termination you can deactivate your Credit Karma member account by visiting our help page.,You can turn off your account by using the help page.
Any analysis and estimates we provide as part of our services are for illustrative and informational purposes only.,Any analysis or estimates from Credit Karma are just for information and shouldn’t be taken as exact or certain.
"We may use your credit report, credit score, and other information we obtain to analyze, sort, and present certain information or features to you.",Credit Karma might use your credit report and score to give you specific information or features.
"By submitting, posting, or publishing your community content on or through our services, you grant to credit karma a non-exclusive, unrestricted, perpetual, irrevocable, transferable, sub-licenseable, royalty-free license to publish, host, store, transfer, distribute, modify, create derivative and collective works from, reproduce, display, perform, transmit, process, or otherwise use, in any manner and for any purpose, and in all forms or distribution methods now known or later developed, your community content, in whole or in part.","When you share content, Credit Karma gets a wide-reaching right to use it however they want, forever, without paying you."
"We do not endorse, represent, or guarantee the completeness, accuracy, reliability, or usefulness of any community content.","Credit Karma doesn’t promise that anything users post is complete, accurate, reliable, or helpful."
"No advice or information, whether oral or written, obtained by you from our services will create any warranty regarding Credit Karma that is not expressly stated in these terms.",Nothing said or written to you outside the official Terms of Service creates any promises or warranties about Credit Karma.
