Highlighted Clause,Plain Language Summary
"Any changes to the services, including releases of new features, tools or resources, shall be subject to these terms of service.","If there are any updates or new features added to the services, they will also be governed by the current Terms of Service."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The service provider can alter, temporarily halt, or completely end your access to the services at any time and for any reason, particularly if you violate their terms or cause harm or legal risks."
The services are intended for use only in jurisdictions where they may lawfully be offered for use.,The services should only be used in places where they are legally allowed.
"Crowdmark reserves the right to not authorize or settle any fees transaction you submit that crowdmark believes, in its sole discretion, is in violation of these terms of service.",The company can refuse to process any transaction they believe violates the Terms of Service.
"Crowdmark, in its sole discretion, has the right to terminate these terms of service, or to suspend, terminate or restrict your access to any of the services, or any other crowdmark service, for any reason and at any time without notice.","The company has the power to end the terms of service or to suspend or end your access to the services without any prior notice, for any reason they choose."
"The provisions of these terms of service regarding “restrictions on use”, “payment matters”, “cancellation”, “termination and suspension”, “ownership and licences”, “disclaimers”, “limitation of liability”, “indemnification” and “general” and any provisions which by their nature survive, shall survive the termination of these terms of service.",Certain critical sections of the Terms of Service will remain in effect even after the terms have been terminated.
"Crowdmark’s privacy policy, currently available at: crowdmark.com/privacy/ (the privacy policy) is hereby incorporated into, and forms part of, these terms of service.",The privacy policy provided on the company's website is considered part of the Terms of Service.
Your continued use of the services after any such change shall constitute your acceptance of such change.,"If you keep using the services after any changes have been made to them, it means you accept those changes."
"You hereby waive, in favour of Crowdmark, your moral rights under Canada’s Copyright Act or any successor legislation or similar law under the laws of Canada or the laws of other countries, that you, as author, have or may in your content.","By agreeing to these terms, you give up any moral rights to the content under Canadian copyright laws or similar laws in other countries."
"You acknowledge and agree that as between you and crowdmark, crowdmark and its licensors have and retain all right, title and interest in and to crowdmark’s content and the services.","The company and its licensors keep all rights to the content and services, and while you can use them, you don't own any part of them."
Crowdmark may change these terms of service from time to time without notice to you.,The company can update the Terms of Service whenever they like without telling you first.
You are responsible for maintaining the security of your password and account.,You must keep your password and account safe and secure.
Crowdmark may also stop (temporarily or permanently) providing the services (or any part of the services) to you or to anyone else without notice.,"The company can either temporarily or permanently stop offering the services, or part of them, without notifying you."
You are responsible for regularly reviewing the most current version of the terms of service which are currently available at: crowdmark.com/legal/.,It is your duty to keep up-to-date with the Terms of Service by reviewing them on the company's legal page.
"You hereby agree to indemnify crowdmark or its licensors... against all losses, expenses, damages, liabilities, expenses and costs, including reasonable legal fees, suffered by any of the crowdmark entities, directly or indirectly, resulting from: (a) your use of the services.","If using the service causes any type of loss or damage to the company, you agree to cover all costs including legal fees."
"To the fullest extent permitted by applicable law, crowdmark and its affiliates and licensors are not liable... for any loss or damages of any kind, including, without limitation any direct, indirect, special, consequential, exemplary or punitive loss or damage.","To the extent the law allows, the company and its affiliates are not responsible for any kind of loss or damage, including direct and indirect, that might come from using the service."
