Highlighted Clause,Plain Language Summary
"You grant a non-exclusive, non-revocable, transferable right to us to use your user-generated content, unrestricted in time and territory, for the purpose of rendering the service.","You give the service provider the permanent right to use any content you create on their platform, without any geographical or time restrictions, to provide their services."
We will notify you of any material changes to the tos along with an opportunity to opt in to changes that require your consent by law or regulation or to opt out of any changes that decrease your rights under this tos.,"The service provider will inform you about significant changes to the terms of service and will give you the chance to agree to such changes, or to opt out if these changes reduce your rights according to the terms."
"The service are provided on an ""as is"" and ""as available"" basis.",The services are offered with no guarantees and are available depending on their current state and availability.
"By using the service, you are agreeing to have your personal information transferred to and hosted in the United States.","If you use this service, your personal data will be moved and stored in the United States."
"In addition, we may, in our sole discretion, immediately terminate your account, if any, should your conduct fail to conform with the tos.",The service provider has the right to immediately end your account if you don't follow the terms of service.
We shall not be liable to you or any third party should we exercise our tos right to modify or discontinue the service.,The service provider is not responsible for any effects on you or others if it decides to change or stop providing the service.
"You agree to indemnify and hold us, and our subsidiaries, affiliates, officers, agents, co-branders or other partners, and employees, harmless from any alleged claim or demand, including reasonable attorney fees, made by any third party due to or arising out of your use of the service, your connection to the service, your violation of the tos, or your violation of any rights of another, whether you are a registered user or not.","You agree to protect the service provider and its affiliates from any legal claims or demands, including attorney fees, made by others because of your use of the service, your violation of the terms or your infringement of someone else's rights."
We may at any time revise the tos by updating this posting.,The service provider can change the terms of service at any time by updating the document.
"You expressly understand and agree that we shall not be liable for any direct, indirect, incidental, special, consequential or exemplary damages, including but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses (even if we have been advised of the possibility of such damages), resulting from: (i) the use or the inability to use the service.","The service provider is not responsible for any kind of damages or losses, including loss of profits or data, that result from using or not being able to use the service."
"You agree that any termination of your access to the service under any provision of this tos may be effected without prior notice, and acknowledge and agree that we may immediately deactivate or delete your account and any or all related information and files.",You acknowledge that the service provider can end your access to the service and deactivate or delete your account without prior notice.
"If you cease using the service, you confirm that we are entitled to continue using your user-generated content and may continue to display your username along with your content pursuant to the rights granted above.","Even if you stop using the service, the provider can still use the content you created and display your username with it."
The tos comprises the entire agreement between you and us and supersedes all prior agreements between the parties regarding the subject matter contained herein.,The terms of service include the whole agreement between you and the provider and replace any previous agreements about the topics covered in it.
