Highlighted Clause,Plain Language Summary
It requires you to arbitrate disputes with doordash and limits the manner in which you can seek relief.,"If you have a disagreement with DoorDash, you have to go through arbitration instead of taking it to court, which restricts the ways you can resolve the issue."
"You may not authorize others to use your user status, and you may not assign or otherwise transfer your user account to any other person or entity.",You cannot let others use your account or give your account to anyone else.
"If you do not wish to continue subscribing with the new fees, you may cancel your dashpass subscription within the specified notice period.","If DoorDash increases subscription fees and you don't want to pay the new amount, you can cancel your DashPass during the notice period they provide."
"You and doordash are instead electing to have claims and disputes resolved by arbitration, except as specified in section 12(a) above.","You agree to resolve any claims or disputes with DoorDash through arbitration, except for what is mentioned in a specific part of the terms (section 12(a))."
"This arbitration agreement shall apply, without limitation, to all claims that arose or were asserted before the effective date of this agreement.",The agreement to use arbitration applies to any claims that came up or were made before you even agreed to these terms.
"If doordash cancels your dashpass subscription, you will receive a refund of your subscription fee on a pro rata basis calculated from the end of the month during which your subscription was cancelled, unless doordash terminates your account or your dashpass subscription because it determines, in its sole discretion, that your actions or your use of the services violates this agreement or has harmed another user.","If DoorDash cancels your DashPass, you'll get some money back for the unused time, unless DoorDash ends your subscription because you broke the rules or hurt another user."
You agree that doordash may monitor and/or delete your user content (but does not assume the obligation) for any reason in doordash’s sole discretion.,"DoorDash can watch over and remove anything you post if they want to, but they don't have to."
"There is no judge or jury in arbitration, and court review of an arbitration award is limited.","When resolving disputes through arbitration, there's no judge or jury involved, and it's hard to challenge the outcome in court."
"except as expressly agreed to in section 12(g) of this agreement, you and doordash agree to waive any right to resolve claims within the scope of this arbitration agreement on a class, collective, or representative basis.","You and DoorDash agree not to join in any class-action lawsuits or similar types of lawsuits regarding claims covered by this arbitration agreement, unless specifically stated otherwise in a certain part of the terms."
The services offered by doordash pursuant to this agreement do not include any retail services or any food preparation services.,The services that DoorDash provides under this agreement do not cover any in-store shopping or food-making services.
You and doordash waive any constitutional and statutory rights to sue in court and receive a judge or jury trial.,"By agreeing to the terms, both you and DoorDash give up the right to take legal action in court and to have a trial in front of a judge or jury."
"Except as expressly agreed to in section 12(g) of this agreement, the arbitration proceeding will not be consolidated with any other matters or joined with any other proceedings or parties.","Arbitration with DoorDash will be separate and will not be combined with other legal matters or involve other people, unless section 12(g) of the agreement says otherwise."
"You agree that doordash is not responsible for the merchants’ food preparation or the safety of the food or whether the photographs or images displayed through the services accurately reflect the food prepared by the merchants and/or delivered by the contractor, and does not verify merchants’ compliance with applicable laws or regulations.","DoorDash is not accountable for how the food is made, if it's safe, or if the pictures online match what you get. They also don't check if restaurants are following the law."
"You acknowledge and agree that doordash does not itself prepare food or offer delivery services, and has no responsibility or liability for the acts or omissions of any merchant or any contractor.","DoorDash doesn't make or deliver the food itself, and isn't responsible for what the restaurants or delivery drivers do or don't do."
Doordash reserves the right to modify or cancel an offer at any time.,DoorDash can change or scrap a deal whenever they want to.
"Doordash reserves the right to accept, refuse, suspend, or cancel your dashpass subscription at any time in its sole discretion.","DoorDash can decide whether to give you a DashPass, keep it going, put it on hold, or end it, anytime they choose to."
"Doordash reserves the right in its sole discretion to remove or disable access to any user content from the services, suspend or terminate your account at any time, or pursue any other remedy or relief available under equity or law if you post any user content that violates this agreement or any community or content guidelines we may publish or that we consider to be objectionable for any reason.","DoorDash can take down anything you post, stop your account, or use other legal actions if you post stuff they think is wrong or breaks their rules."
Doordash reserves the right to change whether a restaurant is eligible for dashpass at any time with or without notice.,"DoorDash can decide if a restaurant can be part of the DashPass program and can change this at any moment, with or without telling you."
Doordash will continue to honor the valid opt outs of customers or users who validly opted out of the arbitration agreement in a prior version of the terms and conditions.,"If you already said no to the arbitration clause in an older version of the terms, DoorDash will still respect that choice."
dashpass is an automatically renewing subscription requiring recurring payments.,DashPass will keep renewing itself and charge you regularly unless you cancel.
"Doordash, at its sole discretion, may make promotional offers with different features and different rates to any user.","DoorDash can come up with special deals, with various perks and prices, for anyone they choose."
"You agree to indemnify and hold harmless doordash and its officers, directors, employees, agents and affiliates (each, an “indemnified party”), from and against any losses, claims, actions, costs, damages, penalties, fines and expenses, including without limitation, attorneys’ fees and expenses, that may be incurred by an indemnified party arising out of, relating to or resulting from (a) your user content.","If someone tries to take legal action against DoorDash because of something you posted, you have to cover all their losses and costs."
