Highlighted Clause,Plain Language Summary
You must be 13 or over.,You need to be at least 13 years old to use this service.
"If you have a dispute with one or more users, you agree to release EthicalAds from any and all claims, demands and damages (actual and consequential) of every kind and nature.","EthicalAds is not responsible for resolving disputes between users, and by using the service, you agree not to hold EthicalAds liable for any related claims or damages."
"You agree to indemnify us, defend us, and hold us harmless from and against any and all claims, liabilities, and expenses.","If your actions lead to legal action against EthicalAds, you agree to cover any costs or damages."
"EthicalAds has the right to suspend or terminate your access to all or any part of our network at any time, with or without cause, with or without notice, effective immediately.","EthicalAds can suspend or terminate your access to their services at any time, for any reason, without warning."
You may request that your account be deleted by emailing ads@ethicalads.io.,You can ask for your account to be deleted by contacting EthicalAds through the provided email.
"EthicalAds provides the service and the network ""as is"" and ""as available,"" without warranty of any kind.",EthicalAds doesn't guarantee the service will work as expected or that it will always be available.
"We reserve the right at any time and from time to time to modify or discontinue, temporarily or permanently, the website (or any part of it) with or without notice.","EthicalAds can change or stop their website or any part of it anytime they want, with or without telling you before they do it."
Amendments to these terms of service at any time and will update these terms of service in the event of any such amendments.,"EthicalAds may update the terms of service at any time, and changes will be reflected in the updated terms."
You are responsible for keeping your account secure.,It's your job to make sure your EthicalAds account stays safe.
EthicalAds runs an ad network and our network provides guarantees about how we fairly handle advertising and disputes.,EthicalAds promises to manage their advertising network and any disputes fairly.
We do not sell information to third parties.,EthicalAds doesn't sell your information to anyone else.
"We provide our service as is, and we make no promises or guarantees about this service.","EthicalAds offers its service ""as is"" and doesn't make any promises regarding its performance or availability."
The service is billed on net-30 terms usually on a monthly or quarterly basis and is non-refundable.,Service fees are billed every 30 days and you won't get your money back if you decide to stop using the service.
EthicalAds cannot and will not be liable for any loss or damage from your failure to comply with this security obligation.,EthicalAds isn't responsible for any losses or damage if you don't keep your account secure.
"By using the service, you agree to pay EthicalAds any charge incurred in connection with your use of the service.","When you use EthicalAds, you're agreeing to pay any charges that come with it."
"Our goal is to get payment to our publishers by the 15th of the month, with the payment being the balance at the end of the prior month.",EthicalAds aims to pay publishers by the 15th of each month for earnings from the previous month.
You are responsible for any fees associated with your use of EthicalAds.,You have to pay any costs that come from using EthicalAds.
