Highlighted Clause,Plain Language Summary
"Fanfiction.net reserves the right to amend these terms of service at any time and without notice, and it is your responsibility to review these terms of service for any changes.","Fanfiction.net can change their Terms of Service whenever they want without telling you, and you should check the terms regularly for any updates."
"You are solely responsible for the activity that occurs on your account, and you must keep your account password secure.","You're the only one responsible for what happens with your account, so you need to protect your password."
"By using the service, you expressly relieve fanfiction.net from any and all liability arising from your use of any third-party website or services.",Fanfiction.net is not responsible for any issues that happen because of other websites or services you use in connection with their service.
"To the maximum extent permitted by local law, you and fanfiction.net agree that any cause of action arising out of or related to the fanfiction.net service must commence within one (1) year after the cause of action accrues. Otherwise, such cause of action is permanently barred.","If you have a legal issue with fanfiction.net, you need to bring it up within a year, or you lose your right to do so."
"Fanfiction.net expressly disclaims any warranty or condition of any kind of fitness for a particular or general purpose, quality, merchantability, workmanship, non-infringement, or title and ownership.",Fanfiction.net doesn't make any promises about the quality or usefulness of their service or content.
Fanfiction.net reserves the right to remove content and user submissions without prior notice.,Fanfiction.net can delete any content or contributions you make without telling you first.
"If you do not agree to any of these terms, the fanfiction.net privacy policy, cookies policy, or the community guidelines, please do not use the fanfiction.net service.","Don't use fanfiction.net if you don't agree to their Terms of Service, privacy policy, cookie policy, or community guidelines."
"These terms of service, together with the privacy notice and any other legal notices published by fanfiction.net on the service, shall constitute the entire agreement between you and fanfiction.net concerning the fanfiction.net service.","The Terms of Service, privacy notice, and any legal statements on fanfiction.net form the whole agreement between you and the service."
Fanfiction.net reserves the right to discontinue any aspect of the fanfiction.net service at any time.,Fanfiction.net can stop offering any part of their service whenever they choose.
Fanfiction.net's failure to assert any right or provision under these terms of service shall not constitute a waiver of such right or provision.,"If fanfiction.net doesn't enforce part of the terms immediately, they can still enforce it later."
"You agree to defend, indemnify and hold harmless fanfiction.net, its parent corporation, officers, directors, employees, and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses arising from your use of the fanfiction.net service.",You must protect fanfiction.net and its employees from any legal claims or costs that arise from your use of the service.
The fanfiction.net service is only for personal use and may not be used for any commercial purposes without written permission from fanfiction.net.,The service is for your private use only; using it to make money without permission is not allowed.
You may access user submissions solely for your information and personal use and as intended through the normal functionality of the fanfiction.net service.,You can only use other users' contributions for your own information and as the service is meant to be used.
