Highlighted Clause,Plain Language Summary
"You agree to indemnify and hold fastmail, its parents, subsidiaries, affiliates, officers and employees, harmless from any claim, demand, or damage, including reasonable attorneys’ fees, asserted by any third party due to or arising out of your use of or conduct on the service.",You will be responsible for covering any costs or legal fees that Fastmail might face due to your actions while using their service.
"Fastmail may terminate your access to any part or all of the service and any related service(s) effective immediately if you fail to comply with these terms, or where required to by law.","If you break Fastmail’s rules or the law requires it, they can immediately stop your access to their service."
Fastmail reserves the right to change these terms or its policies regarding the use of the service at any time and to notify you by posting an updated version of these terms on this web site.,"Fastmail can update their terms or policies at any time, and they will let you know by posting the new versions online."
Continued use of the service after any such changes shall constitute your consent to such changes.,"If you keep using Fastmail after they update their terms, it means you agree to the new terms."
The service is provided “as is” without warranty of any kind.,Fastmail doesn’t make any guarantees about the service - you use it at your own risk.
"Upon termination of the service, your right to use the service immediately ceases. Fastmail shall have no obligation to maintain any content in your account or to forward any unread or unsent messages to you or any third party.","If your account is closed, you can’t use Fastmail anymore and they don’t have to keep or send your messages or content."
"Member conduct as a condition of your use of the service, you warrant to Fastmail that you will not use the service for any purpose that is unlawful or prohibited by these terms.",You promise not to use Fastmail for anything illegal or against their rules.
Fastmail is not responsible for such sharing. Fastmail does not endorse the content or views expressed in content hosted by our customers.,"Fastmail is not liable for anything you or others share using their service, and doesn’t support any specific content or opinions shown."
"Fastmail will immediately terminate any account which it believes, in its sole discretion, is transmitting or is otherwise connected with any spam or other unsolicited bulk email.",Fastmail will close your account if they think you're sending spam or mass emails without permission.
Disclaimers/limitation of liability the information and services included in or available through the service may include inaccuracies or typographical errors.,Fastmail admits there might be mistakes or errors in the service provided and is not liable for these issues.
"In no event shall Fastmail be liable for any direct, indirect, punitive, incidental, special, consequential damages or any damages whatsoever including, without limitation, damages for loss of use, data or profits, arising out of or in any way connected with the use or performance of the service or related web sites, with the delay or inability to use the service or related web sites, the provision of or failure to provide services, or for any information, software, products, services and related graphics obtained through the service, or otherwise arising out of the use of the service, whether based on contract, tort, negligence, strict liability or otherwise, even if Fastmail has been advised of the possibility of damages.","Fastmail is not responsible for any type of damages or losses you might suffer related to using their service, even if they knew there was a risk."
