Highlighted Clause,Plain Language Summary
These terms of service will be governed by the laws of the state of California without regard to its conflict of law provisions.,"The rules governing these terms will follow California law, but they won't consider any conflicts with laws from other areas."
"You acknowledge and agree that the Service contains content or features (""Service Content"") that are protected by copyright, patent, trademark, trade secret or other proprietary rights and laws.",You understand and agree that the service includes content and features that are legally protected by intellectual property rights.
GFYCAT may change the fees or benefits associated with the PRO features from time to time with reasonable advance notice.,"GFYCAT has the right to change the costs or benefits of paid features, but they will inform you in advance."
"You agree that any and all disputes or claims that have arisen or may arise between you and GFYCAT... shall be resolved exclusively through final and binding arbitration, rather than a court...",You agree to settle any disagreements with GFYCAT through arbitration instead of going to court.
You acknowledge and agree that GFYCAT may preserve content and may also disclose content if required to do so by law...,GFYCAT can keep content stored and might share it if the law demands it.
"GFYCAT may also in its sole discretion and at any time discontinue providing the Service, or any part thereof, with or without notice.","GFYCAT can stop providing all or part of its services at any time, with or without telling you first."
You agree not to access the service and/or the Service Content through any technology or means other than... through your personal computer device using a conventional on-line web browser.,You should not use any methods other than a standard web browser on your personal computer device to access the service and content.
You acknowledge that GFYCAT reserves the right to terminate accounts that are inactive for an extended period of time.,GFYCAT can delete accounts that haven't been used for a long time.
"You agree that GFYCAT will not be liable to you or to any third party for any modification, suspension or discontinuance of the Service.","GFYCAT won't be responsible if it changes, pauses, or stops the service, and this won't result in any legal action against them."
"GFYCAT terms of service last modified: May 12, 2020","The terms of service were last updated on May 12, 2020."
"You expressly understand and agree that GFYCAT will not be liable for any indirect, incidental, special, consequential, exemplary damages, or damages for loss of profits...",GFYCAT is not responsible for any indirect or significant damages or lost profits you might claim from using the service.
"If your claim exceeds $10,000, the right to a hearing will be determined by the AAA Rules.","If you're seeking more than $10,000 in a dispute, the American Arbitration Association rules will decide if you get a hearing."
"You may not assign this Terms of Service without the prior written consent of GFYCAT, but GFYCAT may assign or transfer this Terms of Service, in whole or in part, without restriction.","You can't transfer your agreement with GFYCAT to someone else unless they agree in writing, but GFYCAT can transfer it without any restrictions."
