Highlighted Clause,Plain Language Summary
You acknowledge that the applicable third party is solely responsible for its offerings and vendor makes no representations or warranties concerning those offerings and accepts no liability with respect to them,"You agree that if you use products or services from a third party, the vendor of the terms you are reading is not responsible for those third-party products or services and cannot be held liable for any issues that arise from using them."
"The terms of this agreement will be construed as having been drafted jointly by the parties, and no presumption or burden of proof will arise favoring or disfavoring any party by virtue of the authorship of any provisions of this agreement.","If there's any uncertainty or disagreement about the meaning of the terms in the agreement, it will be interpreted as if both parties wrote it together. This means neither party will automatically be favored or blamed just because they wrote part of the agreement."
"You acknowledge that: (i) results you may obtain from family space, including data and messaging, may not be accurate, timely or reliable.","You recognize that the information or results you get from using Family Space may not always be correct, up-to-date, or dependable."
"Vendor may at any time deliver any notice to you via electronic mail, pop-up window, dialog box or other means, even though in some cases you may not receive the notice unless and until you launch a solution.","The vendor may send you notices through email, pop-up windows, dialog boxes, or other methods, and you may not see these notices until you open or use the service or product they provide."
This agreement will immediately terminate upon your breach of any of your obligations in this agreement,Your right to use the service will end immediately if you fail to follow any of the rules listed in this agreement.
"To the full extent permitted by law, in no event will vendor or any company that controls, is controlled by or is under common control with vendor be liable to you or any third party for any loss or damage","If allowed by law, the vendor and any related companies won't be responsible for any harm or losses you or others might suffer related to the service they offer."
"vendor may amend this agreement at any time by notice provided to you in accordance with this agreement, and your continued use of any affected solution at any point at least 30 days after the notice date will constitute your acceptance of the amendment of this agreement.","The vendor can change the terms of the agreement at any time, and if you keep using the service at least 30 days after they notify you, that means you agree to the new terms."
The arbitration proceedings will be conducted by conference call.,"If there's a dispute, it will be handled over a conference call rather than in person."
You must notify vendor promptly if the appliance is or becomes defective.,"If the product you got with the service stops working or is faulty, you must tell the vendor right away."
This agreement constitutes the entire agreement between you and vendor relating to your use of the solutions and documentation.,This document outlines your entire agreement with the vendor regarding your use of their services and any accompanying information.
"You must comply with all applicable u.s. and international laws governing export and re-export of the solutions, including the u.s. export administration regulations, as well as end-user, end-use and destination restrictions issued by u.s. and other governments.","You need to follow all the laws that apply to shipping and sending the service or product out of the country, including the rules set by the United States and other countries."
"You agree to pay all royalties, fees, and any other monies owed to any person by reason of you uploading, publishing, displaying, distributing or making available your content on the mtip or members of the vendor group or vendor partners exercising any of the rights, licenses and permissions you have granted under this section 13.16.","If you share content using the service, you are responsible for paying any money you owe to others for using that content."
"This agreement, the applicable conditions and the documentation, to the greatest extent reasonably practicable, will be construed to be consistent with each other, but in the event of a conflict they will govern in the following order of precedence: (i) the applicable conditions.","If there's a conflict in the terms, priority will be given to the specific terms that apply to the service you're using."
No arbitration or proceeding will be combined with another without the prior written consent of all parties to all affected arbitrations or proceedings.,You can't combine your legal case with someone else's case unless everyone involved agrees to it in writing.
