Highlighted Clause,Plain Language Summary
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Your personal information might be shared or sold if the company goes through financial changes like bankruptcy or a merger.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The company can change, stop, or cancel your access to their services for any reason, especially if you break the service's rules or cause potential legal trouble."
"If we make changes that are material, we will take every reasonable step to ensure that changes are brought to your attention by posting all changes prominently on the ivpn website and emailing our existing customers.","If there are significant changes to the terms, the company will notify users by publishing the changes on their website and emailing current customers."
"However, any dispute that arose before the changes shall be governed by the terms that were in place when the dispute arose.","If there's a dispute, it will be resolved using the terms that were effective when the dispute started, even if the terms have since changed."
Your continued use of the ivpn service will be subject to the new terms.,"If you keep using the service after the terms are updated, you are agreeing to the new terms."
You will be responsible for all the activities involving your account.,You are responsible for whatever happens through your service account.
"We are not in any shape or form liable for damages of any sort (realized or unrealized) resulting from the use of, or through the use of, or arising from the use of, or the inability to use the ivpn service pertaining to any registered user.",The company isn't responsible for any type of damages that occur from using or not being able to use their service.
"In any event, ivpn shall never be liable for any monetary damages beyond what the user paid to ivpn and this will not include court costs or attorney fees irrespective of any statutes or laws that may be interpreted otherwise.","The most the company will have to pay you for any damages is the amount you paid for the service, and they won't cover any court costs or lawyer fees."
We reserve the right to make amendments or modifications to our terms of use agreement.,The company can change the terms of service whenever they want.
"If you disagree with our changes, then you should stop using the ivpn service within the designated notice period.","If you don't agree with changes to the terms, you should stop using the service within the time frame they provide when they announce changes."
"If you violate any of our terms, we reserve the right to terminate your service without any advance warning or notification.","If you break any of the rules, the company can stop your service immediately without telling you ahead of time."
