Highlighted Clause,Plain Language Summary
"You understand that when using the services, you will be exposed to content from a variety of sources, and that id cloud services ltd is not responsible for the accuracy, usefulness, safety, or intellectual property rights of or relating to such content.","When you use our services, you may see content from different sources, and we are not responsible for whether that content is accurate, useful, safe, or if it respects intellectual property rights."
You use the services of id cloud services ltd at your own risk.,It is your responsibility and risk to use our services.
"id cloud services ltd may change, suspend or discontinue all or any aspect of the services at any time, including the availability of any feature, database, or content, without prior notice or liability.","We can change, pause, or stop the services at any time without telling you beforehand or being held responsible for it."
"To the fullest extent permitted by law, id cloud services ltd, its officers, directors, employees, and agents disclaim all warranties, express or implied, in connection with the services and your use thereof.","We, including our staff and agents, do not guarantee anything about the services, either explicitly or implicitly."
neither id cloud services ltd nor any provider of any third party content warrants that the services will be uninterrupted or error free or makes any warranty of the results to be obtained from use of the services or content.,"We do not promise that the services will be uninterrupted or without mistakes, or that they will meet your expectations."
"Neither id cloud services ltd nor any third party makes any warranties of any kind, either express or implied, including, without limitation, warranties of title or implied warranties of merchantability or fitness for a particular purpose, with respect to the services or content or any products or services sold through the services.","We don't make any specific promises about the services, the content, or any products sold through the services."
neither id cloud services ltd nor any third party warrant that any files available for downloading through the services will be free of viruses or similar contamination or destructive features.,We don't guarantee that files you download through the services will be free from viruses or harmful elements.
Id cloud services ltd reserves the right to terminate your access to any and/or all parts of the services at any time for any reason without prior notice or liability.,We can end your access to our services anytime without warning for any reason.
"limitation of liability neither id cloud services ltd nor any third party provider shall be liable to you or any third party for any direct, indirect, incidental, special, consequential or punitive damages whatsoever arising out of the use of or inability to use the services, even if such party has been advised of the possibility of such damages.","We are not responsible for any damage or loss that you or anyone else may suffer related to the services, whether or not we've been warned it could happen."
"Id cloud services ltd reserves the right, at its own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you, and in such case, you agree to cooperate with the id cloud services ltd defense of such claim.","We have the right to handle our own legal defense if you have to indemnify us (protect us from loss), and you will need to help us in this defense."
If you wish to use the eu office for dispute resolution (http://ec.europa.eu/odr) submit your case using our contact form.,"If you are in the EU and want to resolve a dispute, you can use the EU office's dispute resolution service by contacting us through our contact form."
id cloud services ltd may modify the agreement which will become effective immediately upon its posting to the website.,"We can change the terms of this agreement, and the changes will be valid as soon as we post them on our website."
Id cloud services ltd will not be liable for any losses you might suffer due to account insecurity or personal misplacement of passwords or keys.,We are not responsible for any losses you might experience if your account is not secure or if you lose your passwords or keys.
id cloud services ltd does not endorse any content stored on or distributed through the services and id cloud services ltd expressly disclaims any and all liability in connection with content.,"We are not responsible for any content stored or shared through our services, and we do not endorse it."
Id cloud services ltd is not responsible or liable for any unauthorized access to or alteration of your content or for any violation of its agreement.,We are not responsible if someone accesses or changes your content without permission or if they break the agreement.
Each complaint will be investigated and appropriate action will be taken.,We will look into every complaint and take the right actions.
In no event will id cloud services ltd aggregate liability to your or any third party for any and all claims arising out of or in connection with the use of the services exceed one hundred dollars ($100).,Our total responsibility for any claims related to the use of the services will not be more than $100.
"Since there is no fixed contract and users may cancel at any time, id cloud services ltd does not offer refunds on subscription payments.","Because you can cancel your subscription at any time, we do not give refunds for them."
