Highlighted Clause,Plain Language Summary
"We may need that you provide us with some documents necessary to prove your identity, proof that you have authorized us to act on your behalf, or any other information required for provision of the service.",You might be asked to provide documents to verify your identity and prove that you've given permission for the service to act on your behalf.
People of younger age are expressly prohibited from submitting any of their information to us and using our service.,"If you are under a specified age, you are not allowed to give your personal information or use this service."
"Incogni and its affiliates shall not be liable to you or any third parties for any direct, indirect, special, consequential or punitive damages allegedly sustained arising out of your use of the service.","The service and its affiliates are not responsible for any damages that may happen from your use of the service, regardless of the kind of damages."
We reserve the right to terminate your account at any time.,The service provider can end your account at any time for any reason.
You are solely responsible for all usage or activity on your account.,You are the only one responsible for anything that happens through your account.
For this you will need to provide us with some of your personal information so that we can prepare an authorization document for you to sign which is necessary to contact data brokers on your behalf.,You need to supply personal information for the service to create a document that allows them to represent you when contacting data brokers.
You should not use our website or service to do things that may be illegal or offensive.,You must not use the service for anything illegal or offensive.
"Incogni provides its website and service to you on an ""as is"" and ""as available"" basis.",The service is offered without any guarantee or promise of specific results.
"Paid incogni services renew automatically at the end of each service period and your chosen payment method is charged again, unless you decide to cancel your automatic payments before the automatic renewal.",Subscriptions to the service automatically renew and your payment method will be charged unless you cancel in advance.
No refunds will be considered for accounts terminated for violation of these terms.,"If your account is closed because you broke the rules, you won't get a refund."
We will indicate on our site any time these terms of service have been amended or updated.,Changes to the terms of service will be posted on the website.
You are entirely responsible for maintaining the confidentiality of your password.,Keeping your password safe is your responsibility.
"you agree to notify us immediately of any unauthorized use of your account, email address or password.",You must tell the service provider right away if someone uses your account without permission.
"These terms of service shall be construed in accordance with and governed by the laws of the Netherlands, without reference to their rules regarding conflicts of law.",The laws of the Netherlands will be used to interpret these terms of service.
You may not sell or trade that account to any other person.,You are not permitted to sell or give your account to someone else.
These terms of service are a binding agreement.,The terms of service are legally enforceable.
"Incogni may change the price for the subscriptions, including recurring subscription fees, or other subscription terms from time to time and will communicate any price or other changes to you in advance.","The service may change its prices or subscription details, but will let you know before such changes occur."
"If you choose not to use our paid services anymore, we guarantee you a right to claim a refund within 30 days following your purchase of our services.","If you stop using the paid services, you can get a refund if you request it within 30 days of purchase."
