Highlighted Clause,Plain Language Summary
"The arbitration will proceed in the english language, in accordance with the jams streamlined arbitration rules and procedures then in effect, by one commercial arbitrator with substantial experience in resolving intellectual property and commercial contract disputes.","Arbitration, which is the process of resolving disputes outside of court, will be conducted in English, follow specific streamlined rules, and be managed by one experienced arbitrator proficient in intellectual property and commercial issues."
"We reserve the right to remove any content from the services at any time, for any reason, in our sole discretion, and without notice.","The service provider can delete any content from their services at any time without warning, based on their own judgment."
All claims and disputes within the scope of this arbitration agreement must be arbitrated or litigated on an individual basis and not on a class basis.,Any legal claims or disputes must be handled individually and not as part of a class or grouped with others.
The arbitrator shall be selected from the appropriate list of jams arbitrators in accordance with such rules.,An arbitrator will be chosen from a pre-approved list based on the specified rules.
"These terms include information about future changes to these terms, limitations of liability, a class action waiver and resolution of disputes by arbitration instead of in court.","These terms cover how future amendments will be made, set limits on the provider's responsibility for damages, disallow class action lawsuits, and require arbitration for resolving disputes instead of going to court."
"You agree that the licenses you grant are royalty-free, perpetual, sublicensable, irrevocable, and worldwide.","You agree that any licenses you grant to the service provider for using your content will be without any fees, will last forever, can be passed on to others, and are uncancelable and valid everywhere in the world."
"You understand and agree that inrupt, in performing the required technical steps to provide the services, may need to make changes to your user content to conform and adapt those user content to the technical requirements of connection networks, devices, services, or media, and the foregoing licenses include the rights to do so.","You acknowledge and consent that the provider may need to modify your content to fit technical standards of networks, devices, and media, and you have granted them the rights to make such changes."
"In any litigation between you and inrupt over whether to vacate or enforce an arbitration award, you and inrupt waive all rights to a jury trial, and elect instead to have the dispute be resolved by a judge.","If there's a court case about the result of an arbitration between you and the service provider, both parties give up the right to a trial by jury, preferring to have a judge decide the matter."
"We may suspend or discontinue any part of the services, or we may introduce new features or impose limits on certain features or restrict access to parts or all of the services.","The service provider can stop, change, or limit any part of the services, introduce new features, or restrict access to features at any time."
"(e) waiver of class or consolidated actions. You and inrupt agree that these terms are the complete and exclusive statement of the mutual understanding between you and inrupt, and that these terms supersede and cancel all previous written and oral agreements, communications and other understandings relating to the subject matter of these terms.","You and the service provider agree that any legal actions will not be combined with those of others and that these terms represent the full agreement between you both, overriding all previous agreements."
"We may transfer, assign, or delegate these terms and our rights and obligations without consent.",The service provider can transfer or assign this agreement and its rights and responsibilities to someone else without needing your permission.
You and inrupt are instead choosing to have claims and disputes resolved by arbitration.,You and the service provider choose to resolve any disputes through arbitration instead of in court.
This arbitration agreement will survive the termination of your relationship with inrupt.,The agreement to use arbitration for disputes will continue to apply even after your relationship with the service provider ends.
"If your use of the services is prohibited by applicable laws, then you arenât authorized to use the services.","If using these services is illegal where you are, you're not allowed to use them."
"will these terms ever change? we are constantly trying to improve our services, so these terms may need to change along with our services.",The terms of service may change as the service provider updates its services.
"You agree to indemnify and hold the inrupt parties harmless from and against any and all claims, liabilities, damages (actual and consequential), losses and expenses (including attorneysâ fees) arising from or in any way related to any claims relating to your violation of these terms.",You agree to protect the service provider from any legal actions and cover all costs if you break these terms.
"You shall and hereby do waive california civil code section 1542 or any similar law of any jurisdiction, which says in substance: âa general release does not extend to claims that the creditor or releasing party does not know or suspect to exist in his or her favor at the time of executing the release and that, if known by him or her, would have materially affected his or her settlement with the debtor or released party.â",You give up any legal rights provided by California law (or similar laws elsewhere) that protect you from unknown claims during an agreement's release.
We canât and wonât be responsible for your using the services in a way that breaks the law.,The service provider is not responsible if you use the services illegally.
These services are provided for evaluation purposes only.,The services are offered only for assessment and not for any other purpose.
"To the fullest extent allowed by applicable law, under no circumstances and under no legal theory (including, without limitation, tort, contract, strict liability, or otherwise) shall any of the inrupt parties be liable to you or to any other person for any indirect, special, incidental, punitive or consequential damages of any kind.","The service provider won't be liable for any type of damages or losses you or anyone else might experience due to the services, to the maximum extent the law allows."
You agree not to engage in any of the restricted activities listed in this section related to the services.,You agree to avoid certain activities that the service provider has listed as restricted.
"You promise to abide by all copyright notices, trademark rules, information, and restrictions contained in any content you access through the services, and you wonât use, copy, reproduce, modify, translate, publish, broadcast, transmit, distribute, perform, upload, display, license, sell, commercialize or otherwise exploit for any purpose any content not owned by you, (i) without the prior consent of the owner of that content or (ii) in a way that violates someone elseâs (including inrupt's) rights.","You agree to respect copyrights and trademarks, not to use other's content without permission, and not to misuse any content accessed through the services in ways that infringe on others' rights."
"These terms are governed by and will be construed under the federal arbitration act, applicable federal law, and the laws of the commonwealth of massachusetts, without regard to the conflicts of laws provisions thereof.","These terms are under the jurisdiction of the federal arbitration act, federal law, and Massachusetts law, without being affected by any conflicting legal guidelines."
