Highlighted Clause,Plain Language Summary
"LinkedIn and its affiliates will not be liable in connection with this contract for any amount that exceeds (a) the total fees paid or payable by you to LinkedIn for the services during the term of this contract, if any, or (b) US $1000.","LinkedIn will not have to pay you more than either the amount you've paid for their services or $1000, whichever is lower, if you have a legal claim against them."
This contract (including additional terms that may be provided by us when you engage with a feature of the services) is the only agreement between us regarding the services and supersedes all prior agreements for the services.,"The current Terms of Service, along with any additional terms tied to specific service features, represent the entire agreement between you and LinkedIn, replacing any past agreements."
"If we don't act to enforce a breach of this contract, that does not mean that LinkedIn has waived its right to enforce this contract.","Even if LinkedIn doesn't immediately act on a breach of the Terms of Service, it doesn't give up its right to enforce them later."
"If you purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period.","When you subscribe to a paid service, your payment method will be automatically billed at the beginning of each billing cycle."
"To the fullest extent permitted under applicable law, LinkedIn and its affiliates disclaim any implied or statutory warranty, including any implied warranty of title, accuracy of data, non-infringement, merchantability or fitness for a particular purpose.",LinkedIn and its partners do not guarantee that the services will be error-free or uninterrupted and do not offer any warranties beyond what is required by law.
"You must be at least 18 years of age to offer, perform or procure these services.",You need to be 18 or older to use LinkedIn's services.
"When you register and join the LinkedIn services, you become a member.","By signing up for LinkedIn, you become a member of their service."
"Your license to LinkedIn >you own all of the content , feedback and personal information you provide to us , but you also grant us a non-exclusive license to it.","You keep ownership of the content and information you give to LinkedIn, but you also allow LinkedIn to use it."
You are responsible for anything that happens through your account unless you close it or report misuse.,You're accountable for activity on your LinkedIn account unless you close it or report unauthorized use.
"We may make changes to the contract. we may modify this contract, our privacy policy and our cookies policy from time to time.",LinkedIn may change the Terms of Service and their privacy and cookies policies occasionally.
"You agree that we have no obligation to store, maintain or provide you a copy of any content or information that you or others provide, except to the extent required by applicable law and as noted in our privacy policy.","LinkedIn is not required to save, keep, or give you a copy of any content unless the law requires it."
"Both you and LinkedIn may terminate this contract at any time with notice to the other. On termination, you lose the right to access or use the services.","You or LinkedIn can end this agreement at any time, and if that happens, you can no longer use LinkedIn's services."
We have the right to limit how you connect and interact on our services.,LinkedIn can restrict the way you make connections and interact on their platform.
"By submitting suggestions or other feedback regarding our services to LinkedIn, you agree that LinkedIn can use and share (but does not have to) such feedback for any purpose without compensation to you.","If you give feedback or ideas to LinkedIn, they can use or share them for any reason without paying you."
LinkedIn reserves all of its intellectual property rights in the services.,LinkedIn owns all the intellectual property rights to its services.
"If you object to any changes, you may close your account.","If you don't agree with changes to the Terms of Service, you can close your LinkedIn account."
"LinkedIn reserves the right to restrict, suspend, or terminate your account if you breach this contract or the law or are misusing the services.",LinkedIn can limit your access or close your account if you break these rules or misuse their services.
"LinkedIn reserves the right to limit your use of the services, including the number of your connections and your ability to contact other members.",LinkedIn can restrict how many connections you make or how you interact with other members.
