Highlighted Clause,Plain Language Summary
"Licensee agrees not to modify, publish, transmit, participate in the transfer or sale, create derivative works, or in any way commercially exploit the mobygames web site unless authorized to do so in writing by licensor.","You are not allowed to make changes to, share, sell, or use MobyGames content for business purposes without written permission."
"by submitting content, you assign all worldwide rights, title and interest in and to such content to mobygames, including all copyrights in any form, media, or technology now known or later developed.","When you upload content to MobyGames, you give up all rights to that content, and MobyGames can use it however they want, now or in the future."
You waive any and all moral rights that you may have in the content.,You give up any personal rights to be identified as the author of content you upload to MobyGames.
"The disclaimers of liability contained in this section apply to any damages or injury caused by any failure of performance, error, omission, interruption, deletion, defect, delay in operation or transmission, computer virus, communication line failure, theft or destruction or unauthorized access to, alteration of, or use of mobygames.","MobyGames will not be held responsible for any damages or problems that arise from using their site, including technical issues or unauthorized access."
"In the event any claim relating to the performance or nonperformance by licensor pursuant to this agreement, or in any other way concerning mobygames, is made by you, the actual damages to which you may be entitled shall be limited to the fees, if any, paid by you for use of mobygames.","If you have any issue with MobyGames, any compensation you might get will be limited to what you've paid to use their service."
"Licensor grants to licensee the right to use the mobygames web site for licensees personal, non-commercial use.","You are only allowed to use MobyGames for your own personal enjoyment, not to make money."
The licensor and licensee hereto agree hereby consent to binding arbitration using the american arbitration association.,"If there's a disagreement, you and MobyGames agree to settle it through arbitration by the American Arbitration Association."
Licensor may change any part of this agreement at any time by posting a notice of such change at www.mobygames.com/info/terms/change.,"MobyGames can change the terms of service any time, and will notify users of changes on their website."
"Mobygames and all material contained therein are provided on an ""as is"" basis without warranties of any kind, either express or implied.",MobyGames doesn't make any guarantees about the quality or reliability of their service or content.
"You agree to indemnify and hold licensor harmless from any claim or demand, including reasonable attorneys' fees, made by any third party due to or arising out of your violation of these terms of service or arising out of your violation of any rights of a third party.","If you break these terms or infringe on someone else's rights and MobyGames gets sued because of it, you will have to cover all their costs."
