Highlighted Clause,Plain Language Summary
You may terminate your account at any time by calling customer care at (800) 591-9233 or chatting with customer care here.,You can cancel your account whenever you want by contacting customer support.
We may cancel or suspend your access to the services if you share your login credentials.,The company can cancel or suspend your service if you share your account login info with others.
You also hereby expressly waive any right to resort to any form of class action.,"By agreeing to these terms, you give up the right to participate in a class action lawsuit."
"You are responsible for maintaining the confidentiality of your password, which you will not have to reveal to any representative or agent of nyt.",You must keep your password private and not disclose it to any of the service's staff.
"The new york times company also owns copyright in the selection, coordination, compilation, and enhancement of such content (âarrangementâ).","The New York Times Company has copyright over how content is selected, organized, and enhanced on their service."
"You may not sublicense, assign or transfer any licenses granted by nyt, and any attempt at such sublicense, assignment or transfer shall be null and void.","You aren't allowed to give your service rights to anyone else, and if you try, it won't be valid."
You shall cooperate as fully as reasonably required in the defense of any such claim.,"If there's a legal claim related to your use of the service, you're expected to fully cooperate in the defense."
"You shall not upload to, or distribute or otherwise publish on to the services any libelous, defamatory, obscene, pornographic, abusive, or otherwise illegal material.",Don't post or spread illegal or offensive material on the service.
"If you are less than 18 years of age and would like to use, subscribe or register to any part of the services, please ask your parent or legal guardian to review and agree to these terms of service before you use any part of the services or ask them to complete the purchase and/or registration on your behalf.",Users under 18 need a parent or guardian to agree to these terms on their behalf before using the service.
"We may change, add or remove portions of these terms of service at any time by notifying you of the change in writing (including by email or by updating the date above after âlast updated onâ).",The company can change the terms of service at any time and will notify you of the changes.
Each registration is for a single user only.,Each account should only be used by one person.
You shall pay all applicable taxes relating to use of the services through your account.,You're responsible for paying any taxes associated with the service.
It is your responsibility to review these terms of service prior to each use of the site.,"You should read these terms every time you use the site, as they may have changed."
"Content on the services and content are protected by copyrights, trademarks, patents, trade secrets, database rights, sui generis rights and other intellectual or proprietary rights therein pursuant to U.S. and international laws.",The content provided by the service is protected by various intellectual property laws.
"You shall not, without the express approval of nyt, distribute or otherwise publish any material containing any solicitation of funds, advertising or solicitation for goods or services.","Don't use the service to ask for money, advertise, or promote products without permission from the New York Times."
"Upon termination, you will receive an automated confirmation via e-mail that the cancellation was processed, and your access will be suspended within 24 hours.","If you cancel your account, you'll get an email confirmation, and your access will be cut off within a day."
