Highlighted Clause,Plain Language Summary
"You agree to not use the OSI service to: upload, post, email, transmit or otherwise make available any content that is unlawful, harmful, threatening, abusive, harassing, tortuous, defamatory, vulgar, obscene, libelous, invasive of another's privacy, hateful, or racially, ethnically or otherwise objectionable or harm minors.","You promise not to share anything illegal, harmful, abusive, defamatory, racist, invasive of privacy, or anything that could hurt a minor using the OSI service."
"OSI reserves the right at any time and from time to time to modify or discontinue, temporarily or permanently, the OSI service (or any part thereof) with or without notice.","OSI can change or stop its service at any time, without having to give you prior notice."
OSI may update the TOS at any time and without prior notice by posting a new version at http://www.opensource.org.,"OSI can change these Terms of Service whenever they want, and they'll update the new terms on their website."
"Your registration obligations in consideration of your use of the OSI service, you represent that you are of legal age to form a binding contract and are not a person barred from receiving services under the laws of the United States or other applicable jurisdiction.","When you sign up for OSI, you're saying that you're old enough to enter a contract and that you aren't forbidden by law from using their service."
OSI may terminate your access to the OSI service for violations of the TOS and/or requests by authorized law enforcement or other government agencies.,"If you break these terms or if the law requires it, OSI can cut off your access to their service."
"OSI service is provided on an ""as is"" and ""as available"" basis.","OSI gives you their service as it is, and they don't guarantee that it will always be available or work perfectly."
"You agree to indemnify and hold OSI and its subsidiaries, affiliates, officers, agents, employees, partners and licensors harmless from any claim or demand, including but not limited to reasonable attorneys' fees, made by any third party due to or arising out of content you submit, post, transmit or otherwise make available through the service, your use of the OSI service, your connection to the service, your violation of the TOS, or your violation of any rights of another.","If your actions related to OSI's service lead to legal action, you'll have to cover all the costs and protect OSI from any harm."
OSI does not claim ownership of content you submit or make available for inclusion via the OSI service.,You still own the content you put on OSI's service; they don't take it from you.
"OSI and its subsidiaries, affiliates, officers, employees, agents, partners and licensors shall not be liable to you for any direct, indirect, incidental, special, consequential or exemplary damages, including, but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses.","OSI won't be responsible if you suffer any kind of loss or damage from using their service, like losing money, data, or opportunities."
You expressly understand and agree that your use of the OSI service is at your sole risk.,"You use OSI's service at your own risk, and you can't hold them responsible if something goes wrong."
