Highlighted Clause,Plain Language Summary
"You agree to abide by osmfâs usage policies and other policies posted on the osmf website in conjunction with the services, including accompanying documentation.",You must follow all the usage and policy guidelines provided on the OpenStreetMap Foundation (OSMF) website when using their services.
You must be 13 years or older to use the services.,You need to be at least 13 years old to use OSMF's services.
You are free to stop using the services any time.,You can choose to discontinue using OSMF’s services whenever you wish.
You are legally responsible for your edits and contributions.,You are personally accountable for any changes or content you contribute to OSM and could face legal action if your contributions break the law.
"We do not represent or guarantee the truthfulness, accuracy, or reliability of any submitted community content.",OSMF is not responsible for verifying or ensuring the truth or reliability of content contributed by users.
Your use of the services is at your sole risk.,"You use OSMF services at your own risk, and the foundation does not warranty the service for your specific requirements or its continuous operation."
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","OSMF can change, pause, or stop your access to their services at any time for any reason, including rule violations."
"You agree that no joint venture, partnership, employment, or agency relationship exists between you and osmf as a result of these terms or your use of the services.",Using OSMF's services does not create any legal partnership or employment relationship between you and OSMF.
We may cancel or suspend your account for violation of any policy as determined by the data working group or other working group.,Your account may be cancelled or suspended if you violate policies as decided by OSMF’s working groups.
"By registering as a user or providing personal information on the services, you represent that you are at least 16 years old.",You confirm that you are 16 or older when you sign up as a user or provide personal information to OSMF services.
In no event shall our liability exceed one thousand British pounds (GBP 1000.00) in aggregate.,OSMF’s potential financial liability to you will not be more than 1000 British pounds in total.
You may not have access to data that you stored on the services after we cancel or suspend your account.,"If your account is cancelled or suspended, you might lose access to any data you have stored on OSMF services."
All changes will be effective immediately upon posting to the osmf website unless they specify a later date.,Any changes to OSMF’s terms will take effect as soon as they are posted on the website unless a different effective date is stated.
