Highlighted Clause,Plain Language Summary
You may terminate or suspend your account at any time by contacting us at support@riotgames.com.,You can cancel or put your account on hold by reaching out to Riot Games' support team.
"If you do not use your account for a prolonged period of time, we reserve the right to take measures against your account, including suspension or termination.","If you don't use your account for a long time, Riot Games may suspend or delete it."
The arbitrator shall decide all issues in dispute between you and Riot Games.,"An arbitrator, not a judge or jury, will resolve any disputes you have with Riot Games."
"You understand and agree that using the Riot services comes with the risk that your account may be terminated or suspended in accordance with these terms and that, whenever you use the Riot services, you'll bear this risk in mind and always conduct yourself appropriately.","Your account can be suspended or terminated if you don't follow Riot Games' rules, and you should keep this in mind when using their services."
"You and Riot Games agree that any dispute, claim or controversy that has been submitted to arbitration, and all related proceedings including any settlement agreement, shall be kept confidential.","Everything about the arbitration process, including the results, must be kept private between you and Riot Games."
"Virtual goods, game currency and purchases 4.1. What you ""unlock"" is not the virtual good itself, but rather, a non-transferable limited license to access it.",You don't actually own the virtual items or currency you get in Riot Games' services; you're just licensed to use them.
"We reserve the right, but have no obligation, to monitor and police the boards.",Riot Games can but does not have to check and control what happens on its message boards.
"Except for qualifying small claims actions, you and Riot Games each waive the right to bring such claims to court, including the right to a jury trial.",You and Riot Games are giving up the right to take most disputes to court or have a jury trial.
Riot Games is solely responsible for any Riot services that a third party platform has no obligation to provide any maintenance and support services for.,Riot Games takes full responsibility for their services and not for the maintenance or support provided by any third-party platforms.
"We (and our licensors) own and reserve all rights, title and interest in and to the Riot services.",Riot Games and its licensors have all legal rights and ownership of their services.
"Riot Games may assign its rights under these terms, in whole or in part, to any person or entity at any time with or without your consent.","Riot Games can transfer its rights in the terms of service to someone else whenever it wants, with or without asking you."
"We provide these links to you as a convenience, or other users might be posting these links as user-provided content.",Links offered in Riot Games' services are for your convenience and can also be added by other users.
"Riot Games disclaims all warranties, express or implied, which might apply to the Riot services.",Riot Games does not guarantee anything about its services beyond what is explicitly stated.
"We may provide you with various opportunities to acquire a limited license to access game currency or virtual content, including: purchasing it.","Riot Games may let you buy access to in-game currency and content, but it's a limited license, not ownership."
Your entitlement to use the Riot services is subject to your compliance with these terms and conditions.,Your right to use Riot Games' services depends on following their terms and conditions.
Riot Games reserves the right to terminate accounts of users who infringe or are believed to infringe the rights of copyright holders.,Riot Games can shut down your account if they think you're violating copyright laws.
"You have no ownership or other property interest in your account, and that all rights in and to your account are and shall forever be owned by and inure to the benefit of Riot Games.",You don't own your Riot Games account; Riot Games has and will always keep all rights to it.
