Highlighted Clause,Plain Language Summary
"you must be over 13 years of age to use the services, and children under the age of 13 cannot use or register for the services.",You need to be over 13 years old to use the service. Children under 13 are not allowed to use or sign up for the service.
"Securitytrails reserves the right (but shall have no obligation) to monitor and remove user content from the services, in its discretion.","Securitytrails can monitor and delete user content from their services if they choose to, but they are not required to do so."
These terms and any action related thereto will be governed by the laws of the state of California without regard to its conflict of laws provisions.,Any legal issues related to these terms will be handled under the laws of California.
Securitytrails is not liable for any loss or damage which may be incurred by you as a result of the availability of those external sites or resources.,Securitytrails is not responsible for any harm or loss that may come from using external sites or resources linked to their services.
you agree that you are responsible for protecting and enforcing those rights and that securitytrails has no obligation to do so on your behalf.,You are responsible for protecting your own copyright and other intellectual property rights when using Securitytrails services; they will not do it for you.
These limitations shall apply notwithstanding the failure of essential purpose of any limited remedy.,"Even if a limited remedy (like a service repair or replacement) fails to serve its essential purpose, the limitations on Securitytrails' liability will still apply."
"Securitytrails may refuse to store, provide, or otherwise maintain your user content for any or no reason.",Securitytrails can decide not to store or maintain your user content for any reason they deem fit.
Securitytrails may remove your user content from the services at any time if you violate these terms or if the services are canceled or suspended.,"If you break the terms of service or if the services are canceled or suspended, Securitytrails may delete your content."
You may terminate these terms at any time by canceling your account on the services.,You can end your agreement with Securitytrails and stop using their services by canceling your account.
"You may not assign these terms, or any rights or licenses granted hereunder, without our prior written consent.",You can't transfer your rights or licenses under these terms to anyone else unless you get Securitytrails' written permission first.
"Securitytrails may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","Securitytrails can change, pause, or stop your access to their services at any time for any reason."
"upon any termination of the services or your account these terms will also terminate, but all provisions of these terms which, by their nature, should survive termination, shall survive termination.","If your account or the service ends, so do these terms, except for parts that are meant to continue after the terms end."
"You are solely responsible for any activity using your credentials, whether or not you authorized that activity.","You are responsible for anything done with your account, even if someone else did it without your permission."
You should immediately notify Securitytrails of any unauthorized use of your credentials or if your email or password has been hacked or stolen.,"If you find out that someone else has used your account without permission or your login details are stolen, you need to tell Securitytrails right away."
You may not use the services if you are a person barred from receiving the services under the laws of the United States or other countries.,You're not allowed to use the services if you're legally prohibited from doing so in the U.S. or other countries.
These terms may be amended or updated from time to time without notice and may have changed since your last visit to the sites or use of the services.,"Securitytrails can change their terms of service at any time without telling you, and they might have changed since you last visited."
"In no event shall securitytrailsâs total liability to you for all damages, losses, and causes of action exceed the amount that you have actually paid for the services in the past twelve months, or one hundred dollars ($100.00), whichever is greater.","The most that Securitytrails might have to pay you for any legal claims is either what you've paid them in the past year or $100, whichever is more."
"These services are provided in accordance with our privacy policy, which can be found at https://securitytrails.com/corp/privacy-policy.","The service uses your information according to its privacy policy, which you can read on their website."
"Securitytrails gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the software provided to you as part of the services.","You get a free license to use Securitytrails' software anywhere in the world, but you can't sell it or let someone else use your license."
Your use of securitytrailsâ services is governed by these terms of service.,"When you use Securitytrails' services, you're agreeing to these rules and conditions."
"By using, downloading, installing, or otherwise accessing the services or any materials included in or with the services, you hereby agree to be bound by these terms.","If you use or install Securitytrails' services or any materials that come with them, you are agreeing to follow these terms of service."
