Highlighted Clause,Plain Language Summary
"If you are under 13, you may not, under any circumstances or for any reason, use the services.",No one younger than 13 is allowed to use the services at all.
"By accessing and/or using our website...you are agreeing to be bound by these terms of service, all applicable laws and regulations...","When you use the site, you agree to follow these terms and all laws that apply."
Spacehey.com may revise these terms of service for its website at any time without notice.,"The site can change these terms whenever they want, and they don’t have to tell you they're doing it."
This license shall automatically terminate if you violate any of these restrictions and may be terminated by spacehey.com at any time.,"If you break the rules, spacehey.com can end your right to use the site immediately."
You are exclusively responsible for your user content.,You are the only one responsible for the things you post and share on the site.
"Upon terminating your viewing of these materials or upon the termination of this license, you must destroy any downloaded materials in your possession whether in electronic or printed format.","If your agreement with the site ends, you have to delete all the materials you downloaded from it."
You are solely responsible for making your own backup copies of your user content if you desire.,It's up to you to create backups of anything you post; the site won't do it for you.
The materials contained in this websites are protected by applicable copyright and trademark law.,The content on this site is legally protected by copyright and trademark laws.
Spacehey.com may make changes to the materials contained on its website at any time without notice.,Spacehey.com can change any content on its site whenever they want without prior warning.
"Spacehey.com does not warrant that any of the materials on its website are accurate, complete or current.","The site doesn't promise that the information you find there will be correct, full, or up-to-date."
"In no event shall spacehey.com or its suppliers be liable for any damages (including...damages for loss of data or profit, or due to business interruption) arising out of the use...of spacehey.com's website...","The site isn't responsible if you lose data, money, or if it disrupts your business because you used it."
The inclusion of any link does not imply endorsement by spacehey.com of the site.,Just because the site has a link to another site doesn't mean it recommends or approves of it.
Spacehey.com provides access to these third-party links & Ads only as a convenience to you...use of any such linked website is at the user's own risk.,"If you click on ads or links to other sites, you’re doing so at your own risk."
"Certain features of the site may be subject to additional guidelines, terms, or rules, which will be posted on the site in connection with such features.","There may be extra rules for some parts of the site, and these will be posted wherever those parts are."
"If you disagree with all of the provision of these terms, do not log into and/or use the site.","If you don’t agree with these terms, then don’t use the site."
"Cookies and web beacons like many other websites, spacehey.com uses ‘cookies’.","Like many sites, spacehey.com uses cookies to collect information."
Spacehey.com is not obliged to backup any user content that you post.,The site doesn't have to save a copy of anything you post.
"Because some jurisdictions do not allow limitations on implied warranties, or limitations of liability for consequential or incidental damages, these limitations may not apply to you.","Some of the limits mentioned in these terms might not apply to you, depending on where you live."
