Highlighted Clause,Plain Language Summary
Toplogger.nu will not rent or sell potentially personally-identifying and personally-identifying information to anyone.,Your personal information will not be rented or sold to anyone by Toplogger.nu.
Toplogger.nu also collects potentially personally-identifying information like internet protocol (IP) addresses.,"Toplogger.nu gathers information that could potentially identify you, such as your IP address."
You will be solely responsible and liable for any activity that occurs under your username.,You are the only one responsible for any actions taken under your account.
"In no event will toplogger.nu, or its suppliers or licensors, be liable with respect to any subject matter of this agreement for: (i) any special, incidental or consequential damages.","Toplogger.nu and its partners won't be responsible for any special, accidental, or significant losses or damages related to this agreement."
Subscriptions can be canceled at any time by contacting toplogger.nu by email.,You can cancel your subscription at any time by emailing Toplogger.nu.
"Toplogger.nu uses cookies to help toplogger.nu identify and track visitors, their usage of toplogger.nu, and their website access preferences.",Toplogger.nu uses cookies to recognize and monitor how visitors use their website and their settings on it.
You can request the removal of your user data by sending an email to privacy@toplogger.nu.,"If you want to delete your user information, you can email Toplogger.nu's privacy team."
"By using toplogger.nu, you consent to the transfer of such information to them.","When you use Toplogger.nu, you agree that your information can be transferred to necessary parties."
You agree to provide us with complete and accurate information when you register for an account.,You must give complete and true information when you create an account with Toplogger.nu.
"Toplogger.nu may terminate your access to all or any part of our services at any time, with or without cause, with or without notice, effective immediately.","Toplogger.nu can end your access to their services at any time for any reason, without warning."
"If we make changes that are material, we will let you know by posting on one of our blogs, or by sending you an email or other communication before the changes take effect.","If there are significant changes to the services, Toplogger.nu will inform you through a blog post, email, or other communication."
"All provisions of this agreement which by their nature should survive termination shall survive termination, including, without limitation, ownership provisions, warranty disclaimers, indemnity and limitations of liability.","After the termination of the agreement, certain parts will still apply, such as ownership rights, disclaimers, indemnity, and limits on liability."
"Our services are provided ""as is.""",Toplogger.nu provides their services without any guarantees or promises for performance.
"You agree to indemnify and hold harmless toplogger.nu, its contractors, and its licensors, and their respective directors, officers, employees, and agents from and against any and all claims and expenses, including attorneys' fees, arising out of your use of our services, including but not limited to your violation of this agreement.",You must protect Toplogger.nu and its associates against any legal claims or expenses that result from your use of their services or your breach of the agreement.
"If you disagree with our changes, then you should stop using our services within the designated notice period.","If you do not agree with changes made to Toplogger.nu's services, you need to stop using them within the stated notice period."
