Highlighted Clause,Plain Language Summary
"You expressly agree that your use of, or inability to use, the service is at your sole risk.","You accept all risks associated with using the service, including the chance that it might not work for you."
It is your responsibility to check our website periodically for changes.,"Keep an eye on the website for any updates to the terms or service, as it's your job to stay informed."
"You may not use a false eâmail address, pretend to be someone other than yourself, or otherwise mislead us or third-parties as to the origin of any comments.",Don't use fake email addresses or pretend to be someone else when posting comments on the site.
"We reserve the right to modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.",The service provider can stop your access to their services for reasons including if you break the rules or cause harm.
"Because some states or jurisdictions do not allow the exclusion or the limitation of liability for consequential or incidental damages, in such states or jurisdictions, our liability shall be limited to the maximum extent permitted by law.","In places where the law says you can't limit liability for certain types of damages, the service provider's liability is limited as much as the law allows."
We do not warrant that the results that may be obtained from the use of the service will be accurate or reliable.,There's no guarantee that what you get from using the service will be correct or dependable.
Your continued use of or access to the website following the posting of any changes constitutes acceptance of those changes.,"If you keep using the website after they post any changes, it means you accept those changes."
We reserve the right to refuse any order you place with us.,The service provider can reject any order you try to place.
"We reserve the right, but are not obligated, to limit the sales of our products or services to any person, geographic region or jurisdiction.","They can decide to sell their products or services to certain people or areas, but they don't have to."
"Section 12 - prohibited uses in addition to other prohibitions as set forth in the terms of service, you are prohibited from using the site or its content: (a) for any unlawful purpose.",You can't use the site or its content for anything illegal.
"Limitation of liability we do not guarantee, represent or warrant that your use of our service will be uninterrupted, timely, secure or error-free.","There's no promise that using their service will be smooth, timely, safe, or without mistakes."
"You agree to indemnify, defend and hold harmless v. h. hess and our parent, subsidiaries, affiliates, partners, officers, directors, agents, contractors, licensors, service providers, subcontractors, suppliers, interns and employees, harmless from any claim or demand, including reasonable attorneysâ fees, made by any third-party due to or arising out of your breach of these terms of service or the documents they incorporate by reference, or your violation of any law or the rights of a third-party.","If your actions lead to a legal claim against the service provider (like breaking the terms or the law), you'll need to cover the defense and costs."
Any reliance on the material on this site is at your own risk.,You use the site's content at your own risk.
"We may, but have no obligation to, monitor, edit or remove content that we determine in our sole discretion are unlawful, offensive, threatening, libelous, defamatory, pornographic, obscene or otherwise objectionable or violates any partyâs intellectual property or these terms of service.","They can, but don't have to, check and take down content that they think is inappropriate or breaks rules."
"We reserve the right to update, change or replace any part of these terms of service by posting updates and/or changes to our website.",They can change the terms of service and will post the new version on their website.
"If you do not agree to all the terms and conditions of this agreement, then you may not access the website or use any services.","If you don't accept all the terms, you can't use the website or its services."
We are and shall be under no obligation (1) to maintain any comments in confidence.,They don't have to keep any comments you make private.
Any new features or tools which are added to the current store shall also be subject to the terms of service.,New features or tools added to the store will be covered by the existing terms of service.
Section 16 - termination the obligations and liabilities of the parties incurred prior to the termination date shall survive the termination of this agreement for all purposes.,"If the agreement ends, any obligations and liabilities from before that date will still apply."
Section 19 - changes to terms of service you can review the most current version of the terms of service at any time at this page.,The latest version of these terms will always be available on this page.
A breach or violation of any of the terms will result in an immediate termination of your services.,"If you break any of the terms, your service will be stopped right away."
We reserve the right at any time to modify or discontinue the service (or any part or content thereof) without notice at any time.,"They can change or end the service or any part of it at any time, without telling you in advance."
"You may terminate these terms of service at any time by notifying us that you no longer wish to use our services, or when you cease using our site.",You can end the agreement by telling the service provider you want to stop using their services or by simply stopping using their site.
