Highlighted Clause,Plain Language Summary
The terms of service are subject to change at any time at our discretion.,The company can change the terms of service whenever they want without notifying you.
"By accepting these terms, you waive and hold harmless company from any claims resulting from any action taken by vidble during or as a result of its investigations and/or from any actions taken as a consequence of investigations by either vidble or law enforcement authorities.","By agreeing to these terms, you can't hold the company responsible if it takes action during investigations or as a result of law enforcement inquiries."
"You specifically consent to personal jurisdiction in king county, wa in connection with any dispute between you and company arising out of these terms of use or pertaining to the subject matter hereof.","If you have a dispute with the company, you agree to deal with it in the local courts of King County, Washington."
All information provided by the user is strictly confidential.,The company claims that any information you provide to them is kept secret.
Circumventing vidble's ability to enforce the vidble terms of service will result in prosecution.,"If you try to bypass the rules, you could be taken to court."
In no event shall vidble be liable for any damages whatsoever.,The company won't be held responsible for any harm or losses that happen from using their service.
Vidble may perform maintenance services at anytime.,"The company can do maintenance on the service whenever they need to, which could affect availability."
Uploading abusive files may result in the immediate termination of the user's ability to use vidble or any of its provided services.,"If you upload harmful or inappropriate files, your account could be shut down immediately."
"Vidble reserves the right to distribute aggregated demographic information provided by the user, but vidble will never release any personal information about the user without permission.","The company can share general user data without identifying individuals, but won't give out your personal details without your OK."
"Vidble reserves the right to remove or replace any uploaded files, and assumes no liability for lost registration links or misplaced file URLs.",The company can delete or change your uploads and isn't responsible if you lose access to your files or if the links don't work.
User's use of vidble's services is entirely at his or hers own risk.,"You're using the service at your own risk, and the company isn't responsible for any problems that come up."
Vidble may revise these terms of use at any time by updating this posting .,"The company can update the terms of service whenever they like, just by changing the text of this document."
"However, vidble reserves the right to release user information if user has violated the vidble terms of service, if the information is subpoenaed, or if the user has committed unlawful acts.","The company can give out your information if you break the rules, if the law requires it, or if you do something illegal."
