Highlighted Clause,Plain Language Summary
"If you knowingly misrepresent that any activity or material on our services is infringing, you may be liable to waymo and others for certain costs and damages.",You could be held responsible for costs and damages if you falsely claim that something on the service is infringing copyright.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","The service provider can change, stop, or permanently shut down your access to their services at any time for any reason."
"You agree to promptly notify waymo parties of any third-party claims, cooperate with waymo parties in defending such claims, and pay all fees, costs, and expenses associated with defending such claims.","If someone claims that your activity on the service is problematic, you must tell the service provider immediately, help them with the defense, and pay all related costs."
You agree that communications and transactions between us may be conducted electronically.,"By using the services, you agree that any communications or transactions can be done online."
You must be at least 13 years of age to use our services.,You need to be 13 years or older to use the services.
Any dispute between the parties will be resolved in the state or federal courts of California.,"If a legal dispute arises, it will be handled in the courts of California."
"To the fullest extent permitted by applicable law, waymo and the other waymo parties will not be liable to you for any indirect, consequential, exemplary, incidental, punitive or special damages or lost profits.",The service provider won't be held responsible for a variety of potential damages or lost income beyond what the law strictly requires.
"The total liability of waymo and the other waymo parties, for any claim arising out of or relating to these terms or our services, is limited to the amount paid, if any, by you to use our services.",The most the service provider could have to pay you for any claim related to the terms or services is limited to what you've paid for the services.
We reserve the right to modify our services or to suspend or stop providing all or portions of our services at any time.,The service can be changed or stopped at any moment without notice.
"You grant waymo and its subsidiaries a perpetual, irrevocable, nonexclusive, royalty-free, worldwide, fully-paid, and sub-licensable license to use your user content.","When you post content on the service, the service provider can use it pretty much however they want without paying you for it."
We may make changes to these terms from time to time.,"The terms of service are subject to change, and they may do so occasionally."
"If you do not agree to the amended terms, you must stop using our services.","If the terms are changed and you don’t agree with the new terms, you have to stop using the service."
"For information about how we collect, use and share information about you, please see our privacy policy.",Check the privacy policy to see how your personal information is handled.
