Highlighted Clause,Plain Language Summary
You agree to receive text messages and phone calls (from us or our third-party providers) with codes to register for our services.,"You are agreeing to get texts and calls from the company or its partners, which may include security codes to sign up for their services."
"Your continued use of our services confirms your acceptance of our terms, as amended.","If you keep using the service, it means you accept any changes they've made to their terms."
All disputes...will be resolved through final and binding arbitration.,"Any legal issues you have with the service will be settled by arbitration, not in court."
"If we or you do not bring a claim (including commencing an arbitration) within one year after the dispute first arose, then the arbitration will be dismissed because it was started too late.","You have one year from when a problem first comes up to start arbitration, or else you can't make a claim later."
Any amendment to or waiver proposed by you of our terms requires our express consent.,You can't change or ignore any of these terms unless the service agrees to it explicitly.
"We may modify, suspend, or terminate your access to or use of our services anytime for any reason.","The service can change, pause, or stop your access to their services at any time for any reason they choose."
"You waive your right to participate in, or have your dispute heard and resolved as, a class action, a class arbitration, or a representative action.",You give up the right to be part of a group lawsuit or arbitration against the service.
"You will not use (or assist others in using) our services in ways that: (a) violate, misappropriate, or infringe the rights of WhatsApp, our users, or others.","You can't use the service to break the law or the rights of the service, its users, or anyone else."
We may disable or delete your account if it does not become active after account registration or if it remains inactive for an extended period of time.,The service can turn off or remove your account if you don't use it for a long time.
The laws of the state of California govern our terms.,California laws apply to these terms of service.
"We may discontinue some or all of our services, including certain features and the support for certain devices and platforms, at any time.","The service might stop all or part of what they offer, including certain features or support for devices, whenever they want."
You are responsible for keeping your device and your WhatsApp account safe and secure.,You need to make sure your device and account are safe and tell the service if there's a security issue.
"The WhatsApp parties will not be liable to you for any lost profits or consequential, special, punitive, indirect, or incidental damages.",The service and its related parties can't be held responsible for any lost money or other damages you might claim from using or not being able to use the service.
"You will, to the maximum extent permitted by applicable law, indemnify, and hold the WhatsApp parties harmless from and against all liabilities, damages, losses, and expenses of any kind (including reasonable legal fees and costs) relating to, arising out of, or in any way in connection with any of the following: (a) your access to or use of our services.",You agree to protect the service from any legal fees or damages that might happen because you used or misused the service.
