Highlighted Clause,Plain Language Summary
"Reservation of rights the wickr services and all content, visual interfaces, information, graphics, design, compilation, computer code, products, software, trademarks, service marks, trade names and services are the property of wickr or its subsidiaries or affiliated companies and/or third- party licensors.","Wickr owns all rights to their services and content, including software and trademarks."
wickr will not be liable for any damages or liability resulting from your account information.,Wickr is not responsible for any harm or legal consequences that come from your account details.
"Wickr grants you a personal, non- exclusive, non-transferable and non-sublicensable license to use the wickr services solely for your personal or internal business purposes.","You are granted a license to use Wickr services for your private or internal business use only, and you can't transfer or sublicense this license."
This agreement will not be governed by the united nations convention on contracts for the international sale of goods.,The United Nations Convention on Contracts for the International Sale of Goods does not apply to this agreement.
wickr may terminate or suspend your access to the wickr services without prior notice and without liability if such termination or suspension is based on wickr’s good faith belief you have violated any of the terms and conditions of this agreement.,"Wickr can end or suspend your access to their services at any time without warning, especially if they believe you've broken the agreement."
"To the extent permitted by applicable law, wickr or its affiliates, contractors, employees, agents, or third-party partners or suppliers will not be liable to you for any special, indirect, incidental, punitive, reliance, consequential, or exemplary damages relating to your use of the wickr services.","Wickr will not be responsible for any type of damages you might claim from using their services, within what's allowed by law."
"wickr reserves the right to terminate free accounts and free access to wickr services at any time, with or without notice without any liability of any kind.","Wickr can close free service accounts at any time, without notice, and won't be liable."
wickr may modify this terms of service from time to time.,Wickr might change the Terms of Service occasionally.
"you agree to indemnify, defend, and hold harmless wickr, its affiliated companies, and its suppliers and partners from any and all claims, suits, actions, losses, costs, damages, and any other liabilities, including attorneys’ fees, arising out of or related to your use or misuse of the wickr services.",You are responsible for protecting Wickr against any costs or legal actions that result from your use or misuse of the service.
"The provisions of this agreement that require or contemplate performance after the termination of this agreement and all provisions relating to limitation of liability, disclaimers, and indemnification will be enforceable notwithstanding such termination.","Even if the agreement is terminated, you will still have to adhere to the parts about limitations of liability, disclaimers, and your obligation to cover Wickr in case they face any claims due to your actions."
wickr reserves the right to prevent you from submitting user data and to restrict or remove user data for any reason at any time.,Wickr can stop you from uploading data and can remove your data anytime for any reason.
"No warranties the wickr services and any third-party software, services, or applications made available in connection with the wickr services are provided “as is,” without warranty of any kind.",Wickr offers its services without any promises or warranties about performance or quality.
"Agreement to these terms of service constitutes acceptance of our Privacy Policy, which is incorporated by reference.","By agreeing to these terms, you also accept Wickr's Privacy Policy."
License grant all wickr services are licensed to you and not sold.,Wickr's services are provided under a license—they are not sold to you.
This agreement may be amended only by a writing signed by both parties.,Changes to this agreement must be in writing and signed by both you and Wickr.
"this agreement will be governed by the laws of the state of Delaware, without regard to conflicts of law provisions, and you consent to the exclusive jurisdiction of the state and federal courts sitting in Wilmington, Delaware, U.S.","Any legal issues with this agreement will be dealt with under Delaware law, and you agree that courts in Wilmington, Delaware will have exclusive jurisdiction over disputes."
