Highlighted Clause,Plain Language Summary
"You may view or listen to content for your personal, non-commercial use.","You can watch or listen to content on the service only for your own personal, non-business related purposes."
"Youtube will provide reasonable advance notice of any material modifications to this agreement and the opportunity to review them, except that modifications addressing newly available features of the service or modifications made for legal reasons may be effective immediately without notice.","YouTube will let you know about significant changes to these terms before they happen, unless the changes are needed because of new features or legal reasons, in which case they might happen right away without notice."
"If you do not agree to the modified terms, you should remove any content you have uploaded and discontinue your use of the service.","If you don't like the new terms, you should delete your uploaded content and stop using the service."
The licenses granted by you continue for a commercially reasonable period of time after you remove or delete your content from the service.,"Even after you delete your content, YouTube can use it for a reasonable amount of time in line with the license you gave them."
"license to youtube By providing content to the service, you grant to youtube a worldwide, non-exclusive, royalty-free, sublicensable and transferable license to use that content.","When you upload content to the service, you're giving YouTube permission to use your content all over the world without having to pay you for it, and they can pass on this right to others as well."
"license to other users you also grant each other user of the service a worldwide, non-exclusive, royalty-free license to access your content through the service.","By uploading content, you're also allowing all other users to access and use your content for free."
"we may modify, suspend, or terminate your access to or use of our Services anytime for any reason.","YouTube can change, pause, or completely stop your access to their services at any time for any reason."
right to monetize you grant to youtube the right to monetize your content on the service.,You're allowing YouTube to make money from your content by showing ads or charging access fees.
You must remove your content if you no longer have the rights required by these terms.,"If you don't have the right to use something in your content, you need to delete that content from the service."
limitation on legal action you and youtube agree that any cause of action arising out of or related to the services must commence within one (1) year after the cause of action accrues.,"If you want to take legal action related to the services, you have to do it within one year of the issue happening."
"terminations by youtube for service changes youtube may terminate your access, or your google account’s access to all or part of the service if youtube believes, in its sole discretion, that provision of the service to you is no longer commercially viable.",YouTube can cancel your access to the service if it decides it's not worth it to them from a business standpoint to keep providing the service to you.
"we may modify this agreement, for example, to reflect changes to our service or for legal, regulatory, or security reasons.","YouTube can update these terms for various reasons, such as changes to their service or to meet legal requirements."
