Highlighted Clause,Plain Language Summary
"We do not provide you any benefits, workers' compensation, or insurance coverage.","The company does not offer any employee benefits, compensation for work-related injuries, or insurance to users."
"We may, in our sole discretion, terminate this agreement, suspend access to our website, or remove any services immediately without notice for any reason.","The company can end the agreement with you, block your access to their website, or stop providing services at any time without prior notice, for any reason they see fit."
"Unless otherwise expressly agreed to by both parties in writing, you will provide full payment for all invoices issued within thirty (30) days after the mailing date of the invoice.","Unless specified otherwise in a written agreement by both parties, you must pay all invoices within 30 days of when they're issued."
"We reserve the right to create, edit, or revoke your qualifications and skills at any time, for any reason or no reason at all.","The company has the right to change or remove any qualifications or skills they have given you at any time, with or without a reason."
"You alone are responsible for complying with federal, state, provincial, and local laws in connection with your use of the services.",You are responsible for following all applicable laws when you use the company's services.
"If your subscription includes any monthly or annual fees or monthly or annual minimums, you will still be responsible for paying for all services fees through the end of that month or year, respectively.","If you have a subscription with monthly or yearly fees, you must pay all service fees until the end of the current month or year, even if you stop using the services before then."
You agree to indemnify and hold us harmless for any assessments against us because you failed to comply with any tax laws.,You agree to protect the company from any legal penalties or costs that might result from your failure to follow tax laws.
"In no event will we be liable for any special, consequential, incidental, exemplary or indirect costs or damages, litigation costs, installation and removal costs, or loss of data, production or profit.","The company won't be held responsible for any significant, additional, or unintended costs or damages, legal fees, or losses related to data, production, or profits."
"The services are provided on an ""as is"" basis.","The services are offered as they are, without any guarantees of functionality or quality."
"You agree to indemnify and hold us harmless for any claims against us because you failed to comply with any law or violated any third party rights, including without limitation contractual, intellectual property, or privacy rights.","You agree to protect the company from any legal claims resulting from your illegal actions or violations of someone else's rights, including contracts, intellectual property, or privacy."
"We may suspend, limit, or cancel your access to the services at any time for any reason, including because: (a) we believe you have violated these terms of service (including other related policies).","The company can stop or limit your use of their services at any time, especially if they think you've broken the terms of service or related policies."
We are not liable for any failure to perform services that is caused by your delay or failure to provide customer data.,The company is not responsible if it cannot perform services because you did not provide the needed customer data on time.
You may not assign these terms of service without our prior written consent.,You cannot transfer this agreement to someone else without the company's written permission.
We may revise and update these terms of service from time to time in our sole discretion.,The company can change the terms of service when they want to.
