Highlighted Clause,Plain Language Summary
"If apple is unable to successfully charge your credit card or payment account for fees due, apple reserves the right to revoke or restrict access to your stored content, delete your stored content, or terminate your account.","Apple can stop your access, remove your stored content, or cancel your account if it can't charge you as required."
"The service is only available to individuals aged 13 years or older (or equivalent minimum age in the relevant jurisdiction), unless you are under 13 years old and your apple ID was provided to you as a result of a request by an approved educational institution or established as part of the family sharing feature by your parent or guardian.",You need to be at least 13 years old to use the service unless an educational institution requests an ID for you or your parent sets it up via family sharing.
"Apple may at any time, under certain circumstances and without prior notice, immediately terminate or suspend all or a portion of your account and/or access to the service.",Apple has the right to end or suspend your service at any time without prior warning under specific situations.
"You assume all risks and all costs associated with your participation in any program, including, without limitation, any internet access fees, backup expenses, costs incurred for the use of your device and peripherals, and any damage to any equipment, software, information or data.","You are responsible for all risks and costs related to participating in any program, such as internet fees, backups, and any damage to devices or data."
Apple reserves the right to take steps apple believes are reasonably necessary or appropriate to enforce and/or verify compliance with any part of this agreement.,Apple can take actions they deem necessary to enforce or check adherence to the agreement terms.
Termination of your account shall not relieve you of any obligation to pay any accrued fees or charges.,Ending your account does not free you from paying any fees or charges owed up to that point.
"Apple and its affiliates, subsidiaries, officers, directors, employees, agents, partners and licensors expressly disclaim all warranties of any kind, whether express or implied, including but not limited to the implied warranties of merchantability, fitness for a particular purpose, and non-infringement.","Apple and related parties do not offer any guarantees or warranties for the services, whether they're expressed, implied, or statutory."
"Apple shall use reasonable skill and due care in providing the service, but apple does not guarantee or warrant that any content you may store or access through the service will not be subject to inadvertent damage, corruption or loss.",Apple will try to provide services with care but does not promise that your content will be safe from accidental harm or loss.
"Apple reserves the right at any time to modify this agreement and to impose new or additional terms or conditions on your use of the service, provided that apple will give you 30 days’ advance notice of any material adverse change to the service or applicable terms of service, unless it would not be reasonable to do so due to circumstances arising from legal, regulatory, or governmental action.","Apple can change this agreement or add new terms at any time but will give you 30 days' notice of significant changes, unless it's not practical due to law or regulation changes."
Apple reserves the right to delete any backups associated with that device if a device has not backed up to iCloud for a period of one hundred and eighty (180) days.,Apple may remove backups for any device that hasn't backed up to iCloud in 180 days.
"Apple expressly disclaim any liability relating to the limitations set forth below, and you may not bring any suit against Apple related to it, except as permitted in this section.","Apple is not liable, and you can't sue it, for the limitations discussed, except as allowed in the related section."
"You agree to defend, indemnify and hold apple, its affiliates, subsidiaries, directors, officers, employees, agents, partners, contractors, and licensors harmless from any claim or demand, including reasonable attorneys' fees, made by a third party, relating to or arising from any content you submit, post, transmit, or otherwise make available through the service",You must protect Apple and its associates against any legal claims or costs due to content you provide through the service.
"If a device detects a missing offline device, it will use wi-fi or cellular connections to securely report the approximate location of the device back to the apple ID associated with the device so the owner can view its location in the Find My app.","If your device is lost and offline, other devices can detect and help report its location back to you through the Find My app."
"Termination by Apple Apple may at any time, under certain circumstances and without prior notice, immediately terminate or suspend all or a portion of your account and/or access to the service.",Apple can end your service or suspend your account anytime without warning in specific circumstances.
"Your account as a registered user of the service, you must establish an account.","To use the service, you need to register and set up an account."
"Apple may, in its sole discretion, suspend and/or terminate accounts of users that are found to be repeat infringers.",Apple may suspend or end the accounts of users who repeatedly infringe copyright.
"Any material downloaded or otherwise obtained through the use of the service is accessed at your own discretion and risk, and you will be solely responsible for any damage to your device, computer, or loss of data that results from the download of any such material.",You are responsible for any harm to your device or data loss that might result from downloading materials through the service.
"The service, or any feature or part thereof, may not be available in all languages or in all countries and Apple makes no representation that the service, or any feature or part thereof, is appropriate or available for use in any particular location.",The service may not be available in all languages or areas and Apple doesn't claim it's suitable or available everywhere.
"You are responsible for maintaining the confidentiality and security of your account and for all activities that occur on or through your account, and you agree to immediately notify Apple of any security breach of your account.",You must keep your account secure and let Apple know right away if there's a security breach with your account.
