Highlighted Clause,Plain Language Summary
"When you submit a message, the date and time is stored as well as the application you submitted the message from.","The service records the time and date of your messages, along with the app used to send them."
"We record the IP address you log in from, as well as the name of your browser application.",The service logs your IP address and browser information each time you log in.
"Your posts are delivered to your followers, in some cases it means they are delivered to different servers and copies are stored there.",Your messages are shared with your followers which might mean they're stored on various servers.
"The operators of the server and any receiving server may view such messages, and that recipients may screenshot, copy or otherwise re-share them.","Be aware that the people running the service and those on receiving servers may see the messages, which can also be captured or passed on by recipients."
Retain the IP addresses associated with registered users no more than 12 months.,The service keeps users' IP addresses for no longer than a year.
You may irreversibly delete your account at any time.,You have the option to permanently delete your account whenever you want.
We use cookies to understand and save your preferences for future visits.,The service uses cookies to remember your settings for future visits.
"The username, display name, biography, profile picture, and header image are always listed publicly.","Your username, profile details and images are publicly displayed at all times."
"This does not include trusted third parties who assist us in operating our site, conducting our business, or servicing you, so long as those parties agree to keep this information confidential.","Your information may be shared with partners helping to run the service, as long as they keep it confidential."
"We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety.","Your information could be disclosed if it's needed to follow the law, enforce site rules, or protect rights and safety."
Your public content may be downloaded by other servers in the network.,Public information you post can be downloaded by other servers in the network.
All posts are stored and processed on the server.,Everything you post is kept and managed on the service’s servers.
"If you are under the age of 13, per the requirements of COPPA (Children's Online Privacy Protection Act) do not use this site.",Children under 13 are not allowed to use the site as per COPPA.
"If this server is in the EU or the EEA: our site, products and services are all directed to people who are at least 16 years old.","If based in the EU or EEA, only individuals 16 and over can use the service."
"If we decide to change our privacy policy, we will post those changes on this page.",Any updates to the privacy policy will be posted on the site.
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information.",The service does not sell or trade your personal information with others.
We also may retain server logs which include the IP address of every request to our server.,The service may keep logs that register the IP address of every request made to their servers.
Therefore it's important to review servers your followers belong to.,It's suggested to check the servers that your followers use.
