Highlighted Clause,Plain Language Summary
"you may use the services only if you are 18 years or older, a resident of the united states, and capable of forming a binding contract with neeva, and not otherwise barred from using the services under applicable law.","You can only use the services if you're at least 18 years old, live in the U.S., can legally agree to these terms, and aren't forbidden by law from using the services."
"If any provision of these terms is held invalid or unenforceable by an arbitrator or a court of competent jurisdiction, that provision will be enforced to the maximum extent permissible and the other provisions of these terms will remain in full force and effect.","If a court or arbitrator finds any part of these terms to be invalid, they will try to apply that part as much as allowed by law. The rest of the terms will still be in effect."
If you continue to use the services after we have posted updated terms it means that you accept and agree to the changes.,"If you keep using the services after we update the terms, your continued use shows that you accept the new terms."
This arbitration provision shall survive termination of these terms.,"If these terms end, the agreement to settle disputes by arbitration will still be valid."
Neeva currently offers two tiers of services: free basic tier services and premium tier services.,Neeva has two service levels: a free basic service and a paid premium service with extra benefits.
You are responsible for exporting your user data from the services.,You have to handle backing up and exporting your data from the services on your own.
"You may not assign or transfer these terms, by operation of law or otherwise, without neeva’s prior written consent.",You can't hand over your rights or obligations under these terms to someone else without getting permission from Neeva in writing.
"To the maximum extent permitted by law, we are not responsible or liable for the removal or deletion of (or the failure to remove or delete) any of your user data.","The law's limits dictate that we aren't to be blamed if we can't, or don't, remove or delete your data."
"If we make material changes that negatively impact your use of the services, or if we stop offering all or a portion of the services, we will provide you with reasonable advance notice.","If we're going to make big changes that affect your service use negatively, or if we're going to stop offering the service or parts of it, we will let you know ahead of time."
You are responsible for ensuring your actions on the service are lawful.,It's your job to make sure you follow the law when you use the service.
We will terminate the account and access rights of any repeat infringer in appropriate circumstances.,We will cancel the accounts of any users who keep breaking copyright rules when it's the right thing to do.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms.","We can change, stop, or completely cut off your service use at any time, especially if you don't follow the rules."
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,"Your personal information might be shared or sold if we get bought, sell off the business, merge or have to deal with bankruptcy or similar financial situations."
"Upon the earlier of termination or expiration of the services or these terms, we will promptly delete your data.","We'll quickly remove your data when your use of the service ends, or these terms do."
"If you don’t agree to be bound by the changes, you may not use the services anymore.","If you're not okay with new changes to the terms, then you can't use the service anymore."
The arbitration will be conducted by the American Arbitration Association (‘AAA’) under its consumer arbitration rules.,Any disputes that lead to arbitration will be handled by the American Arbitration Association following its consumer rules.
Neeva may freely assign or transfer these terms without restriction.,Neeva has the right to hand over these terms to someone else without any limitations.
"Upon any termination, discontinuation or cancellation of the services or your account, the following sections will survive.","Even if your account or the service ends, certain parts of these terms will still apply."
The waiver of any such right or provision will be effective only if in writing and signed by a duly authorized representative of neeva.,"If we choose not to enforce part of these terms, it will only count if we put it in writing and a Neeva representative signs it."
"Any attempt by you to assign or transfer these terms, without such consent, will be null.","If you try to pass on your rights under these terms without permission, it won't be valid."
"For notices made by email, the date of receipt will be deemed the date on which such notice is transmitted.","When we send you an email notice, the date we send it is considered the date you receive it."
Any arbitration hearings will take place in the county (or parish) where you live unless we both agree to a different location.,Arbitration will happen in your local area unless we both decide on a different place.
The exclusions and limitations of damages set forth above are fundamental elements of the basis of the bargain between neeva and you.,The limits on how much Neeva has to pay if things go wrong are a key part of the agreement between you and Neeva.
"Any dispute between us will be decided under California law (and the federal arbitration act) and that any dispute that isn’t arbitrated will be heard in courts located in Santa Clara County, California.","Disagreements will be settled by California law and any court cases will be held in Santa Clara County, California."
You may cancel your account at any time by sending us an email.,"To cancel your account, just send us an email."
We may update the terms or the service from time to time.,We have the right to make changes to these terms or the service whenever we need to.
