text,highlighted
"filefactory.com and its suppliers, to the fullest extent permitted by law, disclaim all warranties, including but not limited to warranties of title, fitness for a particular purpose, merchantability and non-infringement of proprietary or third party rights.",1
"to upload, post, email, transmit or otherwise make available any content that spreads messages of terror or depicts torture or death-images.",0
"misuse of system resources customer shall not misuse system resources including, but not limited to, employing content which consume excessive cpu time or storage space.",0
"exceptions except for other agreements or terms appearing on the web site, this agreement set forth the entire understanding and agreement between us with respect to the subject matter hereof",0
"all other product names, company names, marks, logos, and symbols may be the trademarks of their respective owners",0
"special circumstances filefactory.com will provide access to the services and customers data to an agent of customer (authorised agent) who provides filefactory.com with a notarised letter signed by an officer of customer which letter shall include statements of authenticity, authority, and liability as required by filefactory.com in its sole discretion.",0
"if appropriate, filefactory.com will refer complaints to law enforcement authorities, and in such case, filefactory.com will actively assist law enforcement agencies with the investigation and prosecution of any such activities, including surrendering customer account and data information",0
"filefactory.com may also in its sole discretion and at any time discontinue providing the service, or any part thereof, with or without notice.",0
no warranty you expressly understand and agree that: (a) your use of the service is at your sole risk.,1
"or (c) use of any device, software, or routine to interfere or attempt to interfere with the proper working of the services.",0
"filefactory.com and its suppliers make no warranties about the accuracy, reliability, completeness, or timeliness of our services, software, or content.",0
additional information any questions relating to our legal agreements and policies may be directed through our online form,0
or resale of access to content hosted on filefactory.com servers.,0
filefactory about premium affiliates sign in filefactory about premium affiliates sign in terms of service this filefactory.com terms of service agreement (the agreement) describes the terms and conditions on which filefactory cloud storage llc (we or company) offer services to you (customer or you).,0
"notification of unauthorised use customer will immediately notify filefactory.com if customer notices any activity indicating that customers account or data is being used without authorisation, including: (a) customer has received confirmation of an order or orders placed using customers account which customer did not place or any similar conflicting report.",1
"customer information customer represents and warrants that the information it provides in filefactory.com contact information forms is true, accurate, current and complete.",0
"filefactory.com reserves the right to immediately suspend or terminate any account or transmission that violates this policy, without prior notice",0
that discovery of information in arbitration may be limited.,0
company makes no representation that any of the materials or the services to which you have been given access are available or appropriate for use in other locations.,0
"wrongful conduct customer shall not commit or permit wrongful or damaging acts which justify civil action including, but not limited to, posting of defamatory, scandalous, or private information about a person without their consent or intentionally inflicting emotional distress",0
all purchases of services through the site are nonrefundable prepayments for services.,1
"if you use another partys material, you must obtain prior authorisation.",0
the arbitration award may be enforced as a judgment by a court of competent jurisdiction.,0
"customer account authorised users customer may designate persons to act as its agents to use the services, provided that each designated person has the legal capacity to enter into binding contracts for customer.",0
if customer data violates the acceptable use policy or dmca policy then such data may be removed.,1
(iv) statements or conduct of any third party on the service.,1
each complaint will be investigated and may result to immediate cancellation of services without prior notice,0
(b) filefactory.com services means those electronic or interactive services offered by filefactory.com.,0
"miscellaneous if any provision of these terms is held to be invalid or unenforceable, such provision will be enforced to the greatest extent possible and the remaining provisions will remain in full force and effect.",0
"filefactory.com reserves the right to suspend or terminate a customers transmission(s) that, in filefactory.coms discretion, violates these policies or violates any law or regulation.",0
belize use only the site is controlled and operated by company from its offices in belize.,0
customer controls its data through its generated link.,0
"upon termination of this agreement by either customer or filefactory.com, all of customer rights under this agreement, and filefactory.coms provision of services, will terminate immediately",1
"it is your responsibility to review these terms of use periodically, and if at any time you find these terms of use unacceptable, you must immediately leave the site and cease all use of the service and the site.",0
"(ii) the cost of procurement of substitute goods and services resulting from any goods, data, information or services purchased or obtained or messages received or transactions entered into through or from the service.",1
"for the purposes of this agreement: (a) customer (or you) means the individual or business entity that is using or registering to use the services, including its employees and agents.",0
you agree that by using the service you represent that you are at least 18 years old and that you are legally able to enter into this agreement.,1
"if, at any time, any information provided by customer is untrue, inaccurate, not current or incomplete, filefactory.com will have the right to suspend or terminate customers account and this agreement",0
"as such, there are no refunds available to customers",0
terms of service - acceptable use policy - privacy policy - fair use policy - copyright policy - child exploitation policy - support - resellers - premium - affiliates - contact us filefactory 2020 .,0
filefactory cloud storage llc english danish dutch french german japanese norwegian portuguese swedish spanish english english danish dutch french german japanese norwegian portuguese swedish spanish change language &ltimg height=1 width=1 style=display:none src=https://www.facebook.com/tr?id=559928301484091&ampev=pageview&ampnoscript=1 /&gt.,0
"by using the services, you represent and warrant that you are the author and copyright owner and/or proper licensee with respect to any hosted content and you further represent and warrant that no content violates the trademark or rights of any third party.",0
"assignment customer may not assign any of its rights, or delegate any of its duties, under this agreement, and any attempted assignment will be null and void",0
"or (d) filefactory.com believes that customers actions may cause legal liability for customer, filefactory.coms other clients, or filefactory.com.",1
"access and interference violations or attempts to violate filefactory.com systems or to interrupt filefactory.com services are strictly prohibited, and may result in criminal and civil liability.",0
"you agree that any termination of your access to the service under any provision of these terms and conditions may be effected without prior notice, and acknowledge and agree that filefactory.com may immediately deactivate, archive or delete your account and all related information and data and/or any further access to such data or the service.",0
"further, you agree that filefactory.com shall not be liable to you or any third-party for any termination of your access to the service",0
"you agree that we shall not be liable to you or any third party for any modification, suspension or discontinuance of the service.",0
"transmission, distribution or storage of any material in violation of any applicable law or regulation, including export control laws, is prohibited.",0
"you also acknowledge that you understand the consequences of agreeing to binding arbitration, including that you giving up any and all constitutional and statutory rights to have disputes between us, including copyright infringement disputes, determined by a court of law or equity or by a jury.",0
these parties submit exclusively to the laws and courts of belize,0
please be aware filefactory.com reserves the right to cancel any account or transmission they find in violation of any of the above policies.,1
company will post a notice on the site any time these terms of use have been changed or otherwise updated.,0
eligibility for filefactory.com services our services are available only to individuals and business entities (including but not limited to sole proprietorships) in good legal standing that can form legally binding contracts under applicable law.,0
"your use of or access to the site should not be construed as company s purposefully availing itself of the benefits or privilege of doing business in country, state or jurisdiction other than belize.",0
"however, filefactory.com may retain customer data in its archives after deletion and will not be liable to customer in any way for such retained data.",1
"ownership you acknowledge that all materials (except those uploaded by users) provided on this web site, including but not limited to information, documents, products, logos, graphics, sounds, images, software, and services (collectively materials), are provided either by filefactory.com or by their respective third party authors, developers and vendors (collectively third party providers) and the underlying intellectual property rights are owned by filefactory.com and/or its third party providers.",0
in no event will filefactory.com be liable to customer or any third party for filefactory.coms reliance on such letter or such apparent authority,0
"on this matter, please refer to filefactory.coms dmca policy, which is herein incorporated by reference illegal content filefactory.com neither sanctions nor permits site content or the transmission of data that contains illegal or obscene material or fosters or promotes illegal activity, including but not limited to, gambling, the offering for sale of illegal weapons, and the promotion or publication of any material that may violate hate crimes legislation",0
"interpretation if any provision of this agreement is held to be invalid or unenforceable, such provision shall be struck, as narrowly as possible, and the remaining provisions shall be enforced.",0
copyright or trademark infringement filefactory.com services may be used only for lawful purposes.,1
customer bears full responsibility for archiving its data and sole liability for any lost or irrecoverable data.,0
"it is customers responsibility, through its systems administrator authorised user, to set the appropriate access for each of customers authorised users",0
if you are dissatisfied with any aspect of our service or with these terms &amp.,0
"filefactory.com, the filefactory.com logo and other filefactory.com products referenced herein are trademarks of filefactory.com, and may be registered in certain jurisdictions.",0
"responsibility for user ids and passwords customer is solely responsible for maintaining the confidentiality of customer access information, i.e.",1
once that period expires your account will be returned to a non-premium account,0
"refund policy and cancellation instructions where you elect to purchase premium services, we will bill you for the services in advance",0
"you acknowledge that we may establish general practices and limits concerning use of the service, including the maximum disk space that will be allotted on filefactory.coms servers on your behalf, and the maximum number of times (and the maximum duration for which) you may access the service in a given period of time.",0
"there are two parts to the legal procedure: (1) writing a proper dmca notice, and (2) sending the proper dmca notice to filefactory.coms designated agent",0
"other activities whether lawful or unlawful, filefactory.com reserves the right to determine what is harmful to its customers, operations or reputation, including any activities that restrict or inhibit any other user from using and enjoying the service or the internet",1
"customer hereby represents and warrants that it is duly licensed to do business and is in good legal standing in the jurisdictions in which it does business (during the term of this agreement), that it is not a competitor of filefactory.com, and that the person agreeing to this agreement for customer is at least eighteen years of age and otherwise capable of and authorised to enter binding contracts for customer",0
"headings are for reference purposes only and in no way define, limit, construe, or describe the scope or extent of such section.",0
(d) any material downloaded or otherwise obtained through the use of the service is done at your own discretion and risk and that you will be solely responsible for any damage to your computer system or loss of data that results from the download of any such material.,1
"by registering for or using filefactory.com services, customer agrees to be bound by the following terms and conditions.",0
"this arbitration provision will apply to all disputes between us relating to the services provided to you and alleged infringement of your copyrights or other intellectual property on or through the site, and will survive termination of our relationship and this agreement.",0
"further, you acknowledge that filefactory.com may change subscription fees at any time without notice.",1
filefactory.com will delete customer data upon termination of this agreement.,0
"(e) no advice or information, whether oral or written, obtained by you from us or through or from the service shall create any warranty not expressly stated in these terms and conditions",0
customer expressly and irrevocably agrees that filefactory.com may rely on such a letter and on the apparent authority of the person requesting access to the services or to customers account.,0
"if appropriate, the content will be reported to the relevant legal authority and/or the members isp will be contacted d.",0
"furthermore, customer represents and warrants that each person who registers under customers account is an authorised agent of customer (an authorised user) who has such legal capacity",0
or (b) customer has failed to pay fees or other payments due to filefactory.com.,1
to cancel a recurring credit card subscription simply visit your account page on filefactory.com.,1
customer data customer has sole responsibility and liability for the data its stores on filefactory.coms servers.,0
"(b) filefactory.com makes no warranty that (i) the service will meet your requirements, (ii) the service will be uninterrupted, timely, secure, or error-free, (iii) the results that may be obtained from the use of the service will be accurate or reliable, (iv) the quality of any products, services, information, or other material purchased or obtained by you through the service will meet your expectations , and (v) any errors in the software will be corrected.",1
"further, should customer violate this policy, filefactory.com will actively assist and cooperate with law enforcement agencies and government authorities in collecting and tendering information about customer, customers site, the illegal or obscene content, and those persons that may have inappropriately accessed, acquired, or used the illegal or obscene content",0
"examples of system violations include, without limitation: (a) unauthorised access to or use of filefactory.com services, including any attempt to probe, scan or test the vulnerability of a system or to breach security or authentication measures without express authorisation of filefactory.com.",0
"this includes, without limitation, material protected by patent, copyright, trademark, service mark, trade secret or other intellectual property rights.",0
filefactory.com encourages customer to archive its data regularly and frequently.,0
"you expressly understand and agree that filefactory.com shall not be liable for any direct, indirect, incidental, special, consequential exemplary damages, including but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses (even if we have been advised of the possibility of such damages), resulting from: (i) the use or the inability to use the service.",1
"filefactory.com confidential information you represent and warrant to filefactory.com that (a) you are not a competitor of filefactory.com, (b) you shall keep publicly unannounced information and materials pertaining to filefactory.com, pre-release software, testing or testing procedures strictly confidential and (c) you shall not use any information gained from access to the filefactory.com web site or use of the filefactory.com services to compete with filefactory.com in its business",0
"or (b) interference with service to any customer or network including, without limitation, flooding, or deliberate attempts to overload a system and broadcast attacks.",0
you should carefully read the following terms of service agreement before using the filefactory.com website (site) and our services (services).this is a legally binding agreement.,0
filefactory.com services are provided on an as is and as available basis.,1
"filefactory.coms dmca policy, which is herein incorporated by reference, has further important details on this matter",0
no action by customer arising under this agreement may be brought at any time more than twelve (12) months after the facts occurred upon which the cause of action arose,0
"binding arbitration of fee and other disputes if any controversy or dispute arising from or relating to this agreement, your use of the site, the services provided to you by company, or any other matter related to the relationship between you and the company, even if arising after termination of this agreement, cannot be resolved through mutual agreement, the sole means of resolving the controversy will be binding arbitration under the auspices of the belize arbitration act.",1
changes in subscription fees will take effect on expiration of any existing customer subscription,0
"conditions, or any other rules or policies, your sole remedy is to discontinue use of the service.",0
please refer to our fair use policy for additional information,0
filefactory.coms failure to act with respect to a breach by customer or others does not waive filefactory.coms right to act with respect to subsequent or similar breaches.,0
"responsibility for access customer is solely responsible and liable for any and all access to and use of the services (including all activities and transactions) by any authorised user and/or user id registered under customers account, unless such access to or use of the services is the direct result solely of the gross negligence of filefactory.com.",0
"if appropriate, the content will be reported to the appropriate legal authority and/or the members isp will be contacted c",0
or (b) customer becomes aware of any unauthorised use of any product or service related to its account(s),1
limitation of liability your use of filefactory.com is at your own risk.,0
"headings are for reference purposes only and in no way define, limit, construe or describe the scope or extent of such section",0
