text,highlighted
"for business users and organizations onlyif you re a business user or organization, then to the extent allowed by applicable law: you ll indemnify google and its directors, officers, employees, and contractors for any third-party legal proceedings (including actions by government authorities) arising out of or relating to your unlawful use of the services or violation of these terms or service-specific additional terms.",0
these terms don t limit or take away any of those rights.,0
"and symbols, names, and images used in commerce (trademarks).",0
"some services require that you have a google account in order to work for example, to use gmail, you need a google account so that you have a place to send and receive your email",0
"we only change or stop offering services for valid reasons, such as to improve performance or security, to comply with law, to prevent illegal activities or abuse, to reflect technical developments, or because a feature or an entire service is no longer popular enough or economical to offer",1
"you may not use this content without that person or organization s permission, or as otherwise allowed by law.",1
"using google services on behalf of an organization or businessmany organizations, such as businesses, non-profits, and schools, take advantage of our services.",0
"broadly speaking, we give you permission to use our services if you agree to follow these terms, which reflect how google s business works and how we earn money.",0
"although we give you permission to use our services, we retain any intellectual property rights we have in the services.respect othersmany of our services allow you to interact with others.",0
"if you re based in the european union, then these terms don t affect the rights you may have as a business user of online intermediation services including online platforms such as google play under the eu platform-to-business regulation.service-related communicationsto provide you with our services, we sometimes send you service announcements and other information.",0
"for example, you have intellectual property rights in the creative content you make, such as reviews you write.",1
this includes consumers as defined in article of the eu consumer rights directive.,0
"for example, we invest in artificial intelligence that uses machine learning to detect and block spam and malware, and to provide you with innovative features, like simultaneous translations.",1
"if we make material changes that negatively impact your use of our services or if we stop offering a service, we ll provide you with reasonable advance notice and an opportunity to export your content from your google account using google takeout, except in urgent situations such as preventing abuse, responding to legal requirements, or addressing security and operability issues",1
"if you remove from our services any content that s covered by this license, then our systems will stop making that content publicly available in a reasonable amount of time.",1
some google services have additional age requirements as described in their service-specific additional terms and policies.contentsintroductionyour relationship with googleusing google servicescontent in google servicessoftware in google servicesin case of problems or disagreementsabout these termsyour relationship with googlethese terms help define the relationship between you and google.,0
that information doesn t require a license because it s considered common knowledge that everyone s free to use,0
developing new technologies and services for google consistent with these terms durationthis license lasts for as long as your content is protected by intellectual property rights,0
"you can also end your relationship with us at any time by closing your google account.definitionsaffiliatean entity that belongs to the google group of companies, which means google llc and its subsidiaries, including the following companies that provide consumer services in the eu: google ireland limited, google commerce ltd, and google dialer inc.business useran individual or entity who is not a consumer (see consumer).consumeran individual who uses google services for personal, non-commercial purposes outside of their trade, business, craft, or profession.",0
"specifically, these terms don t limit google s liability for death or personal injury, fraud, fraudulent misrepresentation, gross negligence, or willful misconduct",0
"we maintain a rigorous product research program, so before we change or stop offering a service, we carefully consider your interests as a user, your reasonable expectations, and the potential impact on you and others.",1
"you may not copy, modify, distribute, sell, or lease any part of our services or software.",0
"if you re a consumer living in the eea, you may also file disputes regarding online purchases using the european commission s online dispute resolution platform, which we accept if required by law.about these termsby law, you have certain rights that can t be limited by a contract like these terms of service.",0
"you may use google s content as allowed by these terms and any service-specific additional terms, but we retain any intellectual property rights that we have in our content.",0
"google contentsome of our services include content that belongs to google for example, many of the visual illustrations you see in google maps.",0
please have your parent or legal guardian read these terms with you,0
"for example, if you re a consumer, then you continue to enjoy all legal rights granted to consumers under applicable law.warranty we provide our services using reasonable skill and care.",1
"if it turns out that a particular term is not valid or enforceable, this will not affect any other terms.",1
"if you don t agree to the new terms, you should remove your content and stop using the services.",0
"we may update these terms and service-specific additional terms (1) to reflect changes in our services or how we do business for example, when we add new services, features, technologies, pricing, or benefits (or remove old ones), (2) for legal, regulatory, or security reasons, or (3) to prevent abuse or harm",0
"this indemnity covers any liability or expense arising from claims, losses, damages, judgments, fines, litigation costs, and legal fees",0
"or to promote google play, we might show a screenshot of the app you offer in the play store",0
"also, you may not reverse engineer or attempt to extract any of our source code unless you have our written permission or applicable law lets you do so",0
"for example, the united nations enjoys certain immunities from legal obligations and these terms don t override those immunities.taking action in case of problemsbefore taking action as described below, we ll provide you with advance notice when reasonably possible, describe the reason for our action, and give you an opportunity to fix the problem, unless we reasonably believe that doing so would: cause harm or liability to a user, third party, or google violate the law or a legal enforcement authority s order compromise an investigation compromise the operation, integrity, or security of our services removing your content if we reasonably believe that any of your content (1) breaches these terms, service-specific additional terms or policies, (2) violates applicable law, or (3) could harm our users, third parties, or google, then we reserve the right to take down some or all of that content in accordance with applicable law.",1
"when we receive data disclosure requests, our team reviews them to make sure they satisfy legal requirements and google s data disclosure policies.",1
"if you choose to give us feedback, such as suggestions to improve our services, we may act on your feedback without obligation to you.",1
but not all services mentioned may be available in your country,0
"we want to maintain a respectful environment for everyone, which means you must follow these basic rules of conduct: comply with applicable laws, including export control, sanctions, and human trafficking laws respect the rights of others, including privacy and intellectual property rights don t abuse or harm others or yourself (or threaten or encourage such abuse or harm) for example, by misleading, defrauding, defaming, bullying, harassing, or stalking others don t abuse, harm, interfere with, or disrupt the services our service-specific additional terms and policies provide additional details about appropriate conduct that everyone using those services must follow.",1
