Highlight,Summary
"you understand that by using the site, services or your crunchyroll account or by posting any content on the site, you are agreeing to be bound by these terms of use.","By using the site and services or posting content, you agree to these terms of use."
"ellation reserves the right in its sole discretion, at any time, to modify , discontinue or terminate the site or services or to modify or terminate these terms of use without advance notice.",Crunchyroll can change the terms of service or terminate the site or services at any time without notice.
"if a payment is not successfully settled, due to expiration, insufficient funds, or otherwise, and you do not edit your payment method information or cancel your account (see, cancellation below), you remain responsible for any uncollected amounts and authorize us to continue billing the payment method, as it may be updated.","If your payment fails, Crunchyroll can still try to charge your payment method or cancel your account."
you may opt-out of this arbitration agreement.,You can choose not to agree to the arbitration agreement for settling disputes.
"ellation and its licensors own all right, title and interest, including all worldwide intellectual property rights in the site, services, crunchyroll content and any other content made available through the site or services contained therein, other than your user submissions.","Crunchyroll and its licensors own all rights to the site, services, and content, except what you post."
"however, by uploading, posting, submitting or otherwise transmitting any user submissions on or to the site or services, you hereby grant to ellation a non-exclusive, worldwide, royalty-free, sublicensable, perpetual and irrevocable right and license to use, reproduce, modify, distribute, prepare derivative works of, display, publish, perform and transmit your user submissions in connection with the services and ellations (and its successors) business including, without limitation, for promotion and redistributing part or all of the services (and derivative works thereof), in any media formats and through any media channels .","By posting content, you give Crunchyroll rights to use, share, and modify it."
"without limiting the generality of the foregoing, ellations aggregate liability to you arising with respect to these terms of use will not exceed $50.",The most Crunchyroll will have to pay you for issues with the service is $50.
"you may cancel your crunchyroll membership at any time, and you will continue to have access to the site and/or services through the end of your monthly billing period.","You can cancel anytime, but you'll still have access until the end of the billing period."
we will begin billing your payment method for monthly membership fee at the end of the free trial period of your membership unless you cancel prior to the end of the free trial period.,Your membership fee starts when the free trial ends unless you cancel.
"you acknowledge that the amount billed each month may vary from month to month for reasons that may include differing amounts due to promotional offers, including gift card redemption and promotional code redemption, and/or changing or adding a channel or bundle, and you authorize us to charge your payment method for such varying amounts, which will be billed monthly in one or more charges","Your monthly charge may vary for several reasons, and you're allowing Crunchyroll to bill these amounts."
"you acknowledge and agree that ellation may, at its option, reclassify or recategorize any user submissions and establish limits concerning user submissions, including, without limitation, the maximum number of days that user submissions will remain available via the services or on the site, the maximum size of any files that may be stored on or uploaded to the site or services and the maximum disk space that may be allotted to you for the storage of user submissions on ellations servers.",Crunchyroll can reclassify your content and has control over its availability and storage.
"these terms of use limit ellations liability and obligations to you, grant us certain rights and allow us to change, suspend or terminate your access to and use of the site and services.",These terms limit Crunchyroll's responsibility to you and let them change or end your access to services.
"you agree to take reasonable precautions in all interactions with other crunchyroll users, particularly if you decide to meet a crunchyroll users offline, or in person.","Interact carefully with others on Crunchyroll, especially if meeting offline."
we automatically bill your payment method each month on the calendar day corresponding to the commencement of your paying membership.,"You're billed each month for membership, on the day you started paying membership."
"in addition, ellation makes no representation or warranty that the site, services, crunchyroll content or any other content made available through the site or services will be error free or that any errors will be corrected .",Crunchyroll doesn't promise error-free services and doesn't have to correct errors.
"ellation does not endorse any user submissions or any opinion, recommendation or advice expressed therein and you agree to waive, and hereby do waive, any legal or equitable rights or remedies you have or may have against ellation with respect thereto.",Crunchyroll isn't accountable for what users post or the opinions they express.
"ellation is not responsible for the activities or such sites, and has no liability to you for any harms, injuries or losses you might suffer as a result of using or accessing such websites.",Crunchyroll isn't responsible for your use of other sites linked from their service.
you and ellation agree that each may bring claims against the other only in your or our individual capacity and not as a plaintiff or class member in any purported class or representative proceeding.,"You and Crunchyroll agree to handle disputes individually, not as part of a class action."
your arbitration fees and your share of arbitrator compensation will be limited to those fees set forth in the aaa rules with the remainder paid by ellation.,Your costs for arbitration are limited unless your claim is deemed frivolous or improper.
"except as otherwise expressly provided for in these terms of use, any price changes to your service will take effect in accordance with the time frame outlined in the email notice to you",Prices for services can change and you'll be notified by email before any changes.
you will not receive a notice from us that your free trial period has ended or that the paying portion of your membership has begun.,You won't be told when a free trial ends and when payment begins.
we reserve the right to adjust pricing for our service or any components thereof in any manner and at any time as we may determine in our sole and absolute discretion.,Crunchyroll can change prices for services anytime they want.
"ellation will have no responsibility or liability for maintaining copies of user submissions on our servers, and you are solely responsible for creating back-ups of your user submissions",You should back up your content because Crunchyroll isn't responsible for lost user submissions.
"ellation does not have any obligation to monitor the user submissions that is uploaded, posted, submitted or otherwise transmitted using the site or services, for any purpose and, as a result, is not responsible for the accuracy, completeness, appropriateness, legality or applicability of the user submissions or anything said, depicted or written by crunchyroll members, including, without limitation, any information obtained by using the site or services.",Crunchyroll doesn't monitor user submissions and isn't liable for their content.
"the site, services, crunchyroll content and any other content made available through the site or services are provided as is with no warranty of any kind.",All services and content are provided 'as is' with no guarantees.
"upon the occurrence of a force majeure event, ellation will be excused from any further performance of its obligations effected by the force majeure event for so long as the event continues, and for such further period of time that ellation may reasonably require to recover from the effects of such force majeure event",Crunchyroll isn't obligated to perform services when prevented by events beyond its control.
"if any modification is not acceptable to you, your only recourse is to cease using the site and services.","If you dislike any changes made to the terms, you should stop using the services."
"under no circumstances will ellation or its affiliates, subsidiaries, partners or licensors or any of their respective officers, directors, employees and/or agents be liable to you or any third-party for any indirect, incidental, consequential, special or exemplary damages arising out of or in connection with use of the site, services, crunchyroll content and any other content made available through the site or services including, without limitation, injury or damages resulting from the conduct of any crunchyroll user, online or offline, whether or not ellation has been advised of the possibility of such damages.",Crunchyroll isn't liable for indirect or accidental damages caused by using its service.
"if the claim is for $10,000 or less, the party initiating the arbitration may choose whether the arbitration will be conducted (1) solely on the basis of documents submitted to the arbitrator, through a telephonic hearing or by an in-person hearing as established by the aaa rules.","Claims for $10,000 or less can be resolved solely through documents or a hearing."
"by continuing to use the site or services after ellation has posted any modifications on the site or provided any required notices, you accept and agree to be bound by the modifications.","If you keep using the site after changes to the terms, you agree to the new terms."
all rights in crunchyroll content are reserved.,"All rights in Crunchyroll content are held by Crunchyroll, not users."
ellation has adopted and implemented a policy that provides for the termination in appropriate circumstances of the accounts of users who repeatedly infringe or are believed to be or are charged with repeatedly infringing the rights of copyright holders.,Crunchyroll will end accounts of users who repeatedly infringe copyright.
"some states do not allow the exclusion or limitation of incidental or consequential damages, so the above limitation and exclusions may not apply to you","Some states may not limit liability for certain damages, so the terms may not fully apply."
ellation will not be liable to you or any third party for termination of the site or services or termination of your use of either.,Crunchyroll can terminate your access without liability to you.
"any suspension, termination or cancellation will not affect your obligations to ellation under these terms of use (including, without limitation, proprietary rights and ownership, indemnification and limitation of liability), which by their sense and context are intended to survive such suspension, termination or cancellation","After your access is terminated, your obligations from these terms still remain."
"in addition, without limitation, you agree that you will not do any of the following while using or accessing the site or services: upload, post, submit or otherwise transmit: (i) any user submissions to which you do not have the lawful right to copy, transmit and display (including any user submissions that would violate any confidentiality or fiduciary obligations that you might have with respect to the user submission).",The arbitrator can award the same damages and relief as a court.
"you are responsible for safeguarding and maintaining the confidentiality of your username, password and corresponding crunchyroll account information.",You must keep your account information secure.
"all disputes arising out of, relating to, or in connection with these terms of use or your use of the site and/or services that cannot be resolved informally or in small claims court will be resolved through binding arbitration on an individual basis, except you and ellation are not required to arbitrate any dispute in which either party seeks equitable relief for the alleged unlawful use of intellectual property rights","Any disputes must be resolved by binding arbitration, except for certain intellectual property issues."
crunchyroll members may be able to access and/or purchase crunchyroll content (as defined below) through the site or services in a few different ways including: (i) crunchyroll members can pay a monthly membership fee to view certain crunchyroll content for the applicable time period (membership fee).,Membership fees for viewing content will be charged monthly.
"upon any termination or suspension, any content, materials or information (including user submissions) that you have submitted on the site or that which is related to your account may no longer be accessed by you.","After account termination, you can't access your content or information."
"furthermore, ellation will have no obligation to maintain any information stored in our database related to your account or to forward any information to you or any third party.",Crunchyroll doesn't have to keep your information after your account ends.
"we reserve the right to change the timing of our billing, in particular, as indicated below, if your payment method has not successfully settled.","Billing times may change, especially if your payment method hasn’t worked."
we will continue to bill your payment method on a monthly basis for your membership fee until you cancel,Membership fees continue each month until you cancel.
any legal action or proceeding arising under these terms of use will be brought exclusively in courts located in northern california and the parties hereby irrevocably consent to the personal jurisdiction and venue therein,Legal actions under these terms will be conducted exclusively in northern California courts.
