Highlight,Summary
"filefactory.com and its suppliers, to the fullest extent permitted by law, disclaim all warranties, including but not limited to warranties of title, fitness for a particular purpose, merchantability and non-infringement of proprietary or third party rights.","FileFactory disclaims all warranties, meaning they do not guarantee the service's quality or your satisfaction."
no warranty you expressly understand and agree that: (a) your use of the service is at your sole risk.,"Use the service at your own risk, there are no guarantees it will work as you expect."
"filefactory.com and its suppliers make no warranties about the accuracy, reliability, completeness, or timeliness of our services, software, or content.",FileFactory doesn't promise that the information or services they provide are accurate or reliable.
"filefactory.com reserves the right to immediately suspend or terminate any account or transmission that violates this policy, without prior notice",FileFactory can suspend or delete accounts that break their rules without warning.
all purchases of services through the site are nonrefundable prepayments for services.,"Once you pay for their service, you can't get your money back."
"customer account authorised users customer may designate persons to act as its agents to use the services, provided that each designated person has the legal capacity to enter into binding contracts for customer.","You can let others use your account, but they must be legally allowed to make contracts for you."
if customer data violates the acceptable use policy or dmca policy then such data may be removed.,"If your files break the rules, FileFactory might take them down."
"filefactory.com reserves the right to suspend or terminate a customers transmission(s) that, in filefactory.coms discretion, violates these policies or violates any law or regulation.",FileFactory can end any account or service that they think breaks the law or their rules.
"upon termination of this agreement by either customer or filefactory.com, all of customer rights under this agreement, and filefactory.coms provision of services, will terminate immediately","If you or FileFactory end this agreement, you lose all rights to the service, and they stop providing it."
"it is your responsibility to review these terms of use periodically, and if at any time you find these terms of use unacceptable, you must immediately leave the site and cease all use of the service and the site.","You must check these terms yourself, and if you don't agree, you must stop using the service."
you agree that by using the service you represent that you are at least 18 years old and that you are legally able to enter into this agreement.,You promise that you are old enough and legally able to agree to these terms by using the service.
"if, at any time, any information provided by customer is untrue, inaccurate, not current or incomplete, filefactory.com will have the right to suspend or terminate customers account and this agreement","If any information you give is wrong, FileFactory can suspend or end your account."
"by using the services, you represent and warrant that you are the author and copyright owner and/or proper licensee with respect to any hosted content and you further represent and warrant that no content violates the trademark or rights of any third party.",You must be the legal owner of the content you upload or have permission to use it.
"you agree that any termination of your access to the service under any provision of these terms and conditions may be effected without prior notice, and acknowledge and agree that filefactory.com may immediately deactivate, archive or delete your account and all related information and data and/or any further access to such data or the service.",FileFactory can block your service without telling you first.
"you agree that we shall not be liable to you or any third party for any modification, suspension or discontinuance of the service.",FileFactory is not to blame if they need to change or stop the service.
"transmission, distribution or storage of any material in violation of any applicable law or regulation, including export control laws, is prohibited.",Uploading illegal material goes against the rules.
"you also acknowledge that you understand the consequences of agreeing to binding arbitration, including that you giving up any and all constitutional and statutory rights to have disputes between us, including copyright infringement disputes, determined by a court of law or equity or by a jury.","By agreeing to arbitration, you give up the right to take disputes to court."
"however, filefactory.com may retain customer data in its archives after deletion and will not be liable to customer in any way for such retained data.","Even if you delete your files, FileFactory might keep them in their system."
in no event will filefactory.com be liable to customer or any third party for filefactory.coms reliance on such letter or such apparent authority,FileFactory can trust that a letter asking for account access is from you.
copyright or trademark infringement filefactory.com services may be used only for lawful purposes.,You can only use FileFactory for lawful things.
customer bears full responsibility for archiving its data and sole liability for any lost or irrecoverable data.,You have to save your own files; FileFactory isn't responsible if they get lost.
"it is customers responsibility, through its systems administrator authorised user, to set the appropriate access for each of customers authorised users",You need to manage who can use your account.
"responsibility for user ids and passwords customer is solely responsible for maintaining the confidentiality of customer access information, i.e.",Keep your passwords and user IDs secret; you're responsible for any activity on your account.
once that period expires your account will be returned to a non-premium account,"Once your paid premium period ends, your account goes back to the free version."
