Highlight,Summary
"for business users and organizations onlyif you re a business user or organization, then to the extent allowed by applicable law: you ll indemnify google and its directors, officers, employees, and contractors for any third-party legal proceedings (including actions by government authorities) arising out of or relating to your unlawful use of the services or violation of these terms or service-specific additional terms.","If you are using Google's services for your business or organization, you must cover any legal costs if you use the service unlawfully or violate the terms."
"if we make material changes that negatively impact your use of our services or if we stop offering a service, we ll provide you with reasonable advance notice and an opportunity to export your content from your google account using google takeout, except in urgent situations such as preventing abuse, responding to legal requirements, or addressing security and operability issues","If Google significantly changes a service or discontinues one, they must give advance notice and a way for you to save your content, except in urgent situations."
"you can also end your relationship with us at any time by closing your google account.definitionsaffiliatean entity that belongs to the google group of companies, which means google llc and its subsidiaries, including the following companies that provide consumer services in the eu: google ireland limited, google commerce ltd, and google dialer inc.business useran individual or entity who is not a consumer (see consumer).consumeran individual who uses google services for personal, non-commercial purposes outside of their trade, business, craft, or profession.","To stop using Google services, simply close your Google account at any time."
"we may update these terms and service-specific additional terms (1) to reflect changes in our services or how we do business for example, when we add new services, features, technologies, pricing, or benefits (or remove old ones), (2) for legal, regulatory, or security reasons, or (3) to prevent abuse or harm","Google may update the terms of service or add/remove features for legal, technical, or business reasons, and they will try to inform you about these changes."
"for example, the united nations enjoys certain immunities from legal obligations and these terms don t override those immunities.taking action in case of problemsbefore taking action as described below, we ll provide you with advance notice when reasonably possible, describe the reason for our action, and give you an opportunity to fix the problem, unless we reasonably believe that doing so would: cause harm or liability to a user, third party, or google violate the law or a legal enforcement authority s order compromise an investigation compromise the operation, integrity, or security of our services removing your content if we reasonably believe that any of your content (1) breaches these terms, service-specific additional terms or policies, (2) violates applicable law, or (3) could harm our users, third parties, or google, then we reserve the right to take down some or all of that content in accordance with applicable law.","Google can remove your content or suspend your access if they believe you've done something harmful or illegal, and they'll try to notify you beforehand unless it's urgent."
"when we receive data disclosure requests, our team reviews them to make sure they satisfy legal requirements and google s data disclosure policies.",Google closely examines data disclosure requests to ensure they are legal.
"we want to maintain a respectful environment for everyone, which means you must follow these basic rules of conduct: comply with applicable laws, including export control, sanctions, and human trafficking laws respect the rights of others, including privacy and intellectual property rights don t abuse or harm others or yourself (or threaten or encourage such abuse or harm) for example, by misleading, defrauding, defaming, bullying, harassing, or stalking others don t abuse, harm, interfere with, or disrupt the services our service-specific additional terms and policies provide additional details about appropriate conduct that everyone using those services must follow.","You must obey the law and respect others' rights, and not abuse others or the services Google provides."
"scope this license is: worldwide, which means it s valid anywhere in the world non-exclusive, which means you can license your content to others royalty-free, which means there are no fees for this license rightsthis license allows google to: host, reproduce, distribute, communicate, and use your content for example, to save your content on our systems and make it accessible from anywhere you go publish, publicly perform, or publicly display your content, if you ve made it visible to others modify your content, such as reformatting or translating it sublicense these rights to: other users to allow the services to work as designed, such as enabling you to share photos with people you choose our contractors who ve signed agreements with us that are consistent with these terms, only for the limited purposes described in the purpose section below purposethis license is for the limited purpose of: operating and improving the services, which means allowing the services to work as designed and creating new features and functionalities.","When you upload content to Google services that has intellectual property rights, you allow Google to use that content globally without paying you."
"google terms of serviceeffective march 31, 2020 | archived versions | download pdfwhat s covered in these termswe know it s tempting to skip these terms of service, but it s important to establish what you can expect from us as you use google services, and what we expect from you.these terms of service reflect the way google s business works, the laws that apply to our company, and certain things we ve always believed to be true.",It's important to read and understand Google's terms of service as they define what you can expect from Google and what Google expects from you.
"if you choose to upload or share content, please make sure you have the necessary rights to do so and that the content is lawful.license your content remains yours, which means that you retain any intellectual property rights that you have in your content.","You keep ownership of any content you post, but you must have the rights to share it and it must be lawful."
