Highlight,Summary
overuse - paid plans certain paid accounts are allowed to use storage space beyond the chosen plans quota limit.,"Even if you pay for additional storage, there's a limit to how much you can use."
modifications to this agreement we may change these terms from time to time and the most current version will always be posted on our website located at http://www.idrive.com.,"The terms of the service could change, and these changes will be posted online."
"billing automatic renewal - paid plans in exchange for use of the services, you authorize a recurring monthly or annual charge to your credit card.","Your plan will renew automatically, and charges will apply to your credit card."
"depending on the configuration, exceeding the quota limits may result in a hard stop on the backups","If you exceed your storage limit, your backups might stop."
you must cancel your account before it renews each year in order to avoid a charge for the next years fees to your credit card.,"To avoid next year's charges, you must cancel before your plan renews."
we reserve the right to change our subscription plans or adjust pricing for our service or any components thereof in any manner and at any time as we may determine in our sole and absolute discretion.,IDrive can change the prices or service plans at any time.
"by accepting these terms, you are also acknowledging that you agree to the terms of the privacy policy.","When you agree to the terms, you also agree with the privacy policy."
"regardless of whether any such dispute, controversy or claim concerns any other individual / entity, multiple individuals / entities, or other persons, classes of individuals, or entities, all cases shall be decided between idrive and the individual only","If you have a dispute with IDrive, it will be handled individually, not as part of a group lawsuit."
"this includes class arbitrations, class actions, private attorney general actions, and consolidation with other arbitrations.",You can't join others in a lawsuit against IDrive; all disagreements must be settled individually.
"upon any termination of these terms, we will remove stored in idrive backup and/or idrive sync data files from main storage and archives immediately.","When your agreement with IDrive ends, they will delete your data immediately."
these terms constitute the entire and exclusive agreement between you and idrive inc,The agreement with IDrive is the full and final agreement between you and the company.
use of ip addresses we may collect ip addresses for the purposes of system administration and/or to audit the use of our site.,IDrive may collect your computer's IP address.
"indemnification you will, as allowable by law, defend, indemnify and hold idrive inc., our subsidiaries, affiliates, agents, officers, licensor, directors and employees, harmless from any claim or demand, including reasonable attorneys fees and costs, made by any third party due to or arising out of (i) your use of your account and the services, (ii) any data files and content stored by you in your account and otherwise on our servers, and (iii) any violation of these terms by you.","If there's a legal issue because of how you use IDrive, you'll have to cover the costs."
certain metadata related to files including file thumb derivatives may not be encrypted.,"Some data, like thumbnails of your files, won't be encrypted."
"we are not liable for any loss or damage arising from any access to, content in, or sharing and use of your account.",IDrive isn't responsible for losses or damages from accessing your account.
you will commence any claim or cause of action arising under or otherwise occurring by reason of these terms within one (1) year after the claim or cause of action arises or such claim or cause of action is forever barred.,You have one year to bring up any legal issues you have with IDrive.
"without limiting the foregoing, if a free account is inactive for ninety (90) days, then we reserve the right to terminate the free account without providing additional notice.","If you don't use a free account for 90 days, IDrive might delete it."
"termination we may, at our option and in addition to other remedies, immediately and without notice terminate these terms at any time or suspend your access to the services: (i) if you breach any provision of these terms.",IDrive can end your agreement or service anytime without notice if you break the terms.
"we reserve the right to refuse, remove or disable access to any data or files stored on our servers with immediate effect that we determine may be illegal, may violate these terms, may violate the rights of any third party or otherwise may be reasonably objectionable.",IDrive can remove your data from its servers if it doesn't comply with their rules.
"redundant backups of your data based on the protection level of primary production devices, we may or may not keep redundant backups of the primary production data.",IDrive might not have a backup for every piece of your data.
you also agree that the enrollment for the next service period is automatic and paid in advance,You agree that IDrive will bill you in advance automatically for the next service period.
sending an email to support@idrive.com for cancellation is not considered as a cancellation notice for security reasons.,Just emailing IDrive isn't enough to cancel your service; you need to follow their security process.
"if the account is cancelled for any reason, user data and its backups will be removed from our storage servers.","If your account is cancelled, all your data and backups are removed."
"idrive inc., on behalf of itself and its distributors, advertisers and suppliers, disclaims all warranties and conditions, express or implied, arising by law or otherwise, with respect to your account and the service (including, without limitation, any implied warranties of merchantability, fitness for a particular purpose and non-infringement).","IDrive doesn’t promise that their service will perfectly meet your expectations or legal rights, except as stated in the terms."
"idrive requires periodic review, at least on a weekly basis to verify the execution of backups because backups may fail for any number of reasons including but not limited to, internet connectivity issues, authentication issues, firewall, blocks by anti-virus programs, system configuration changes to the computer, etc.",You must check your backups weekly because they can fail for many reasons.
"if there is suspicion that an account is being used for storage and distribution of any illegal material such as copyrighted content, we reserve the right to examine the content of the online storage and backup account.","If IDrive thinks you're using the service for illegal activities, they can check your files."
your continued use of the services after such revisions become effective will constitute your acceptance of such changed terms and conditions.,"If IDrive updates the terms and you keep using the service, you're agreeing to the new terms."
it is critical that users do not remove the data on their local computer that they backed up to idrive and keep only one copy of data on idrive.,Don't delete the original copy of your data after backing it up with IDrive.
"if you have used the local backup feature, you will not be able to access data from your external drive as well.","If you rely on your local backup and it stops working, you can't get your data from IDrive."
you agree to pay the subscription fees on time at the start of each subscription period for the whole solution.,You must pay for your subscription fees on time for the whole IDrive solution.
"(the services are not for storing and disseminating large amounts of data to large number of recipients or for dissemination of digital content for commercial purposes, and we may use procedures, which may vary from time to time, to detect unacceptable levels of usage and may immediately disable offending accounts based on detected misuse.",IDrive isn't designed for sharing lots of data with many people.
security account passwords you are solely responsible for any consequences arising out of your failure to maintain the confidentiality of your account password and/or encryption password.,You're responsible for keeping your account and encryption passwords safe.
"on successful cancellation of an account by you or by us, due to various reasons including non-payment for the services, your data will be removed from our storage servers.","When your account is cancelled, all your data is deleted from IDrive's servers."
"in the event of hardware or software errors at the idrive end and subsequent re-backups either via online or via express, this may still leave users without some of their data if the data is removed from their desktop that they may eventually need for restore.","If IDrive messes up and loses your data, they may not be able to get it back if you don't have it saved somewhere else."
"we allow you to retain and restore thirty (30) previous versions of all files backed up to your account (for accounts created prior to 11-07-2018, 10 previous versions are stored).",You can restore up to 30 earlier versions of your files from IDrive.
"free accounts we reserve the right to terminate free accounts at any time, with or without notice.","IDrive can delete free accounts anytime, with or without notice."
"if you choose the default encryption option, the system chooses a key for encrypting your data.","If you don't set your own encryption key, IDrive will create one for you."
"in order to prevent unauthorized access to your account, you agree to keep your password and other account details confidential and not share them with anyone else",Keep your account secure by not sharing your password.
"should you object to any of these terms or any subsequent modifications thereto or become dissatisfied with the services in any way, your only recourse is to immediately: (a) discontinue use of the services.","If you don't like changes to the terms, you can stop using IDrive."
"for web and mobile based data transfers, data is sent over an encrypted channel with server side aes 256-bit encryption","Your data is sent over a secured connection, but the key for encryption is either chosen by you or IDrive."
"for special cases where you d like to close your account prior to the end of your annual subscription term, please contact our support team.","If you want to end your account early, you need to ask IDrive's support team."
class action clause you agree that class actions are not allowed and all disputes with idrive must be resolved on an individual basis .,You can't file a lawsuit against IDrive as part of a group.
"accordingly, you hereby acknowledge that it may be possible for an unauthorized third party to access, view, copy, modify and distribute the data and files you store in your account.",Someone might be able to get into your account and see or change your files.
"for maximum privacy and security, we recommend that you choose the user defined private key option to protect the data in your account","For the best security, IDrive suggests setting your own private key for encryption."
"upon cancellation of your account, you must return the bmr appliance to idrive.","If you cancel your IDrive account, you have to send back any equipment they provided."
any data backed up using the services can only be retrieved using your key and if you forget or misplace this key then your data may not be retrievable.,"Your data is encrypted, but if you lose your personal encryption key, you might not get your data back."
