Highlight,Summary
"company reserves the right to change, suspend, or cease the site with or without notice to you.","Pure Dating can change, pause or stop their site without telling you."
"in connection with our site, we have adopted and implemented a policy respecting copyright law that provides for the removal of any infringing materials and for the termination of users of our online site who are repeated infringers of intellectual property rights, including copyrights.","If you keep breaking Pure Dating's rules or others' copyrights, they can kick you off their site."
"in the event any litigation should arise between you and the company in any state or federal court in a suit to vacate or enforce an arbitration award or otherwise, you and the company waive all rights to a jury trial, instead electing that the dispute be resolved by a judge","If you have a problem with Pure Dating and it goes to court, you can't ask for a jury to decide, just a judge."
"company grants you a non-transferable, non-exclusive, revocable, limited license to access the site solely for your own personal, noncommercial use.","Pure Dating lets you use their site for your own private, non-money-making reasons."
you agree that our suppliers will have no liability of any kind arising from or relating to this agreement,Pure Dating's partners won't be in trouble if something goes wrong with your agreement with Pure Dating.
"because we do not control user content, you acknowledge and agree that we are not responsible for any user content, whether provided by you or by others.",Pure Dating says they're not to blame if someone's content on the site is not okay—it could be yours or someone else's.
these terms require the use of arbitration section on an individual basis to resolve disputes and also limit the remedies available to you in the event of a dispute.,"If you use Pure Dating's site, you agree to solve disagreements by one-on-one arbitration, not in court, and you might have less chance to fix things if there's a problem."
the information is used to optimize the users experience by customizing our web page content based on visitors browser type and/or other information.,Pure Dating uses the info like browser type to make your experience on their website better.
"these terms, and your rights and obligations herein, may not be assigned, subcontracted, delegated, or otherwise transferred by you without company s prior written consent, and any attempted assignment, subcontract, delegation, or transfer in violation of the foregoing will be null and void.","You can't pass on your Pure Dating account to someone else without their okay, and if you try, it won't work."
the parties agree to maintain confidentiality unless otherwise required by law.,Pure Dating says that you and they have to keep quiet about official things unless the law says otherwise.
in the event that the last e-mail address that you have provided us is not valid our dispatch of the e-mail containing such notice will nonetheless constitute effective notice of the changes described in the notice.,"Even if your email address with Pure Dating is not right, if they send changes to that email, it counts as if you've been told."
"we write reviews of the most popular dating apps, make ratings, and help our readers to succeed in online dating",Pure Dating reviews popular dating apps and tries to help people get better at online dating.
"ads are not under the control of company, and company is not responsible for any third-party links &amp.",Pure Dating doesn't control other websites they link to and isn't responsible for them.
"512(f), any misrepresentation of material fact in a written notification automatically subjects the complaining party to liability for any damages, costs and attorney s fees incurred by us in connection with the written notification and allegation of copyright infringement.general these terms are subject to occasional revision, and if we make any substantial changes, we may notify you by sending you an e-mail to the last e-mail address you provided to us and/or by prominently posting notice of the changes on our site.","If Pure Dating gets complaints about breaking copyright, and they're not true, the person who complained might have to cover Pure Dating’s costs."
our failure to exercise or enforce any right or provision of these terms shall not operate as a waiver of such right or provision.,"If Pure Dating doesn't use their rights at some point, that doesn't mean they won't use them later."
any changes to these terms will be effective upon the earliest of thirty (30) calendar days following our dispatch of an e-mail notice to you or thirty (30) calendar days following our posting of notice of the changes on our site.,Pure Dating will tell you about big changes to their rules either by email or on their site 30 days before it happens.
waiver of class or consolidated actions,You can't join with other people to sue Pure Dating—you have to go at it alone.
"note that these terms and access to the site do not give you any rights, title or interest in or to any intellectual property rights, except for the limited access rights expressed in section .",You won't own anything on Pure Dating's site just by using it; all the rights stay with them or with other people who own things on the site.
each party shall bear its own costs and disbursements arising out of the arbitration and shall pay an equal share of the fees and costs of the adr provider,"If you and Pure Dating disagree and go to arbitration, you both have to pay your own costs and split the bill for the arbitration."
this arbitration agreement will survive the termination of your relationship with company,Once you and Pure Dating stops working together this agreement to solve problems by arbitration is still going to be in effect.
